Centrality: 0-10%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
Centrality: 0-86%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         3.68e+00    2.72e-04     3.01e-01 
1.1         1.37e+00    1.22e-04     9.51e-02 
1.3         5.91e-01    6.47e-05     4.09e-02 
1.5         2.68e-01    3.69e-05     1.86e-02 
1.7         1.25e-01    2.21e-05     8.69e-03 
1.9         6.05e-02    1.37e-05     4.19e-03 
2.1         3.00e-02    8.82e-06     2.46e-03 
2.3         1.49e-02    5.73e-06     1.40e-03 
2.5         7.64e-03    3.83e-06     7.62e-04 
2.7         4.05e-03    2.63e-06     4.27e-04 
2.9         2.18e-03    1.83e-06     2.42e-04 
3.2         7.75e-04    1.04e-06     8.87e-05 
3.8         2.03e-04    4.82e-07     2.34e-05 
4.2         5.91e-05    2.40e-07     6.96e-06 
4.8         1.86e-05    1.26e-07     2.18e-06 
5.2         6.59e-06    7.10e-08     7.76e-07 
5.8         2.46e-06    4.12e-08     2.90e-07 
6.2         9.07e-07    2.38e-08     1.07e-07 
6.8         4.17e-07    1.53e-08     4.91e-08 
7.2         1.82e-07    9.67e-09     2.14e-08 
7.8         9.00e-08    7.85e-09     1.06e-08 
8.5         2.93e-08    3.58e-09     3.45e-09 
9.5         9.20e-09    1.34e-09     1.08e-09 
