Centrality: 0-10%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         7.17e+00    1.47e-03     9.15e-01 
1.1         2.90e+00    7.34e-04     3.71e-01 
1.3         1.29e+00    4.09e-04     1.64e-01 
1.5         5.80e-01    2.37e-04     7.47e-02 
1.7         2.66e-01    1.42e-04     3.42e-02 
1.9         1.22e-01    8.65e-05     1.57e-02 
2.1         5.74e-02    5.42e-05     7.52e-03 
2.3         2.74e-02    3.45e-05     3.65e-03 
2.5         1.35e-02    2.25e-05     1.83e-03 
2.7         6.49e-03    1.47e-05     8.85e-04 
2.9         3.39e-03    1.00e-05     4.66e-04 
3.2         1.06e-03    5.31e-06     1.47e-04 
3.8         2.35e-04    2.24e-06     3.51e-05 
4.2         5.57e-05    9.98e-07     8.62e-06 
4.8         1.55e-05    4.89e-07     2.49e-06 
5.5         2.54e-06    1.73e-07     4.07e-07 
6.5         2.66e-07    5.55e-08     4.26e-08 
7.5         3.09e-08    1.72e-08     4.94e-09 
Centrality: 10-20%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         4.47e+00    1.08e-03     5.71e-01 
1.1         1.95e+00    5.65e-04     2.49e-01 
1.3         8.81e-01    3.19e-04     1.12e-01 
1.5         4.04e-01    1.88e-04     5.20e-02 
1.7         1.84e-01    1.13e-04     2.37e-02 
1.9         8.68e-02    6.98e-05     1.12e-02 
2.1         4.22e-02    4.46e-05     5.53e-03 
2.3         2.03e-02    2.86e-05     2.70e-03 
2.5         9.96e-03    1.87e-05     1.35e-03 
2.7         4.98e-03    1.25e-05     6.79e-04 
2.9         2.59e-03    8.51e-06     3.56e-04 
3.2         8.40e-04    4.63e-06     1.16e-04 
3.8         1.95e-04    2.01e-06     2.91e-05 
4.2         4.80e-05    9.17e-07     7.42e-06 
4.8         1.34e-05    4.52e-07     2.15e-06 
5.5         2.15e-06    1.74e-07     3.43e-07 
6.5         2.30e-07    5.15e-08     3.68e-08 
7.5         2.31e-08    1.48e-08     3.69e-09 
Centrality: 20-40%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         3.16e+00    6.99e-04     4.04e-01 
1.1         1.28e+00    3.36e-04     1.64e-01 
1.3         5.40e-01    1.78e-04     6.89e-02 
1.5         2.40e-01    1.02e-04     3.09e-02 
1.7         1.09e-01    6.03e-05     1.41e-02 
1.9         5.12e-02    3.71e-05     6.60e-03 
2.1         2.46e-02    2.35e-05     3.22e-03 
2.3         1.19e-02    1.51e-05     1.58e-03 
2.5         5.88e-03    9.88e-06     7.96e-04 
2.7         3.01e-03    6.64e-06     4.10e-04 
2.9         1.52e-03    4.48e-06     2.10e-04 
3.2         5.10e-04    2.47e-06     7.07e-05 
3.8         1.16e-04    1.06e-06     1.73e-05 
4.2         2.76e-05    4.78e-07     4.27e-06 
4.8         7.96e-06    2.39e-07     1.27e-06 
5.5         1.43e-06    9.90e-08     2.29e-07 
6.5         1.54e-07    2.90e-08     2.47e-08 
7.5         2.52e-08    1.06e-08     4.04e-09 
8.5         3.43e-09    3.43e-09     5.50e-10 
Centrality: 40-60%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         1.13e+00    3.90e-04     1.45e-01 
1.1         4.80e-01    1.95e-04     6.13e-02 
1.3         2.02e-01    1.05e-04     2.58e-02 
1.5         8.97e-02    5.99e-05     1.15e-02 
1.7         4.13e-02    3.59e-05     5.32e-03 
1.9         1.95e-02    2.22e-05     2.51e-03 
2.1         9.36e-03    1.41e-05     1.23e-03 
2.3         4.65e-03    9.19e-06     6.19e-04 
2.5         2.28e-03    6.00e-06     3.08e-04 
2.7         1.17e-03    4.04e-06     1.59e-04 
2.9         6.22e-04    2.80e-06     8.55e-05 
3.2         2.03e-04    1.53e-06     2.82e-05 
3.8         5.00e-05    6.87e-07     7.46e-06 
4.2         1.30e-05    3.23e-07     2.01e-06 
4.8         4.01e-06    1.68e-07     6.41e-07 
5.5         6.25e-07    6.48e-08     1.00e-07 
6.5         6.17e-08    1.82e-08     9.87e-09 
7.5         7.12e-09    5.59e-09     1.14e-09 
Centrality: 60-86%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         2.64e-01    1.62e-04     3.38e-02 
1.1         1.10e-01    8.05e-05     1.40e-02 
1.3         4.55e-02    4.29e-05     5.81e-03 
1.5         1.99e-02    2.44e-05     2.56e-03 
1.7         8.96e-03    1.45e-05     1.15e-03 
1.9         4.17e-03    8.90e-06     5.37e-04 
2.1         2.06e-03    5.72e-06     2.69e-04 
2.3         9.86e-04    3.67e-06     1.31e-04 
2.5         4.91e-04    2.42e-06     6.64e-05 
2.7         2.50e-04    1.63e-06     3.41e-05 
2.9         1.30e-04    1.11e-06     1.79e-05 
3.2         4.48e-05    6.23e-07     6.21e-06 
3.8         9.71e-06    2.63e-07     1.45e-06 
4.2         2.90e-06    1.33e-07     4.49e-07 
4.8         6.00e-07    5.64e-08     9.60e-08 
5.5         1.30e-07    2.57e-08     2.08e-08 
6.5         9.35e-09    6.16e-09     1.50e-09 
7.5         2.70e-09    3.00e-09     4.31e-10 
Centrality: 0-86%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         2.36e+00    2.76e-04     3.01e-01 
1.1         9.50e-01    1.34e-04     1.21e-01 
1.3         4.07e-01    7.24e-05     5.20e-02 
1.5         1.82e-01    4.16e-05     2.34e-02 
1.7         8.29e-02    2.48e-05     1.07e-02 
1.9         3.86e-02    1.52e-05     4.97e-03 
2.1         1.85e-02    9.64e-06     2.43e-03 
2.3         8.94e-03    6.19e-06     1.19e-03 
2.5         4.41e-03    4.06e-06     5.97e-04 
2.7         2.21e-03    2.70e-06     3.01e-04 
2.9         1.15e-03    1.85e-06     1.58e-04 
3.2         3.75e-04    1.01e-06     5.20e-05 
3.8         8.64e-05    4.38e-07     1.29e-05 
4.2         2.12e-05    2.00e-07     3.27e-06 
4.8         5.92e-06    9.87e-08     9.47e-07 
5.5         1.01e-06    3.69e-08     1.61e-07 
6.5         1.07e-07    1.16e-08     1.71e-08 
