Centrality: 0-10%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         3.69e-01    7.54e-05        7.29e-02 
1.1         4.47e-01    1.13e-04        8.85e-02 
1.3         4.19e-01    1.33e-04        8.33e-02 
1.5         4.85e-01    1.98e-04        9.69e-02 
1.7         4.70e-01    2.51e-04        9.40e-02 
1.9         4.57e-01    3.24e-04        9.18e-02 
2.1         4.76e-01    4.49e-04        1.08e-01 
2.3         5.09e-01    6.42e-04        1.13e-01 
2.5         5.39e-01    9.01e-04        1.32e-01 
2.7         5.37e-01    1.21e-03        1.07e-01 
2.9         5.63e-01    1.66e-03        1.05e-01 
3.2         5.39e-01    2.70e-03        9.98e-02 
3.8         5.25e-01    5.01e-03        1.06e-01 
4.2         4.96e-01    8.88e-03        1.01e-01 
4.8         4.91e-01    1.54e-02        1.05e-01 
5.5         4.68e-01    3.18e-02        9.88e-02 
6.5         4.28e-01    8.92e-02        9.35e-02 
7.5         3.77e-01    2.10e-01        1.38e-01 
Centrality: 10-20%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         3.60e-01    8.70e-05        7.12e-02 
1.1         4.69e-01    1.36e-04        9.29e-02 
1.3         4.49e-01    1.63e-04        8.91e-02 
1.5         5.29e-01    2.46e-04        1.06e-01 
1.7         5.11e-01    3.12e-04        1.02e-01 
1.9         5.08e-01    4.09e-04        1.02e-01 
2.1         5.47e-01    5.78e-04        1.24e-01 
2.3         5.91e-01    8.33e-04        1.31e-01 
2.5         6.23e-01    1.17e-03        1.52e-01 
2.7         6.45e-01    1.61e-03        1.28e-01 
2.9         6.73e-01    2.21e-03        1.26e-01 
3.2         6.68e-01    3.68e-03        1.24e-01 
3.8         6.82e-01    7.04e-03        1.38e-01 
4.2         6.68e-01    1.28e-02        1.36e-01 
4.8         6.63e-01    2.23e-02        1.41e-01 
5.5         6.17e-01    5.00e-02        1.30e-01 
6.5         5.79e-01    1.30e-01        1.26e-01 
7.5         4.41e-01    2.83e-01        1.62e-01 
Centrality: 20-40%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         4.99e-01    1.10e-04        9.86e-02 
1.1         6.06e-01    1.58e-04        1.20e-01 
1.3         5.38e-01    1.78e-04        1.07e-01 
1.5         6.16e-01    2.61e-04        1.23e-01 
1.7         5.92e-01    3.27e-04        1.18e-01 
1.9         5.88e-01    4.26e-04        1.18e-01 
2.1         6.25e-01    5.96e-04        1.42e-01 
2.3         6.76e-01    8.58e-04        1.50e-01 
2.5         7.20e-01    1.21e-03        1.76e-01 
2.7         7.62e-01    1.68e-03        1.51e-01 
2.9         7.77e-01    2.28e-03        1.45e-01 
3.2         7.94e-01    3.85e-03        1.47e-01 
3.8         7.97e-01    7.30e-03        1.61e-01 
4.2         7.52e-01    1.30e-02        1.53e-01 
4.8         7.70e-01    2.32e-02        1.64e-01 
5.5         8.05e-01    5.58e-02        1.70e-01 
6.5         7.61e-01    1.43e-01        1.66e-01 
7.5         9.44e-01    3.96e-01        3.47e-01 
8.5         1.08e+00    7.02e-01        4.24e-01 
Centrality: 40-60%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         5.55e-01    1.91e-04        1.10e-01 
1.1         7.02e-01    2.85e-04        1.39e-01 
1.3         6.26e-01    3.23e-04        1.24e-01 
1.5         7.13e-01    4.76e-04        1.42e-01 
1.7         6.95e-01    6.04e-04        1.39e-01 
1.9         6.93e-01    7.90e-04        1.39e-01 
2.1         7.37e-01    1.11e-03        1.68e-01 
2.3         8.21e-01    1.62e-03        1.82e-01 
2.5         8.64e-01    2.28e-03        2.11e-01 
2.7         9.16e-01    3.18e-03        1.82e-01 
2.9         9.82e-01    4.42e-03        1.84e-01 
3.2         9.81e-01    7.39e-03        1.82e-01 
3.8         1.06e+00    1.46e-02        2.14e-01 
4.2         1.10e+00    2.73e-02        2.23e-01 
