Centrality: 0-10%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
9.5         0.00e+00    0.00e+00        0.00e+00 
Centrality: 0-86%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         5.23e-01    3.87e-05        5.79e-02 
1.1         5.34e-01    4.76e-05        5.34e-02 
1.3         5.86e-01    6.42e-05        5.80e-02 
1.5         6.30e-01    8.68e-05        6.34e-02 
1.7         6.51e-01    1.15e-04        6.68e-02 
1.9         6.85e-01    1.56e-04        7.18e-02 
2.1         6.77e-01    1.99e-04        7.84e-02 
2.3         6.78e-01    2.61e-04        8.60e-02 
2.5         6.55e-01    3.28e-04        8.74e-02 
2.7         6.46e-01    4.19e-04        9.05e-02 
2.9         6.23e-01    5.22e-04        9.14e-02 
3.2         6.01e-01    9.67e-03        9.22e-02 
3.8         5.81e-01    1.66e-02        9.29e-02 
4.2         5.68e-01    2.72e-02        9.61e-02 
4.8         5.42e-01    4.29e-02        9.89e-02 
5.2         5.29e-01    6.21e-02        1.08e-01 
5.8         5.05e-01    8.07e-02        1.18e-01 
6.2         4.16e-01    1.03e-01        1.25e-01 
6.8         4.03e-01    3.56e-02        7.69e-02 
7.2         3.55e-01    3.96e-02        7.13e-02 
7.8         3.37e-01    4.89e-02        7.09e-02 
8.5         2.74e-01    5.11e-02        6.16e-02 
9.5         2.57e-01    5.80e-02        6.31e-02 
