

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.678      |   0.291 |  54.452 | \pm  0.124    |  85.02 | 143.32 | \pm 10.61   | 0.68         | 61.3  | \pm 10.46   | \pm  6.69   | \pm 16.33   
 0.656      |   7.996 |  52.602 | \pm  0.121    |  88.09 | 145.50 | \pm 11.00   | 0.71         | 59.8  | \pm  4.99   | \pm  4.56   | \pm 12.91   
 0.634      |   5.656 |  50.720 | \pm  0.119    |  88.72 | 145.76 | \pm 11.29   | 0.76         | 59.0  | \pm  2.81   | \pm  6.48   | \pm 13.32   
 0.613      |   3.346 |  48.897 | \pm  0.116    |  86.50 | 143.95 | \pm 11.39   | 0.79         | 57.0  | \pm  4.55   | \pm  6.31   | \pm 13.79   
 0.591      |   1.055 |  47.118 | \pm  0.114    |  85.01 | 142.75 | \pm 11.53   | 0.76         | 55.6  | \pm  6.00   | \pm  5.32   | \pm 14.04   
 0.569      |   8.752 |  45.296 | \pm  0.111    |  84.61 | 142.29 | \pm 11.90   | 0.76         | 54.0  | \pm  4.96   | \pm  7.98   | \pm 15.16   
 0.547      |   6.443 |  43.447 | \pm  0.108    |  83.38 | 141.14 | \pm 12.28   | 0.78         | 52.2  | \pm  5.40   | \pm  8.57   | \pm 15.92   
 0.525      |   4.144 |  41.614 | \pm  0.106    |  83.73 | 141.18 | \pm 12.87   | 0.78         | 51.2  | \pm  5.90   | \pm  8.41   | \pm 16.47   
 0.503      |   1.839 |  39.768 | \pm  0.103    |  86.84 | 143.32 | \pm 13.65   | 0.81         | 49.4  | \pm  3.47   | \pm  7.23   | \pm 15.83   
 0.481      |   9.534 |  37.909 | \pm  0.100    |  87.11 | 143.19 | \pm 14.16   | 0.84         | 47.9  | \pm  3.90   | \pm  7.38   | \pm 16.44   
 0.459      |   7.220 |  36.030 | \pm  0.097    |  89.72 | 144.71 | \pm 15.07   | 0.88         | 46.3  | \pm  2.39   | \pm  7.36   | \pm 16.94   
 0.438      |   4.921 |  34.153 | \pm  0.095    |  87.66 | 142.61 | \pm 15.56   | 0.85         | 44.6  | \pm  8.12   | \pm 10.08   | \pm 20.24   
 0.416      |   2.618 |  32.277 | \pm  0.092    |  88.72 | 142.85 | \pm 16.50   | 0.86         | 43.1  | \pm  7.80   | \pm  7.74   | \pm 19.83   
