

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.306      |   7.979 |  13.542 | \pm  0.043    |  81.64 |  61.65 | \pm  5.26   | 0.82         | 29.7  | \pm  3.02   | \pm  1.98   | \pm  6.38   
 0.284      |   6.715 |  12.625 | \pm  0.041    |  80.08 |  60.81 | \pm  5.43   | 0.83         | 28.4  | \pm  2.99   | \pm  2.30   | \pm  6.61   
 0.263      |   5.448 |  11.697 | \pm  0.039    |  78.84 |  60.25 | \pm  5.73   | 0.84         | 26.9  | \pm  3.19   | \pm  2.34   | \pm  6.96   
 0.241      |   4.177 |  10.756 | \pm  0.037    |  77.06 |  59.22 | \pm  5.98   | 0.86         | 25.2  | \pm  2.73   | \pm  2.06   | \pm  6.89   
 0.219      |   2.899 |   9.802 | \pm  0.029    |  74.63 |  57.61 | \pm  5.08   | 0.88         | 23.8  | \pm  2.84   | \pm  2.57   | \pm  6.36   
 0.197      |   1.616 |   8.833 | \pm  0.027    |  72.40 |  56.12 | \pm  5.38   | 0.92         | 22.1  | \pm  2.12   | \pm  2.05   | \pm  6.13   
 0.175      |   0.327 |   7.850 | \pm  0.022    |  68.48 |  53.34 | \pm  4.75   | 0.88         | 20.2  | \pm  2.15   | \pm  2.18   | \pm  5.65   
 0.153      |   9.035 |   6.859 | \pm  0.021    |  62.87 |  49.41 | \pm  4.84   | 0.82         | 18.3  | \pm  2.09   | \pm  2.55   | \pm  5.85   
 0.131      |   7.744 |   5.870 | \pm  0.017    |  58.29 |  45.68 | \pm  4.29   | 0.71         | 16.3  | \pm  2.05   | \pm  2.65   | \pm  5.45   
 0.109      |   6.452 |   4.877 | \pm  0.014    |  54.02 |  41.89 | \pm  4.10   | 0.58         | 14.5  | \pm  1.91   | \pm  2.54   | \pm  5.19   
 0.087      |   5.160 |   3.881 | \pm  0.011    |  49.72 |  38.24 | \pm  4.19   | 0.49         | 12.2  | \pm  1.74   | \pm  2.92   | \pm  5.40   
 0.066      |   3.895 |   3.027 | \pm  0.008    |  44.74 |  34.54 | \pm  4.38   | 0.49         | 10.2  | \pm  1.45   | \pm  3.09   | \pm  5.55   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XX)	Centrality 25-30%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   3.991 |  26.309 | \pm  0.090    |  67.99 |  52.63 | \pm  3.18   | 0.56         | 44.0  | \pm  2.58   | \pm  0.80   | \pm  4.17   
 0.678      |   3.067 |  25.615 | \pm  0.088    |  68.77 |  53.27 | \pm  3.29   | 0.61         | 44.0  | \pm  2.56   | \pm  0.05   | \pm  4.17   
 0.656      |   1.992 |  24.750 | \pm  0.086    |  67.53 |  52.23 | \pm  3.30   | 0.56         | 43.6  | \pm  3.20   | \pm  1.31   | \pm  4.78   
 0.634      |   0.890 |  23.863 | \pm  0.084    |  67.26 |  51.95 | \pm  3.34   | 0.58         | 42.8  | \pm  2.31   | \pm  1.01   | \pm  4.19   
 0.613      |   9.811 |  23.012 | \pm  0.082    |  67.40 |  52.02 | \pm  3.41   | 0.64         | 41.9  | \pm  1.64   | \pm  1.27   | \pm  3.99   
 0.591      |   8.732 |  22.173 | \pm  0.081    |  66.18 |  51.07 | \pm  3.41   | 0.65         | 41.3  | \pm  2.18   | \pm  0.79   | \pm  4.12   
 0.569      |   7.643 |  21.312 | \pm  0.079    |  66.17 |  51.01 | \pm  3.50   | 0.62         | 40.2  | \pm  2.87   | \pm  1.24   | \pm  4.69   
 0.547      |   6.558 |  20.443 | \pm  0.077    |  65.89 |  50.72 | \pm  3.57   | 0.65         | 38.9  | \pm  2.32   | \pm  1.30   | \pm  4.45   
 0.525      |   5.479 |  19.583 | \pm  0.075    |  65.64 |  50.44 | \pm  3.66   | 0.66         | 37.9  | \pm  2.53   | \pm  0.86   | \pm  4.53   
 0.503      |   4.403 |  18.721 | \pm  0.073    |  65.21 |  50.01 | \pm  3.75   | 0.66         | 37.1  | \pm  3.12   | \pm  1.03   | \pm  4.99   
 0.481      |   3.325 |  17.852 | \pm  0.071    |  64.30 |  49.19 | \pm  3.80   | 0.64         | 35.9  | \pm  3.10   | \pm  0.97   | \pm  5.00   
 0.459      |   2.243 |  16.972 | \pm  0.069    |  64.65 |  49.31 | \pm  3.94   | 0.67         | 35.0  | \pm  2.62   | \pm  0.71   | \pm  4.78   
 0.438      |   1.155 |  16.084 | \pm  0.067    |  63.75 |  48.45 | \pm  4.03   | 0.68         | 33.4  | \pm  2.73   | \pm  0.89   | \pm  4.95   
 0.416      |   0.074 |  15.204 | \pm  0.065    |  63.34 |  47.95 | \pm  4.15   | 0.70         | 32.4  | \pm  2.72   | \pm  1.01   | \pm  5.06   
 0.394      |   8.991 |  14.327 | \pm  0.063    |  62.47 |  47.09 | \pm  4.26   | 0.69         | 31.0  | \pm  2.95   | \pm  1.01   | \pm  5.28   
 0.372      |   7.912 |  13.455 | \pm  0.061    |  62.61 |  47.00 | \pm  4.49   | 0.71         | 29.9  | \pm  2.80   | \pm  0.83   | \pm  5.35   
 0.350      |   6.855 |  12.625 | \pm  0.042    |  62.05 |  46.45 | \pm  3.30   | 0.72         | 28.7  | \pm  2.34   | \pm  0.81   | \pm  4.12   
 0.328      |   5.805 |  11.868 | \pm  0.040    |  61.38 |  46.04 | \pm  3.39   | 0.72         | 27.5  | \pm  2.67   | \pm  1.02   | \pm  4.43   
 0.306      |   4.769 |  11.126 | \pm  0.038    |  60.26 |  45.34 | \pm  3.48   | 0.72         | 26.3  | \pm  2.88   | \pm  1.01   | \pm  4.63   
 0.284      |   3.731 |  10.376 | \pm  0.037    |  59.70 |  44.97 | \pm  3.62   | 0.71         | 25.1  | \pm  2.44   | \pm  1.21   | \pm  4.54   
 0.263      |   2.685 |   9.610 | \pm  0.035    |  59.20 |  44.67 | \pm  3.84   | 0.74         | 23.7  | \pm  2.61   | \pm  1.06   | \pm  4.76   
 0.241      |   1.640 |   8.838 | \pm  0.033    |  57.91 |  43.73 | \pm  4.00   | 0.71         | 22.3  | \pm  2.54   | \pm  1.09   | \pm  4.86   
 0.219      |   0.591 |   8.054 | \pm  0.026    |  56.00 |  42.22 | \pm  3.34   | 0.64         | 21.0  | \pm  2.38   | \pm  1.26   | \pm  4.29   
 0.197      |   9.535 |   7.258 | \pm  0.024    |  54.60 |  41.11 | \pm  3.51   | 0.67         | 19.3  | \pm  2.10   | \pm  1.43   | \pm  4.33   
 0.175      |   8.479 |   6.455 | \pm  0.020    |  52.59 |  39.35 | \pm  3.21   | 0.64         | 17.6  | \pm  2.49   | \pm  1.42   | \pm  4.30   
 0.153      |   7.420 |   5.643 | \pm  0.018    |  51.06 |  38.08 | \pm  3.48   | 0.62         | 16.0  | \pm  1.76   | \pm  1.53   | \pm  4.19   
 0.131      |   6.363 |   4.832 | \pm  0.015    |  49.16 |  36.41 | \pm  3.38   | 0.56         | 14.3  | \pm  1.61   | \pm  1.59   | \pm  4.07   
 0.109      |   5.306 |   4.017 | \pm  0.013    |  45.94 |  33.94 | \pm  3.32   | 0.49         | 12.3  | \pm  1.57   | \pm  1.75   | \pm  4.07   
 0.087      |   4.245 |   3.196 | \pm  0.010    |  43.38 |  31.95 | \pm  3.30   | 0.49         | 10.5  | \pm  1.68   | \pm  2.00   | \pm  4.21   
 0.066      |   3.205 |   2.492 | \pm  0.007    |  38.41 |  28.81 | \pm  3.58   | 0.47         |  8.8  | \pm  1.46   | \pm  2.20   | \pm  4.45   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXI)	Centrality 30-35%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   7.652 |  21.402 | \pm  0.079    |  58.33 |  45.15 | \pm  2.86   | 0.67         | 41.0  | \pm  3.24   | \pm  0.86   | \pm  4.41   
 0.678      |   6.900 |  20.838 | \pm  0.078    |  57.89 |  44.85 | \pm  2.86   | 0.60         | 40.9  | \pm  2.95   | \pm  0.85   | \pm  4.20   
 0.656      |   6.016 |  20.126 | \pm  0.076    |  57.99 |  44.86 | \pm  2.94   | 0.63         | 39.6  | \pm  2.17   | \pm  0.88   | \pm  3.75   
 0.634      |   5.115 |  19.401 | \pm  0.074    |  57.51 |  44.43 | \pm  2.98   | 0.66         | 38.4  | \pm  2.60   | \pm  0.72   | \pm  4.02   
 0.613      |   4.225 |  18.699 | \pm  0.073    |  56.95 |  43.97 | \pm  3.03   | 0.67         | 37.0  | \pm  2.60   | \pm  0.86   | \pm  4.09   
 0.591      |   3.345 |  18.015 | \pm  0.071    |  56.94 |  43.95 | \pm  3.10   | 0.70         | 36.3  | \pm  2.27   | \pm  0.77   | \pm  3.92   
 0.569      |   2.464 |  17.318 | \pm  0.070    |  56.67 |  43.71 | \pm  3.17   | 0.74         | 35.0  | \pm  1.78   | \pm  0.77   | \pm  3.72   
 0.547      |   1.583 |  16.613 | \pm  0.068    |  55.99 |  43.12 | \pm  3.22   | 0.71         | 33.9  | \pm  2.04   | \pm  0.69   | \pm  3.87   
 0.525      |   0.702 |  15.911 | \pm  0.066    |  56.01 |  43.07 | \pm  3.34   | 0.73         | 33.0  | \pm  2.00   | \pm  0.70   | \pm  3.96   
 0.503      |   9.828 |  15.210 | \pm  0.065    |  55.63 |  42.71 | \pm  3.44   | 0.76         | 31.8  | \pm  1.94   | \pm  0.84   | \pm  4.03   
 0.481      |   8.948 |  14.500 | \pm  0.063    |  55.29 |  42.37 | \pm  3.57   | 0.72         | 30.9  | \pm  2.25   | \pm  0.85   | \pm  4.30   
 0.459      |   8.064 |  13.781 | \pm  0.061    |  55.70 |  42.57 | \pm  3.73   | 0.77         | 30.1  | \pm  1.76   | \pm  0.78   | \pm  4.20   
 0.438      |   7.181 |  13.060 | \pm  0.059    |  54.86 |  41.80 | \pm  3.89   | 0.79         | 29.1  | \pm  2.03   | \pm  1.04   | \pm  4.51   
 0.416      |   6.302 |  12.344 | \pm  0.058    |  53.65 |  40.75 | \pm  3.97   | 0.68         | 28.0  | \pm  2.50   | \pm  1.08   | \pm  4.82   
 0.394      |   5.419 |  11.629 | \pm  0.056    |  53.33 |  40.40 | \pm  4.19   | 0.74         | 26.8  | \pm  2.48   | \pm  0.99   | \pm  4.97   
 0.372      |   4.543 |  10.920 | \pm  0.054    |  52.71 |  39.80 | \pm  4.38   | 0.75         | 25.4  | \pm  2.14   | \pm  0.93   | \pm  4.96   
 0.350      |   3.684 |  10.246 | \pm  0.037    |  52.57 |  39.60 | \pm  3.27   | 0.78         | 24.3  | \pm  2.15   | \pm  0.93   | \pm  4.02   
 0.328      |   2.833 |   9.633 | \pm  0.035    |  51.53 |  38.93 | \pm  3.35   | 0.81         | 23.0  | \pm  2.25   | \pm  0.95   | \pm  4.14   
 0.306      |   1.991 |   9.029 | \pm  0.034    |  49.87 |  37.95 | \pm  3.43   | 0.77         | 22.0  | \pm  2.29   | \pm  0.94   | \pm  4.23   
 0.284      |   1.146 |   8.415 | \pm  0.033    |  48.20 |  36.98 | \pm  3.59   | 0.76         | 20.9  | \pm  2.06   | \pm  0.89   | \pm  4.23   
 0.263      |   0.299 |   7.796 | \pm  0.031    |  47.05 |  36.22 | \pm  3.67   | 0.71         | 19.7  | \pm  1.60   | \pm  0.93   | \pm  4.11   
 0.241      |   9.450 |   7.169 | \pm  0.030    |  45.91 |  35.45 | \pm  3.79   | 0.69         | 18.6  | \pm  1.51   | \pm  0.93   | \pm  4.18   
 0.219      |   8.597 |   6.532 | \pm  0.023    |  44.64 |  34.66 | \pm  3.18   | 0.62         | 17.5  | \pm  1.43   | \pm  1.00   | \pm  3.62   
 0.197      |   7.740 |   5.885 | \pm  0.022    |  43.61 |  34.05 | \pm  3.30   | 0.57         | 16.3  | \pm  1.22   | \pm  1.01   | \pm  3.66   
 0.175      |   6.881 |   5.231 | \pm  0.018    |  42.44 |  33.32 | \pm  3.04   | 0.50         | 14.9  | \pm  1.36   | \pm  1.10   | \pm  3.51   
 0.153      |   6.023 |   4.574 | \pm  0.016    |  41.28 |  32.47 | \pm  3.26   | 0.45         | 13.6  | \pm  1.39   | \pm  1.27   | \pm  3.76   
 0.131      |   5.165 |   3.914 | \pm  0.013    |  40.29 |  31.79 | \pm  3.21   | 0.45         | 12.2  | \pm  1.33   | \pm  1.30   | \pm  3.71   
 0.109      |   4.306 |   3.253 | \pm  0.011    |  38.26 |  30.17 | \pm  3.27   | 0.46         | 10.7  | \pm  1.62   | \pm  1.28   | \pm  3.87   
 0.087      |   3.445 |   2.587 | \pm  0.009    |  35.11 |  27.79 | \pm  3.39   | 0.51         |  9.2  | \pm  1.18   | \pm  1.41   | \pm  3.86   
 0.066      |   2.606 |   2.037 | \pm  0.006    |  30.96 |  24.26 | \pm  3.44   | 0.54         |  7.9  | \pm  1.25   | \pm  1.14   | \pm  3.83   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXII)	Centrality 35-40%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   1.970 |  17.005 | \pm  0.071    |  47.25 |  36.57 | \pm  2.31   | 0.79         | 38.0  | \pm  0.68   | \pm  0.60   | \pm  2.48   
 0.678      |   1.372 |  16.556 | \pm  0.070    |  47.47 |  36.77 | \pm  2.32   | 0.69         | 37.7  | \pm  0.44   | \pm  0.02   | \pm  2.36   
 0.656      |   0.684 |  16.001 | \pm  0.068    |  46.97 |  36.33 | \pm  2.33   | 0.71         | 37.1  | \pm  0.92   | \pm  0.23   | \pm  2.51   
 0.634      |   9.964 |  15.423 | \pm  0.067    |  46.50 |  35.92 | \pm  2.35   | 0.79         | 36.0  | \pm  0.86   | \pm  0.30   | \pm  2.52   
 0.613      |   9.253 |  14.862 | \pm  0.065    |  46.36 |  35.78 | \pm  2.40   | 0.86         | 34.6  | \pm  0.91   | \pm  0.15   | \pm  2.57   
 0.591      |   8.572 |  14.333 | \pm  0.064    |  45.46 |  35.08 | \pm  2.41   | 0.82         | 33.4  | \pm  1.16   | \pm  0.36   | \pm  2.70   
 0.569      |   7.877 |  13.783 | \pm  0.063    |  45.55 |  35.11 | \pm  2.48   | 0.83         | 32.5  | \pm  1.22   | \pm  0.37   | \pm  2.79   
 0.547      |   7.176 |  13.221 | \pm  0.061    |  45.52 |  35.05 | \pm  2.54   | 0.83         | 31.7  | \pm  1.26   | \pm  0.44   | \pm  2.87   
 0.525      |   6.475 |  12.662 | \pm  0.059    |  45.45 |  34.94 | \pm  2.63   | 0.87         | 30.7  | \pm  1.09   | \pm  0.34   | \pm  2.87   
 0.503      |   5.778 |  12.104 | \pm  0.058    |  45.41 |  34.85 | \pm  2.70   | 0.87         | 29.8  | \pm  0.92   | \pm  0.22   | \pm  2.86   
 0.481      |   5.082 |  11.542 | \pm  0.057    |  44.90 |  34.38 | \pm  2.77   | 0.84         | 28.6  | \pm  1.02   | \pm  0.36   | \pm  2.97   
 0.459      |   4.380 |  10.972 | \pm  0.055    |  44.50 |  33.97 | \pm  2.83   | 0.81         | 27.6  | \pm  1.03   | \pm  0.31   | \pm  3.03   
 0.438      |   3.678 |  10.399 | \pm  0.053    |  43.95 |  33.42 | \pm  2.91   | 0.82         | 26.3  | \pm  1.15   | \pm  0.39   | \pm  3.15   
 0.416      |   2.978 |   9.829 | \pm  0.052    |  43.68 |  33.09 | \pm  2.99   | 0.81         | 25.4  | \pm  1.16   | \pm  0.33   | \pm  3.22   
 0.394      |   2.280 |   9.264 | \pm  0.050    |  43.03 |  32.45 | \pm  3.06   | 0.79         | 24.2  | \pm  1.23   | \pm  0.41   | \pm  3.32   
 0.372      |   1.582 |   8.700 | \pm  0.049    |  42.60 |  31.98 | \pm  3.17   | 0.77         | 23.1  | \pm  1.08   | \pm  0.45   | \pm  3.38   
 0.350      |   0.894 |   8.161 | \pm  0.033    |  42.04 |  31.45 | \pm  2.30   | 0.74         | 22.0  | \pm  1.00   | \pm  0.34   | \pm  2.53   
 0.328      |   0.213 |   7.670 | \pm  0.032    |  41.13 |  30.87 | \pm  2.34   | 0.72         | 21.0  | \pm  0.90   | \pm  0.35   | \pm  2.54   
 0.306      |   9.540 |   7.188 | \pm  0.031    |  40.19 |  30.29 | \pm  2.39   | 0.70         | 20.0  | \pm  0.86   | \pm  0.19   | \pm  2.55   
 0.284      |   8.867 |   6.699 | \pm  0.029    |  39.08 |  29.61 | \pm  2.46   | 0.69         | 18.9  | \pm  0.92   | \pm  0.28   | \pm  2.64   
 0.263      |   8.191 |   6.204 | \pm  0.028    |  38.50 |  29.35 | \pm  2.57   | 0.67         | 18.0  | \pm  0.97   | \pm  0.34   | \pm  2.77   
 0.241      |   7.517 |   5.707 | \pm  0.027    |  37.29 |  28.54 | \pm  2.64   | 0.57         | 17.1  | \pm  1.25   | \pm  0.50   | \pm  2.97   
 0.219      |   6.837 |   5.198 | \pm  0.021    |  36.65 |  28.17 | \pm  2.29   | 0.55         | 16.1  | \pm  0.92   | \pm  0.47   | \pm  2.51   
 0.197      |   6.155 |   4.685 | \pm  0.019    |  35.93 |  27.66 | \pm  2.40   | 0.55         | 15.0  | \pm  0.77   | \pm  0.51   | \pm  2.58   
 0.175      |   5.474 |   4.166 | \pm  0.016    |  34.69 |  26.74 | \pm  2.20   | 0.52         | 13.7  | \pm  0.77   | \pm  0.65   | \pm  2.43   
 0.153      |   4.792 |   3.644 | \pm  0.015    |  33.23 |  25.56 | \pm  2.37   | 0.50         | 12.4  | \pm  0.86   | \pm  0.72   | \pm  2.62   
 0.131      |   4.111 |   3.122 | \pm  0.012    |  31.76 |  24.13 | \pm  2.33   | 0.48         | 11.1  | \pm  0.88   | \pm  0.72   | \pm  2.59   
 0.109      |   3.426 |   2.594 | \pm  0.010    |  30.11 |  22.76 | \pm  2.52   | 0.54         |  9.8  | \pm  0.65   | \pm  0.72   | \pm  2.69   
 0.087      |   2.742 |   2.069 | \pm  0.008    |  28.05 |  20.82 | \pm  2.59   | 0.55         |  8.3  | \pm  0.86   | \pm  0.84   | \pm  2.85   
 0.066      |   2.070 |   1.609 | \pm  0.006    |  24.89 |  18.20 | \pm  2.64   | 0.54         |  7.0  | \pm  0.94   | \pm  0.95   | \pm  2.96   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXIII)	Centrality 40-45%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   7.453 |  13.508 | \pm  0.063    |  37.64 |  29.13 | \pm  1.83   | 0.74         | 35.0  | \pm  0.40   | \pm  0.98   | \pm  2.12   
 0.678      |   6.988 |  13.160 | \pm  0.062    |  37.36 |  28.94 | \pm  1.85   | 0.74         | 34.1  | \pm  1.08   | \pm  0.27   | \pm  2.16   
 0.656      |   6.429 |  12.709 | \pm  0.061    |  37.57 |  29.06 | \pm  1.91   | 0.83         | 33.0  | \pm  0.91   | \pm  0.00   | \pm  2.12   
 0.634      |   5.863 |  12.255 | \pm  0.059    |  37.55 |  29.01 | \pm  1.96   | 0.82         | 32.2  | \pm  1.54   | \pm  0.31   | \pm  2.51   
 0.613      |   5.315 |  11.822 | \pm  0.058    |  36.88 |  28.47 | \pm  1.96   | 0.76         | 31.4  | \pm  1.75   | \pm  0.34   | \pm  2.65   
 0.591      |   4.758 |  11.389 | \pm  0.057    |  36.84 |  28.43 | \pm  2.00   | 0.83         | 30.6  | \pm  1.76   | \pm  0.32   | \pm  2.68   
 0.569      |   4.201 |  10.948 | \pm  0.056    |  36.74 |  28.32 | \pm  2.04   | 0.88         | 29.8  | \pm  1.32   | \pm  0.26   | \pm  2.45   
 0.547      |   3.652 |  10.508 | \pm  0.054    |  36.19 |  27.85 | \pm  2.07   | 0.85         | 29.2  | \pm  1.54   | \pm  0.32   | \pm  2.60   
 0.525      |   3.096 |  10.065 | \pm  0.053    |  36.01 |  27.67 | \pm  2.12   | 0.83         | 28.3  | \pm  1.30   | \pm  0.22   | \pm  2.50   
 0.503      |   2.537 |   9.618 | \pm  0.051    |  36.07 |  27.66 | \pm  2.21   | 0.89         | 27.1  | \pm  1.25   | \pm  0.28   | \pm  2.55   
 0.481      |   1.980 |   9.169 | \pm  0.050    |  35.96 |  27.51 | \pm  2.28   | 0.91         | 26.3  | \pm  1.27   | \pm  0.33   | \pm  2.63   
 0.459      |   1.422 |   8.715 | \pm  0.049    |  35.74 |  27.26 | \pm  2.36   | 0.91         | 25.2  | \pm  1.12   | \pm  0.33   | \pm  2.63   
 0.438      |   0.861 |   8.258 | \pm  0.048    |  35.46 |  26.95 | \pm  2.43   | 0.87         | 24.2  | \pm  1.08   | \pm  0.28   | \pm  2.67   
 0.416      |   0.302 |   7.803 | \pm  0.046    |  35.19 |  26.64 | \pm  2.51   | 0.89         | 22.9  | \pm  1.10   | \pm  0.38   | \pm  2.77   
 0.394      |   9.742 |   7.349 | \pm  0.045    |  35.42 |  26.71 | \pm  2.63   | 0.92         | 22.0  | \pm  0.69   | \pm  0.34   | \pm  2.74   
 0.372      |   9.189 |   6.902 | \pm  0.043    |  35.02 |  26.31 | \pm  2.70   | 0.83         | 21.1  | \pm  0.86   | \pm  0.36   | \pm  2.86   
 0.350      |   8.649 |   6.478 | \pm  0.030    |  34.15 |  25.59 | \pm  1.94   | 0.73         | 19.9  | \pm  1.22   | \pm  0.51   | \pm  2.35   
 0.328      |   8.110 |   6.090 | \pm  0.029    |  33.55 |  25.21 | \pm  1.99   | 0.71         | 19.0  | \pm  1.19   | \pm  0.45   | \pm  2.36   
 0.306      |   7.578 |   5.708 | \pm  0.027    |  33.04 |  24.89 | \pm  2.06   | 0.70         | 18.0  | \pm  1.22   | \pm  0.41   | \pm  2.43   
 0.284      |   7.044 |   5.321 | \pm  0.026    |  32.48 |  24.52 | \pm  2.12   | 0.67         | 17.0  | \pm  1.18   | \pm  0.43   | \pm  2.47   
 0.263      |   6.509 |   4.930 | \pm  0.025    |  31.66 |  23.97 | \pm  2.17   | 0.63         | 16.1  | \pm  1.12   | \pm  0.45   | \pm  2.48   
 0.241      |   5.973 |   4.533 | \pm  0.024    |  30.82 |  23.44 | \pm  2.22   | 0.61         | 15.1  | \pm  1.00   | \pm  0.46   | \pm  2.48   
 0.219      |   5.435 |   4.131 | \pm  0.018    |  29.59 |  22.59 | \pm  1.88   | 0.58         | 14.0  | \pm  1.09   | \pm  0.45   | \pm  2.23   
 0.197      |   4.894 |   3.723 | \pm  0.017    |  28.75 |  22.00 | \pm  2.00   | 0.54         | 13.1  | \pm  0.83   | \pm  0.49   | \pm  2.22   
 0.175      |   4.353 |   3.311 | \pm  0.014    |  28.04 |  21.41 | \pm  1.89   | 0.56         | 12.1  | \pm  0.90   | \pm  0.54   | \pm  2.16   
 0.153      |   3.811 |   2.896 | \pm  0.013    |  26.88 |  20.50 | \pm  2.02   | 0.50         | 10.9  | \pm  0.74   | \pm  0.51   | \pm  2.21   
 0.131      |   3.267 |   2.478 | \pm  0.011    |  25.91 |  19.73 | \pm  2.01   | 0.52         |  9.9  | \pm  0.63   | \pm  0.54   | \pm  2.18   
 0.109      |   2.724 |   2.060 | \pm  0.009    |  24.44 |  18.61 | \pm  2.05   | 0.47         |  8.7  | \pm  0.38   | \pm  0.61   | \pm  2.18   
 0.087      |   2.179 |   1.639 | \pm  0.007    |  22.93 |  17.48 | \pm  2.12   | 0.55         |  7.4  | \pm  0.38   | \pm  0.55   | \pm  2.22   
 0.066      |   1.646 |   1.279 | \pm  0.005    |  20.46 |  15.59 | \pm  2.26   | 0.54         |  6.3  | \pm  0.59   | \pm  0.51   | \pm  2.39   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXIV)	Centrality 45-50%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   3.493 |  10.444 | \pm  0.054    |  32.22 |  24.94 | \pm  1.72   | 0.77         | 27.0  | \pm  1.57   | \pm  0.13   | \pm  2.34   
 0.678      |   3.123 |  10.166 | \pm  0.053    |  32.44 |  25.13 | \pm  1.74   | 0.79         | 26.9  | \pm  1.12   | \pm  0.09   | \pm  2.07   
 0.656      |   2.698 |   9.823 | \pm  0.052    |  32.30 |  24.99 | \pm  1.77   | 0.81         | 25.6  | \pm  0.70   | \pm  0.22   | \pm  1.92   
 0.634      |   2.261 |   9.472 | \pm  0.051    |  32.54 |  25.14 | \pm  1.85   | 0.89         | 24.6  | \pm  0.78   | \pm  0.32   | \pm  2.04   
 0.613      |   1.829 |   9.131 | \pm  0.050    |  32.98 |  25.46 | \pm  1.94   | 0.89         | 23.9  | \pm  0.81   | \pm  0.20   | \pm  2.11   
 0.591      |   1.403 |   8.800 | \pm  0.049    |  33.01 |  25.47 | \pm  2.00   | 0.88         | 23.1  | \pm  0.56   | \pm  0.28   | \pm  2.10   
 0.569      |   0.976 |   8.462 | \pm  0.048    |  32.73 |  25.23 | \pm  2.04   | 0.84         | 22.3  | \pm  0.56   | \pm  0.24   | \pm  2.13   
 0.547      |   0.547 |   8.119 | \pm  0.046    |  32.55 |  25.05 | \pm  2.09   | 0.84         | 21.7  | \pm  0.52   | \pm  0.29   | \pm  2.18   
 0.525      |   0.120 |   7.778 | \pm  0.045    |  32.54 |  25.00 | \pm  2.16   | 0.80         | 21.0  | \pm  0.30   | \pm  0.28   | \pm  2.20   
 0.503      |   9.694 |   7.437 | \pm  0.044    |  32.48 |  24.91 | \pm  2.23   | 0.76         | 20.5  | \pm  0.39   | \pm  0.31   | \pm  2.28   
 0.481      |   9.267 |   7.093 | \pm  0.043    |  32.14 |  24.60 | \pm  2.28   | 0.67         | 19.8  | \pm  0.44   | \pm  0.30   | \pm  2.34   
 0.459      |   8.836 |   6.742 | \pm  0.042    |  31.98 |  24.40 | \pm  2.37   | 0.60         | 19.1  | \pm  0.57   | \pm  0.34   | \pm  2.46   
 0.438      |   8.403 |   6.389 | \pm  0.041    |  31.90 |  24.26 | \pm  2.46   | 0.55         | 18.5  | \pm  0.56   | \pm  0.36   | \pm  2.54   
