0 - 20 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0386     0.00205      0.00981     -0.00805
    -1.13     0.00193     0.00193      0.00294     -0.00159
    -0.83     0.0187     0.00165      -0.00873     0.00935
    -0.54     0.0892     0.00141      -0.0214     0.0212
    -0.29     0.174     0.00164      -0.0297     0.0289
    -0.15     0.227     0.00231      -0.0326     0.0316
    -0.05     0.25     0.0023      -0.0335     0.0324
    0.05     0.25     0.00228      -0.0335     0.0324
    0.15     0.23     0.00228      -0.0326     0.0316
    0.29     0.179     0.00161      -0.0297     0.0289
    0.54     0.0936     0.00139      -0.0214     0.0212
    0.83     0.0163     0.00162      -0.00873     0.00935
    1.13     -0.000358     0.00187      0.00294     -0.00159
    1.42     0.0428     0.00202      0.00981     -0.00805
    1.77     0.0974     0.00183      0.00911     -0.00739
    2.16     0.138     0.00154      -0.0025     0.00351
    2.45     0.133     0.00194      -0.0152     0.0154
    2.65     0.124     0.00185      -0.0234     0.023
    2.85     0.112     0.00176      -0.0297     0.0289
    3.04     0.109     0.0017      -0.0331     0.0321
    3.24     0.106     0.00168      -0.0331     0.0321
    3.44     0.114     0.00173      -0.0297     0.0289
    3.63     0.128     0.00181      -0.0234     0.023
    3.83     0.135     0.0019      -0.0152     0.0154
    4.12     0.136     0.00149      -0.0025     0.00351
    4.52     0.101     0.00177      0.00911     -0.00739
2-3 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0273     0.00119      0.00379     -0.00359
    -1.13     0.00468     0.000984      0.000756     -0.000715
    -0.83     0.0135     0.000808      -0.00451     0.00425
    -0.54     0.069     0.000691      -0.0104     0.00977
    -0.29     0.11     0.000764      -0.0143     0.0134
    -0.15     0.147     0.00103      -0.0157     0.0147
    -0.05     0.146     0.00103      -0.0161     0.0151
    0.05     0.147     0.00103      -0.0161     0.0151
    0.15     0.146     0.00103      -0.0157     0.0147
    0.29     0.111     0.000754      -0.0143     0.0134
    0.54     0.0692     0.000675      -0.0104     0.00977
    0.83     0.0129     0.000773      -0.00451     0.00425
    1.13     0.00184     0.000946      0.000756     -0.000715
    1.42     0.0293     0.00118      0.00379     -0.00359
    1.77     0.0671     0.000983      0.00348     -0.0033
    2.16     0.076     0.000759      -0.00168     0.00159
    2.45     0.0649     0.000913      -0.0075     0.00706
    2.65     0.0546     0.00085      -0.0113     0.0106
    2.85     0.0465     0.000815      -0.0143     0.0134
    3.04     0.0408     0.0008      -0.0159     0.0149
    3.24     0.0405     0.000798      -0.0159     0.0149
    3.44     0.0446     0.000807      -0.0143     0.0134
    3.63     0.0545     0.000841      -0.0113     0.0106
    3.83     0.0632     0.000896      -0.0075     0.00706
    4.12     0.0765     0.00074      -0.00168     0.00159
    4.52     0.0662     0.000954      0.00348     -0.0033
2-3 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00408     0.00033      0.000409     -0.000389
    -1.13     0.000505     0.000263      8.22e-05     -7.79e-05
    -0.83     0.00152     0.000216      -0.000496     0.000468
    -0.54     0.00977     0.000187      -0.00116     0.00109
    -0.29     0.0203     0.000205      -0.0016     0.0015
    -0.15     0.0236     0.000279      -0.00176     0.00165
    -0.05     0.0259     0.000273      -0.00181     0.00169
    0.05     0.0259     0.000273      -0.00181     0.00169
    0.15     0.0236     0.000278      -0.00176     0.00165
    0.29     0.0202     0.000204      -0.0016     0.0015
    0.54     0.00982     0.000182      -0.00116     0.00109
    0.83     0.00152     0.000205      -0.000496     0.000468
    1.13     0.000529     0.000252      8.22e-05     -7.79e-05
    1.42     0.00433     0.00033      0.000409     -0.000389
    1.77     0.00812     0.000265      0.000376     -0.000357
    2.16     0.00836     0.000203      -0.000184     0.000174
    2.45     0.00669     0.000243      -0.000831     0.000782
    2.65     0.00516     0.000224      -0.00126     0.00118
    2.85     0.00367     0.000216      -0.0016     0.0015
    3.04     0.00294     0.000213      -0.00179     0.00168
    3.24     0.00301     0.000213      -0.00179     0.00168
    3.44     0.00366     0.000215      -0.0016     0.0015
    3.63     0.00511     0.000223      -0.00126     0.00118
    3.83     0.00689     0.00024      -0.000831     0.000782
    4.12     0.00834     0.0002      -0.000184     0.000174
    4.52     0.00814     0.00026      0.000376     -0.000357
2-3 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000422     0.000109      5.62e-05     -3.96e-05
    -1.13     3.27e-05     8.48e-05      2.31e-05     -7.96e-06
    -0.83     0.000192     7.01e-05      -3.59e-05     4.79e-05
    -0.54     0.00122     6.23e-05      -0.000104     0.000112
    -0.29     0.00289     6.91e-05      -0.000149     0.000154
    -0.15     0.00367     9.36e-05      -0.000166     0.000169
    -0.05     0.00389     9.1e-05      -0.000171     0.000174
    0.05     0.00416     9.12e-05      -0.000171     0.000174
    0.15     0.00369     9.35e-05      -0.000166     0.000169
    0.29     0.00281     6.91e-05      -0.000149     0.000154
    0.54     0.0011     6.2e-05      -0.000104     0.000112
    0.83     0.000119     6.99e-05      -3.59e-05     4.79e-05
    1.13     1.31e-05     8.45e-05      2.31e-05     -7.96e-06
    1.42     0.000335     0.000109      5.62e-05     -3.96e-05
    1.77     0.000803     8.53e-05      5.29e-05     -3.64e-05
    2.16     0.000846     6.61e-05      -3.99e-06     1.78e-05
    2.45     0.000636     8.07e-05      -7.01e-05     8.01e-05
    2.65     0.00043     7.48e-05      -0.000114     0.000121
    2.85     0.000166     7.18e-05      -0.000149     0.000154
    3.04     0.000234     7.1e-05      -0.000169     0.000172
    3.24     0.000164     7.1e-05      -0.000169     0.000172
    3.44     0.00042     7.24e-05      -0.000149     0.000154
    3.63     0.000494     7.51e-05      -0.000114     0.000121
    3.83     0.000686     8.12e-05      -7.01e-05     8.01e-05
    4.12     0.000835     6.66e-05      -3.99e-06     1.78e-05
    4.52     0.000811     8.61e-05      5.29e-05     -3.64e-05
2-3 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000168     4.35e-05      9.23e-06     -5.82e-06
    -1.13     -1.69e-05     3.36e-05      4.35e-06     -1.17e-06
    -0.83     2.31e-06     2.77e-05      -4.26e-06     6.99e-06
    -0.54     0.000107     2.44e-05      -1.41e-05     1.62e-05
    -0.29     0.000438     2.73e-05      -2.07e-05     2.24e-05
    -0.15     0.00069     3.71e-05      -2.3e-05     2.46e-05
    -0.05     0.000849     3.64e-05      -2.37e-05     2.52e-05
    0.05     0.000896     3.65e-05      -2.37e-05     2.52e-05
    0.15     0.000732     3.71e-05      -2.3e-05     2.46e-05
    0.29     0.000441     2.72e-05      -2.07e-05     2.24e-05
    0.54     0.000156     2.43e-05      -1.41e-05     1.62e-05
    0.83     4.39e-05     2.75e-05      -4.26e-06     6.99e-06
    1.13     -7.2e-05     3.3e-05      4.35e-06     -1.17e-06
    1.42     6.5e-05     4.29e-05      9.23e-06     -5.82e-06
    1.77     8.13e-05     3.37e-05      8.74e-06     -5.35e-06
    2.16     6.13e-05     2.6e-05      3.89e-07     2.6e-06
    2.45     3.97e-05     3.17e-05      -9.23e-06     1.17e-05
    2.65     1.25e-05     2.94e-05      -1.56e-05     1.76e-05
    2.85     1.03e-05     2.83e-05      -2.07e-05     2.24e-05
    3.04     9.05e-05     2.81e-05      -2.35e-05     2.5e-05
    3.24     2.35e-05     2.8e-05      -2.35e-05     2.5e-05
    3.44     3.83e-05     2.85e-05      -2.07e-05     2.24e-05
    3.63     8.02e-05     2.96e-05      -1.56e-05     1.76e-05
    3.83     8.15e-05     3.19e-05      -9.23e-06     1.17e-05
    4.12     8.62e-05     2.61e-05      3.89e-07     2.6e-06
    4.52     8.76e-05     3.37e-05      8.74e-06     -5.35e-06
2-3 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     2.68e-05     3.8e-05      1.13e-05     -8.13e-06
    -1.13     -1.15e-06     3.11e-05      7.76e-06     -4.77e-06
    -0.83     -1.57e-05     2.52e-05      1.55e-06     1.09e-06
    -0.54     2.5e-06     2.17e-05      -5.49e-06     7.67e-06
    -0.29     0.00017     2.38e-05      -1.02e-05     1.2e-05
    -0.15     0.00033     3.2e-05      -1.19e-05     1.36e-05
    -0.05     0.000326     3.1e-05      -1.24e-05     1.41e-05
    0.05     0.000433     3.13e-05      -1.24e-05     1.41e-05
    0.15     0.000297     3.14e-05      -1.19e-05     1.36e-05
    0.29     0.000172     2.32e-05      -1.02e-05     1.2e-05
    0.54     3.95e-05     2.06e-05      -5.49e-06     7.67e-06
    0.83     3.81e-05     2.33e-05      1.55e-06     1.09e-06
    1.13     3.41e-05     2.8e-05      7.76e-06     -4.77e-06
    1.42     3.43e-05     3.67e-05      1.13e-05     -8.13e-06
    1.77     6.01e-05     2.97e-05      1.09e-05     -7.79e-06
    2.16     5.26e-05     2.31e-05      4.9e-06     -2.06e-06
    2.45     6.8e-05     2.86e-05      -2.01e-06     4.43e-06
    2.65     2.87e-05     2.62e-05      -6.57e-06     8.68e-06
    2.85     5.75e-05     2.51e-05      -1.02e-05     1.2e-05
    3.04     1.23e-05     2.45e-05      -1.22e-05     1.39e-05
    3.24     -6.3e-06     2.47e-05      -1.22e-05     1.39e-05
    3.44     2.81e-05     2.54e-05      -1.02e-05     1.2e-05
    3.63     4.29e-05     2.61e-05      -6.57e-06     8.68e-06
    3.83     5.52e-05     2.78e-05      -2.01e-06     4.43e-06
    4.12     0.000104     2.24e-05      4.9e-06     -2.07e-06
    4.52     9.41e-05     2.87e-05      1.09e-05     -7.79e-06
3-4 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0524     0.00661      0.0174     -0.00963
    -1.13     -0.00296     0.00626      0.0101     -0.00277
    -0.83     0.0165     0.00534      -0.00227     0.00887
    -0.54     0.0874     0.00456      -0.0158     0.0215
    -0.29     0.203     0.00531      -0.0246     0.0297
    -0.15     0.281     0.00747      -0.0276     0.0326
    -0.05     0.288     0.00744      -0.0286     0.0335
    0.05     0.284     0.0074      -0.0286     0.0335
    0.15     0.275     0.00738      -0.0276     0.0326
    0.29     0.194     0.00522      -0.0246     0.0297
    0.54     0.0905     0.00448      -0.0158     0.0215
    0.83     0.0082     0.00523      -0.00227     0.00887
    1.13     0.00378     0.00608      0.0101     -0.00277
    1.42     0.0684     0.00654      0.0174     -0.00963
    1.77     0.132     0.00595      0.0167     -0.00893
    2.16     0.177     0.005      0.00435     0.00266
    2.45     0.173     0.0063      -0.00918     0.0154
    2.65     0.169     0.00599      -0.0178     0.0235
    2.85     0.141     0.0057      -0.0246     0.0297
    3.04     0.151     0.00549      -0.0282     0.0332
    3.24     0.155     0.00545      -0.0282     0.0332
    3.44     0.155     0.00561      -0.0246     0.0297
    3.63     0.165     0.00586      -0.0178     0.0235
    3.83     0.172     0.00614      -0.00918     0.0154
    4.12     0.176     0.00482      0.00435     0.00266
    4.52     0.128     0.00573      0.0167     -0.00894
3-4 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0417     0.00385      0.00534     -0.00382
    -1.13     0.00231     0.00317      0.00212     -0.000762
    -0.83     0.0124     0.00262      -0.00348     0.00453
    -0.54     0.0775     0.00224      -0.00976     0.0104
    -0.29     0.145     0.00247      -0.0139     0.0143
    -0.15     0.195     0.00335      -0.0154     0.0157
    -0.05     0.215     0.00334      -0.0159     0.0161
    0.05     0.214     0.00335      -0.0159     0.0161
    0.15     0.196     0.00335      -0.0154     0.0157
    0.29     0.141     0.00244      -0.0139     0.0143
    0.54     0.0738     0.00219      -0.00976     0.0104
    0.83     0.0107     0.00251      -0.00348     0.00453
    1.13     -0.00301     0.00306      0.00212     -0.000762
    1.42     0.0376     0.00386      0.00534     -0.00382
    1.77     0.0782     0.00322      0.00502     -0.00351
    2.16     0.0841     0.00247      -0.000466     0.00169
    2.45     0.0691     0.00296      -0.00667     0.00754
    2.65     0.0576     0.00276      -0.0107     0.0113
    2.85     0.0493     0.00264      -0.0139     0.0143
    3.04     0.0441     0.00259      -0.0157     0.016
    3.24     0.0435     0.00259      -0.0157     0.016
    3.44     0.0501     0.0026      -0.0139     0.0143
    3.63     0.0596     0.00273      -0.0107     0.0113
    3.83     0.0799     0.00288      -0.00667     0.00754
    4.12     0.0854     0.00239      -0.000466     0.00169
    4.52     0.076     0.0031      0.00502     -0.00351
3-4 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00374     0.00107      0.000534     -0.000413
    -1.13     0.000487     0.000849      0.000188     -8.31e-05
    -0.83     0.00142     0.000699      -0.000428     0.0005
    -0.54     0.0115     0.000607      -0.00114     0.00116
    -0.29     0.0289     0.000672      -0.00161     0.00161
    -0.15     0.0389     0.000917      -0.00179     0.00177
    -0.05     0.044     0.000899      -0.00184     0.00182
    0.05     0.0405     0.000895      -0.00184     0.00182
    0.15     0.0376     0.000916      -0.00179     0.00177
    0.29     0.0298     0.000669      -0.00161     0.00161
    0.54     0.0127     0.000592      -0.00114     0.00116
    0.83     0.00172     0.000664      -0.000428     0.0005
    1.13     8.11e-05     0.000816      0.000188     -8.31e-05
    1.42     0.00377     0.00108      0.000534     -0.000413
    1.77     0.00826     0.000867      0.0005     -0.00038
    2.16     0.00889     0.000661      -9.45e-05     0.000185
    2.45     0.00669     0.00079      -0.000786     0.000836
    2.65     0.00486     0.000728      -0.00125     0.00127
    2.85     0.0041     0.0007      -0.00161     0.00161
    3.04     0.00232     0.000692      -0.00182     0.0018
    3.24     0.00195     0.000691      -0.00182     0.0018
    3.44     0.00189     0.000694      -0.00161     0.00161
    3.63     0.00434     0.000719      -0.00125     0.00127
    3.83     0.00636     0.000778      -0.000785     0.000836
    4.12     0.00864     0.000645      -9.45e-05     0.000185
    4.52     0.00828     0.000844      0.0005     -0.00038
3-4 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000547     0.000356      4.42e-05     -4.21e-05
    -1.13     -0.000112     0.000274      8.93e-06     -8.48e-06
    -0.83     0.000156     0.000226      -5.42e-05     5.12e-05
    -0.54     0.002     0.000204      -0.000127     0.000119
    -0.29     0.00525     0.000232      -0.000177     0.000165
    -0.15     0.00806     0.00032      -0.000195     0.000182
    -0.05     0.00963     0.000311      -0.0002     0.000187
    0.05     0.00945     0.00031      -0.0002     0.000187
    0.15     0.00802     0.000319      -0.000195     0.000182
    0.29     0.0051     0.000231      -0.000177     0.000165
    0.54     0.00198     0.000204      -0.000127     0.000119
    0.83     0.000189     0.000226      -5.42e-05     5.12e-05
    1.13     -5.54e-06     0.000274      8.93e-06     -8.48e-06
    1.42     0.000491     0.000355      4.42e-05     -4.21e-05
    1.77     0.00122     0.00028      4.07e-05     -3.87e-05
    2.16     0.000734     0.000215      -2e-05     1.89e-05
    2.45     0.000671     0.000264      -9.11e-05     8.57e-05
    2.65     0.000696     0.000243      -0.000139     0.00013
    2.85     0.000263     0.000234      -0.000177     0.000165
    3.04     0.00051     0.000231      -0.000198     0.000185
    3.24     0.000497     0.000231      -0.000198     0.000185
    3.44     0.000393     0.000235      -0.000177     0.000165
    3.63     0.000683     0.000243      -0.000139     0.00013
    3.83     0.000527     0.000263      -9.11e-05     8.57e-05
    4.12     0.000802     0.000215      -2e-05     1.89e-05
    4.52     0.00127     0.00028      4.07e-05     -3.87e-05
3-4 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -0.000117     0.000138      2e-06     -1.9e-06
    -1.13     3.41e-05     0.000109      -3.22e-06     3.05e-06
    -0.83     -2.38e-05     8.87e-05      -1.25e-05     1.18e-05
    -0.54     0.000338     8.05e-05      -2.31e-05     2.17e-05
    -0.29     0.000972     9.24e-05      -3.02e-05     2.83e-05
    -0.15     0.00198     0.000132      -3.28e-05     3.07e-05
    -0.05     0.00244     0.000129      -3.36e-05     3.14e-05
    0.05     0.00264     0.000131      -3.36e-05     3.14e-05
    0.15     0.00187     0.00013      -3.28e-05     3.07e-05
    0.29     0.00109     9.29e-05      -3.02e-05     2.83e-05
    0.54     0.000301     8e-05      -2.31e-05     2.17e-05
    0.83     0.000111     8.95e-05      -1.25e-05     1.18e-05
    1.13     -3.57e-05     0.000107      -3.22e-06     3.05e-06
    1.42     0.000183     0.000141      2e-06     -1.9e-06
    1.77     5.45e-05     0.00011      1.48e-06     -1.4e-06
    2.16     6.95e-05     8.44e-05      -7.48e-06     7.07e-06
    2.45     0.000166     0.000104      -1.78e-05     1.68e-05
    2.65     9.55e-05     9.53e-05      -2.47e-05     2.32e-05
    2.85     0.00028     9.41e-05      -3.02e-05     2.83e-05
    3.04     0.000189     9.17e-05      -3.33e-05     3.11e-05
    3.24     9.64e-05     9.08e-05      -3.33e-05     3.11e-05
    3.44     0.000135     9.29e-05      -3.02e-05     2.83e-05
    3.63     0.000116     9.5e-05      -2.47e-05     2.32e-05
    3.83     1.84e-05     0.000102      -1.78e-05     1.68e-05
    4.12     0.000122     8.43e-05      -7.48e-06     7.07e-06
    4.52     -1.02e-05     0.000108      1.48e-06     -1.4e-06
3-4 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0002     0.000126      1.47e-06     -1.39e-06
    -1.13     -3.76e-05     0.000101      -2.37e-06     2.23e-06
    -0.83     0.000131     8.29e-05      -9.15e-06     8.58e-06
    -0.54     2.28e-05     7.06e-05      -1.69e-05     1.57e-05
    -0.29     0.000417     7.99e-05      -2.2e-05     2.05e-05
    -0.15     0.00107     0.000112      -2.39e-05     2.22e-05
    -0.05     0.00158     0.000113      -2.45e-05     2.27e-05
    0.05     0.00178     0.000114      -2.45e-05     2.27e-05
    0.15     0.00104     0.00011      -2.39e-05     2.22e-05
    0.29     0.000349     7.7e-05      -2.2e-05     2.05e-05
    0.54     0.000191     6.81e-05      -1.69e-05     1.57e-05
    0.83     8.54e-05     7.57e-05      -9.15e-06     8.58e-06
    1.13     1.76e-05     9.09e-05      -2.37e-06     2.23e-06
    1.42     0.000298     0.000124      1.47e-06     -1.39e-06
    1.77     -8.14e-06     9.66e-05      1.09e-06     -1.03e-06
    2.16     0.000112     7.58e-05      -5.49e-06     5.16e-06
    2.45     0.000214     9.51e-05      -1.31e-05     1.22e-05
    2.65     4.93e-06     8.46e-05      -1.81e-05     1.68e-05
    2.85     4.78e-05     8.21e-05      -2.2e-05     2.05e-05
    3.04     0.000137     8.09e-05      -2.43e-05     2.25e-05
    3.24     0.000234     8.24e-05      -2.43e-05     2.25e-05
    3.44     6.78e-05     8.3e-05      -2.2e-05     2.05e-05
    3.63     6.51e-05     8.43e-05      -1.81e-05     1.68e-05
    3.83     0.000137     9.16e-05      -1.31e-05     1.22e-05
    4.12     3.25e-07     7.15e-05      -5.49e-06     5.16e-06
    4.52     -4.14e-05     9.15e-05      1.09e-06     -1.03e-06
4-5 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0707     0.0196      0.0175     -0.0128
    -1.13     0.0344     0.0185      0.0102     -0.00592
    -0.83     0.0306     0.0157      -0.00227     0.00574
    -0.54     0.0937     0.0135      -0.0158     0.0184
    -0.29     0.201     0.0158      -0.0246     0.0265
    -0.15     0.266     0.0223      -0.0276     0.0294
    -0.05     0.219     0.0222      -0.0286     0.0303
    0.05     0.302     0.0222      -0.0286     0.0303
    0.15     0.286     0.0221      -0.0276     0.0294
    0.29     0.218     0.0158      -0.0246     0.0265
    0.54     0.0892     0.0136      -0.0158     0.0184
    0.83     0.00237     0.0161      -0.00227     0.00574
    1.13     0.00549     0.0187      0.0102     -0.00592
    1.42     0.0523     0.0201      0.0175     -0.0128
    1.77     0.174     0.018      0.0167     -0.0121
    2.16     0.217     0.015      0.00436     -0.000478
    2.45     0.215     0.019      -0.0092     0.0122
    2.65     0.193     0.018      -0.0178     0.0203
    2.85     0.196     0.0171      -0.0246     0.0265
    3.04     0.179     0.0166      -0.0282     0.03
    3.24     0.156     0.0165      -0.0282     0.03
    3.44     0.192     0.017      -0.0246     0.0265
    3.63     0.217     0.0177      -0.0178     0.0203
    3.83     0.177     0.0185      -0.0092     0.0122
    4.12     0.172     0.0146      0.00436     -0.000478
    4.52     0.123     0.0172      0.0167     -0.0121
4-5 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00508     0.0114      0.00519     -0.00386
    -1.13     0.00871     0.00933      0.00193     -0.000768
    -0.83     0.00252     0.0077      -0.00372     0.00456
    -0.54     0.0786     0.00658      -0.01     0.0105
    -0.29     0.144     0.00731      -0.0142     0.0143
    -0.15     0.245     0.01      -0.0156     0.0157
    -0.05     0.268     0.01      -0.0161     0.0161
    0.05     0.277     0.0101      -0.0161     0.0161
    0.15     0.228     0.0101      -0.0156     0.0157
    0.29     0.162     0.00736      -0.0142     0.0143
    0.54     0.0793     0.00668      -0.01     0.0105
    0.83     -0.00188     0.00775      -0.00372     0.00456
    1.13     -0.00112     0.00955      0.00193     -0.000768
    1.42     0.0397     0.012      0.00519     -0.00386
    1.77     0.0774     0.00962      0.00486     -0.00355
    2.16     0.071     0.00734      -0.000687     0.0017
    2.45     0.0762     0.00886      -0.00692     0.00757
    2.65     0.0705     0.00835      -0.011     0.0114
    2.85     0.0659     0.008      -0.0142     0.0143
    3.04     0.0477     0.00785      -0.0159     0.016
    3.24     0.053     0.00782      -0.0159     0.016
    3.44     0.064     0.00787      -0.0142     0.0143
    3.63     0.0798     0.00831      -0.011     0.0114
    3.83     0.069     0.00874      -0.00692     0.00757
    4.12     0.0762     0.00725      -0.000687     0.0017
    4.52     0.0523     0.00933      0.00486     -0.00355
4-5 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00379     0.0032      0.000665     -0.00042
    -1.13     -0.00368     0.00249      0.000313     -8.42e-05
    -0.83     0.00229     0.00205      -0.000309     0.000505
    -0.54     0.014     0.00179      -0.00102     0.00117
    -0.29     0.0354     0.002      -0.00149     0.00162
    -0.15     0.0563     0.00277      -0.00166     0.00177
    -0.05     0.0679     0.00275      -0.00172     0.00182
    0.05     0.0679     0.00276      -0.00172     0.00182
    0.15     0.0548     0.0028      -0.00166     0.00177
    0.29     0.0355     0.00203      -0.00149     0.00162
    0.54     0.00879     0.00179      -0.00102     0.00117
    0.83     0.000491     0.00205      -0.000309     0.000505
    1.13     -0.00207     0.00256      0.000313     -8.42e-05
    1.42     0.00986     0.00336      0.000665     -0.00042
    1.77     0.0101     0.0026      0.000629     -0.000386
    2.16     0.00776     0.00196      2.64e-05     0.000188
    2.45     0.00551     0.00237      -0.000668     0.000843
    2.65     0.00428     0.0022      -0.00113     0.00127
    2.85     0.00303     0.00213      -0.00149     0.00162
    3.04     0.000592     0.00209      -0.0017     0.0018
    3.24     0.00595     0.00209      -0.0017     0.0018
    3.44     0.00167     0.0021      -0.00149     0.00162
    3.63     0.00472     0.00219      -0.00113     0.00127
    3.83     0.00484     0.00237      -0.000668     0.000843
    4.12     0.00501     0.00195      2.65e-05     0.000188
    4.52     0.00622     0.00255      0.000629     -0.000386
4-5 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00104     0.00106      -2.58e-06     2.46e-06
    -1.13     -7.97e-05     0.000802      -3.85e-05     3.65e-05
    -0.83     0.00134     0.000668      -0.000102     9.65e-05
    -0.54     0.00253     0.000597      -0.000175     0.000165
    -0.29     0.00836     0.000704      -0.000224     0.00021
    -0.15     0.0153     0.00101      -0.000242     0.000226
    -0.05     0.0208     0.00101      -0.000247     0.000231
    0.05     0.0202     0.00102      -0.000247     0.000231
    0.15     0.0162     0.00103      -0.000242     0.000226
    0.29     0.008     0.000716      -0.000224     0.00021
    0.54     0.00323     0.000624      -0.000175     0.000165
    0.83     0.000232     0.000696      -0.000102     9.65e-05
    1.13     0.000479     0.000864      -3.85e-05     3.65e-05
    1.42     -0.000585     0.00107      -2.58e-06     2.46e-06
    1.77     -7.21e-05     0.000815      -6.19e-06     5.89e-06
    2.16     0.00135     0.000639      -6.78e-05     6.42e-05
    2.45     0.000697     0.000784      -0.000139     0.000131
    2.65     0.00128     0.000734      -0.000187     0.000175
    2.85     0.00135     0.000721      -0.000224     0.00021
    3.04     0.00215     0.000711      -0.000245     0.00023
    3.24     0.00136     0.000698      -0.000245     0.00023
    3.44     0.00247     0.000721      -0.000224     0.00021
    3.63     0.000827     0.000731      -0.000187     0.000175
    3.83     0.00156     0.000809      -0.000139     0.000131
    4.12     0.000824     0.000648      -6.78e-05     6.42e-05
    4.52     0.000705     0.000838      -6.18e-06     5.88e-06
4-5 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000152     0.000421      6.54e-06     -6.2e-06
    -1.13     0.000268     0.000325      1.31e-06     -1.24e-06
    -0.83     -0.000107     0.000257      -7.9e-06     7.43e-06
    -0.54     0.000588     0.000239      -1.84e-05     1.72e-05
    -0.29     0.00194     0.000288      -2.54e-05     2.37e-05
    -0.15     0.00595     0.000471      -2.79e-05     2.6e-05
    -0.05     0.00701     0.000472      -2.87e-05     2.68e-05
    0.05     0.00767     0.000489      -2.87e-05     2.68e-05
    0.15     0.00571     0.000467      -2.79e-05     2.6e-05
    0.29     0.00206     0.000297      -2.54e-05     2.37e-05
    0.54     0.000589     0.000247      -1.84e-05     1.72e-05
    0.83     -0.000147     0.00027      -7.9e-06     7.43e-06
    1.13     -4.62e-05     0.000335      1.31e-06     -1.24e-06
    1.42     -0.000334     0.000413      6.54e-06     -6.2e-06
    1.77     0.000511     0.000337      6.02e-06     -5.7e-06
    2.16     0.00026     0.000255      -2.93e-06     2.76e-06
    2.45     0.000426     0.000318      -1.32e-05     1.24e-05
    2.65     0.000642     0.000299      -2e-05     1.87e-05
    2.85     0.000256     0.000286      -2.54e-05     2.37e-05
