40 - 60 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00872     0.00175      0.0058     -0.00219
    -1.13     0.00238     0.00166      0.00118     0.00226
    -0.83     0.0187     0.00143      -0.00732     0.0103
    -0.54     0.071     0.00124      -0.0175     0.0199
    -0.29     0.124     0.00146      -0.0245     0.0264
    -0.15     0.144     0.00205      -0.0271     0.0288
    -0.05     0.149     0.00204      -0.0279     0.0295
    0.05     0.148     0.00203      -0.0279     0.0295
    0.15     0.142     0.00202      -0.0271     0.0288
    0.29     0.126     0.00143      -0.0245     0.0264
    0.54     0.07     0.00121      -0.0175     0.0199
    0.83     0.021     0.00139      -0.00732     0.0103
    1.13     0.000263     0.0016      0.00118     0.00226
    1.42     0.0101     0.00171      0.0058     -0.00219
    1.77     0.032     0.00156      0.00534     -0.00175
    2.16     0.0653     0.00133      -0.00268     0.00594
    2.45     0.0703     0.00169      -0.0124     0.0151
    2.65     0.0735     0.00162      -0.0191     0.0214
    2.85     0.074     0.00155      -0.0245     0.0264
    3.04     0.0666     0.00149      -0.0276     0.0292
    3.24     0.07     0.00148      -0.0276     0.0292
    3.44     0.0751     0.00152      -0.0245     0.0264
    3.63     0.0725     0.00159      -0.0191     0.0214
    3.83     0.0728     0.00166      -0.0124     0.0151
    4.12     0.0632     0.00129      -0.00268     0.00594
    4.52     0.034     0.00151      0.00534     -0.00175
2-3 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00521     0.000994      0.00236     -0.00129
    -1.13     0.000526     0.000834      0.000505     0.000542
    -0.83     0.0103     0.000699      -0.00334     0.00422
    -0.54     0.0369     0.000611      -0.00845     0.00899
    -0.29     0.0719     0.000689      -0.0122     0.0125
    -0.15     0.0915     0.00094      -0.0137     0.0138
    -0.05     0.096     0.000937      -0.0141     0.0142
    0.05     0.0953     0.000937      -0.0141     0.0142
    0.15     0.0904     0.000937      -0.0137     0.0138
    0.29     0.0734     0.00068      -0.0122     0.0125
    0.54     0.0369     0.000593      -0.00845     0.00899
    0.83     0.00927     0.000661      -0.00334     0.00422
    1.13     0.00057     0.000796      0.000505     0.000542
    1.42     0.0058     0.000987      0.00236     -0.00129
    1.77     0.0201     0.00083      0.00219     -0.00112
    2.16     0.0347     0.000654      -0.00118     0.00217
    2.45     0.0366     0.000798      -0.00584     0.00657
    2.65     0.0336     0.000749      -0.0093     0.00977
    2.85     0.0312     0.000724      -0.0122     0.0125
    3.04     0.0313     0.000714      -0.0139     0.014
    3.24     0.0304     0.000713      -0.0139     0.014
    3.44     0.0316     0.000717      -0.0122     0.0125
    3.63     0.0341     0.000742      -0.0093     0.00977
    3.83     0.0376     0.000783      -0.00584     0.00657
    4.12     0.0351     0.000637      -0.00118     0.00217
    4.52     0.0199     0.000805      0.00219     -0.00112
2-3 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000598     0.00028      0.00022     -0.000116
    -1.13     1.34e-05     0.000226      4.89e-05     5.68e-05
    -0.83     0.0013     0.000191      -0.00034     0.000431
    -0.54     0.00517     0.00017      -0.000896     0.000948
    -0.29     0.0124     0.000194      -0.00132     0.00134
    -0.15     0.0169     0.00027      -0.00149     0.00149
    -0.05     0.0192     0.000267      -0.00154     0.00153
    0.05     0.0191     0.000267      -0.00154     0.00153
    0.15     0.0169     0.000269      -0.00149     0.00149
    0.29     0.0126     0.000193      -0.00132     0.00134
    0.54     0.00522     0.000165      -0.000896     0.000948
    0.83     0.00123     0.000179      -0.00034     0.000431
