60 - 92 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -5.92e-05     0.00176      0.00126     -0.000687
    -1.13     0.00336     0.00167      -0.000686     0.0011
    -0.83     0.015     0.00144      -0.00419     0.00427
    -0.54     0.0498     0.00126      -0.00827     0.00789
    -0.29     0.0931     0.00149      -0.011     0.0103
    -0.15     0.103     0.0021      -0.012     0.0112
    -0.05     0.108     0.0021      -0.0124     0.0115
    0.05     0.104     0.00208      -0.0124     0.0115
    0.15     0.104     0.00208      -0.012     0.0112
    0.29     0.0927     0.00146      -0.011     0.0103
    0.54     0.0516     0.00123      -0.00827     0.00789
    0.83     0.0129     0.0014      -0.00419     0.00427
    1.13     0.00267     0.00161      -0.000686     0.0011
    1.42     0.00528     0.00173      0.00126     -0.000687
    1.77     0.015     0.00157      0.00107     -0.000507
    2.16     0.0343     0.00134      -0.00229     0.00256
    2.45     0.0495     0.00172      -0.00625     0.0061
    2.65     0.0527     0.00164      -0.00891     0.00845
    2.85     0.0589     0.00157      -0.011     0.0103
    3.04     0.0594     0.00152      -0.0122     0.0114
    3.24     0.0579     0.0015      -0.0122     0.0114
    3.44     0.0596     0.00155      -0.011     0.0103
    3.63     0.0543     0.00162      -0.00891     0.00845
    3.83     0.0455     0.00168      -0.00625     0.0061
    4.12     0.0344     0.0013      -0.00229     0.00256
    4.52     0.0147     0.00153      0.00107     -0.000507
2-3 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00169     0.000974      0.00101     -0.000725
    -1.13     -0.00109     0.000815      0.000212     3.23e-05
    -0.83     0.00544     0.000685      -0.00136     0.00147
    -0.54     0.0234     0.000605      -0.00336     0.00322
    -0.29     0.0546     0.000703      -0.0048     0.00446
    -0.15     0.0732     0.000974      -0.00533     0.00492
    -0.05     0.0764     0.000973      -0.0055     0.00506
    0.05     0.0752     0.000972      -0.0055     0.00506
    0.15     0.0706     0.000967      -0.00533     0.00492
    0.29     0.0545     0.000692      -0.0048     0.00446
    0.54     0.0251     0.000589      -0.00336     0.00322
    0.83     0.00528     0.000647      -0.00136     0.00147
    1.13     -2.27e-05     0.000778      0.000212     3.23e-05
    1.42     0.00158     0.000966      0.00101     -0.000725
    1.77     0.00905     0.000819      0.000936     -0.000651
    2.16     0.0175     0.000648      -0.000488     0.000678
    2.45     0.0234     0.000793      -0.00235     0.00234
    2.65     0.026     0.000746      -0.00368     0.00351
    2.85     0.029     0.000723      -0.0048     0.00446
    3.04     0.0306     0.000715      -0.00544     0.00501
    3.24     0.0306     0.000713      -0.00544     0.00501
    3.44     0.0284     0.000716      -0.0048     0.00446
    3.63     0.0268     0.00074      -0.00368     0.00351
    3.83     0.0236     0.000778      -0.00235     0.00234
    4.12     0.0185     0.000631      -0.000488     0.000678
    4.52     0.00952     0.000795      0.000936     -0.000651
2-3 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00049     0.000278      0.000201     -0.000104
    -1.13     -0.000333     0.000221      0.000126     -2.96e-05
    -0.83     0.000292     0.000187      -3.14e-05     0.000117
    -0.54     0.003     0.000171      -0.000241     0.000303
    -0.29     0.00966     0.000209      -0.000397     0.000437
    -0.15     0.015     0.000304      -0.000455     0.000486
    -0.05     0.0164     0.000303      -0.000474     0.000502
    0.05     0.0164     0.000303      -0.000474     0.000502
    0.15     0.0147     0.000303      -0.000455     0.000486
    0.29     0.00974     0.000207      -0.000397     0.000437
    0.54     0.00304     0.000165      -0.000241     0.000303
    0.83     0.000393     0.000176      -3.14e-05     0.000117
    1.13     -0.00034     0.00021      0.000126     -2.96e-05
    1.42     0.000199     0.000276      0.000201     -0.000104
    1.77     0.00122     0.000228      0.000194     -9.68e-05
    2.16     0.00236     0.000181      5.69e-05     3.55e-05
    2.45     0.00282     0.00022      -0.000134     0.000208
    2.65     0.00404     0.00021      -0.000276     0.000333
    2.85     0.00483     0.000206      -0.000397     0.000437
    3.04     0.00517     0.000206      -0.000467     0.000496
    3.24     0.00532     0.000206      -0.000467     0.000496
    3.44     0.00474     0.000205      -0.000397     0.000437
    3.63     0.00393     0.000207      -0.000276     0.000333
    3.83     0.00293     0.000218      -0.000134     0.000208
    4.12     0.00231     0.000177      5.69e-05     3.55e-05
    4.52     0.00113     0.000223      0.000194     -9.68e-05
2-3 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -7.42e-05     0.000101      -7.07e-07     6.91e-07
    -1.13     -9.58e-06     7.99e-05      -1.13e-05     1.08e-05
    -0.83     7.3e-05     6.82e-05      -3.35e-05     3.06e-05
    -0.54     0.000487     6.47e-05      -6.31e-05     5.59e-05
    -0.29     0.00183     8.35e-05      -8.51e-05     7.42e-05
    -0.15     0.0036     0.000132      -9.33e-05     8.09e-05
    -0.05     0.00392     0.000131      -9.59e-05     8.3e-05
    0.05     0.00432     0.000134      -9.59e-05     8.3e-05
    0.15     0.0034     0.000129      -9.33e-05     8.09e-05
    0.29     0.00194     8.48e-05      -8.51e-05     7.42e-05
    0.54     0.000443     6.43e-05      -6.31e-05     5.59e-05
    0.83     -1.3e-05     6.69e-05      -3.35e-05     3.06e-05
    1.13     -4.26e-05     7.94e-05      -1.13e-05     1.08e-05
    1.42     9.22e-05     0.000104      -7.07e-07     6.91e-07
    1.77     0.000142     8.18e-05      -1.7e-06     1.66e-06
    2.16     0.000225     6.52e-05      -2.1e-05     1.96e-05
    2.45     0.000392     8.3e-05      -4.8e-05     4.31e-05
    2.65     0.000853     8.27e-05      -6.8e-05     6e-05
    2.85     0.000804     7.95e-05      -8.51e-05     7.42e-05
    3.04     0.00119     8.26e-05      -9.49e-05     8.22e-05
    3.24     0.00108     8.17e-05      -9.49e-05     8.22e-05
    3.44     0.000825     7.99e-05      -8.51e-05     7.42e-05
    3.63     0.000756     8.18e-05      -6.8e-05     6e-05
    3.83     0.000495     8.43e-05      -4.8e-05     4.31e-05
    4.12     0.000363     6.7e-05      -2.1e-05     1.96e-05
    4.52     7.82e-05     8.13e-05      -1.7e-06     1.66e-06
2-3 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -3.85e-05     4.04e-05      -1.57e-07     1.58e-07
    -1.13     1.17e-05     3.36e-05      -2.59e-06     2.49e-06
    -0.83     2.02e-05     2.86e-05      -7.89e-06     7.17e-06
    -0.54     0.000101     2.73e-05      -1.52e-05     1.32e-05
    -0.29     0.00042     3.69e-05      -2.08e-05     1.77e-05
    -0.15     0.00102     6.4e-05      -2.29e-05     1.93e-05
    -0.05     0.00118     6.48e-05      -2.36e-05     1.98e-05
    0.05     0.00114     6.36e-05      -2.36e-05     1.98e-05
    0.15     0.000959     6.16e-05      -2.29e-05     1.93e-05
    0.29     0.000493     3.82e-05      -2.08e-05     1.77e-05
    0.54     5.32e-05     2.61e-05      -1.52e-05     1.32e-05
    0.83     2.24e-05     2.84e-05      -7.89e-06     7.17e-06
    1.13     2.67e-05     3.38e-05      -2.59e-06     2.49e-06
    1.42     -2.23e-05     4.07e-05      -1.57e-07     1.58e-07
    1.77     -9.6e-06     3.29e-05      -3.8e-07     3.8e-07
    2.16     5.69e-05     2.73e-05      -4.88e-06     4.56e-06
    2.45     0.000126     3.61e-05      -1.15e-05     1.02e-05
    2.65     0.000163     3.49e-05      -1.65e-05     1.42e-05
    2.85     0.000256     3.61e-05      -2.08e-05     1.77e-05
    3.04     0.000289     3.6e-05      -2.33e-05     1.97e-05
    3.24     0.000329     3.74e-05      -2.33e-05     1.97e-05
    3.44     0.000244     3.57e-05      -2.08e-05     1.77e-05
    3.63     0.000166     3.44e-05      -1.65e-05     1.42e-05
    3.83     0.000103     3.54e-05      -1.15e-05     1.02e-05
    4.12     8.76e-05     2.82e-05      -4.88e-06     4.56e-06
    4.52     1.05e-05     3.33e-05      -3.8e-07     3.8e-07
2-3 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -9.01e-06     3.47e-05      7.57e-06     -4.76e-06
    -1.13     2.32e-05     2.93e-05      5.94e-06     -3.08e-06
    -0.83     -1.6e-05     2.29e-05      2.38e-06     2.06e-07
    -0.54     3.09e-05     2.17e-05      -2.53e-06     4.36e-06
    -0.29     0.000263     3.05e-05      -6.24e-06     7.34e-06
    -0.15     0.000688     5.49e-05      -7.64e-06     8.45e-06
    -0.05     0.000783     5.52e-05      -8.08e-06     8.79e-06
    0.05     0.000796     5.5e-05      -8.08e-06     8.79e-06
    0.15     0.000597     5.1e-05      -7.64e-06     8.45e-06
    0.29     0.000302     3.11e-05      -6.24e-06     7.34e-06
    0.54     1.71e-05     2.03e-05      -2.53e-06     4.36e-06
    0.83     1.53e-05     2.26e-05      2.38e-06     2.06e-07
    1.13     2.61e-06     2.6e-05      5.94e-06     -3.08e-06
    1.42     -5.65e-06     3.33e-05      7.57e-06     -4.76e-06
    1.77     -1.35e-06     2.71e-05      7.42e-06     -4.6e-06
    2.16     6.17e-05     2.34e-05      4.4e-06     -1.61e-06
    2.45     0.000123     3.17e-05      -1.24e-10     2.26e-06
    2.65     0.000139     3.02e-05      -3.35e-06     5.03e-06
    2.85     0.000237     3.19e-05      -6.24e-06     7.34e-06
    3.04     0.00022     3.12e-05      -7.91e-06     8.66e-06
    3.24     0.000267     3.28e-05      -7.91e-06     8.66e-06
    3.44     0.000186     3.07e-05      -6.24e-06     7.34e-06
    3.63     0.000141     2.99e-05      -3.35e-06     5.03e-06
    3.83     6.21e-05     2.84e-05      1.26e-10     2.26e-06
    4.12     8.61e-05     2.41e-05      4.4e-06     -1.61e-06
    4.52     2.5e-05     2.79e-05      7.42e-06     -4.6e-06
3-4 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0115     0.00503      0.00258     -0.00236
    -1.13     -0.000812     0.00477      0.000522     -0.000474
    -0.83     0.0144     0.00411      -0.00318     0.00286
    -0.54     0.0575     0.00358      -0.0075     0.00668
    -0.29     0.118     0.00429      -0.0104     0.00924
    -0.15     0.134     0.00607      -0.0115     0.0102
    -0.05     0.13     0.00603      -0.0118     0.0104
    0.05     0.13     0.00599      -0.0118     0.0104
    0.15     0.129     0.00597      -0.0115     0.0102
    0.29     0.115     0.00419      -0.0104     0.00924
    0.54     0.0511     0.00349      -0.0075     0.00668
    0.83     0.0147     0.00401      -0.00318     0.00286
    1.13     -0.000741     0.0046      0.000522     -0.000474
    1.42     -0.00262     0.0049      0.00258     -0.00236
    1.77     0.0226     0.00453      0.00237     -0.00217
    2.16     0.0432     0.00385      -0.00117     0.00106
    2.45     0.0647     0.00493      -0.00536     0.00479
    2.65     0.0859     0.00475      -0.00818     0.00727
    2.85     0.0911     0.00455      -0.0104     0.00924
    3.04     0.0868     0.00436      -0.0117     0.0103
    3.24     0.0872     0.00433      -0.0117     0.0103
    3.44     0.0842     0.00446      -0.0104     0.00924
    3.63     0.0717     0.00463      -0.00818     0.00727
    3.83     0.0679     0.00483      -0.00536     0.00479
    4.12     0.0501     0.00373      -0.00117     0.00106
    4.52     0.0278     0.00438      0.00237     -0.00217
3-4 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.00366     0.0028      0.00148     -0.00101
    -1.13     -0.000843     0.00232      0.000642     -0.000208
    -0.83     0.00116     0.00195      -0.00102     0.00131
    -0.54     0.0282     0.00174      -0.00314     0.00317
    -0.29     0.082     0.00208      -0.00468     0.00449
    -0.15     0.112     0.00292      -0.00525     0.00497
    -0.05     0.128     0.00296      -0.00542     0.00512
    0.05     0.127     0.00297      -0.00542     0.00512
    0.15     0.12     0.00295      -0.00525     0.00497
    0.29     0.0807     0.00204      -0.00468     0.00449
    0.54     0.0299     0.0017      -0.00314     0.00317
    0.83     0.00403     0.00185      -0.00102     0.00131
    1.13     -0.00227     0.00221      0.000642     -0.000208
    1.42     0.00274     0.00278      0.00148     -0.00101
    1.77     0.0129     0.00238      0.0014     -0.00093
    2.16     0.0227     0.00187      -9.63e-05     0.000474
    2.45     0.0385     0.00232      -0.00207     0.00224
    2.65     0.0425     0.00219      -0.00349     0.00347
    2.85     0.0466     0.00212      -0.00468     0.00449
    3.04     0.0545     0.00211      -0.00536     0.00507
    3.24     0.0511     0.0021      -0.00536     0.00507
    3.44     0.0473     0.00209      -0.00468     0.00449
    3.63     0.0392     0.00216      -0.00349     0.00347
    3.83     0.0346     0.00224      -0.00207     0.00224
    4.12     0.026     0.00183      -9.63e-05     0.000474
    4.52     0.0132     0.00229      0.0014     -0.00093
3-4 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000632     0.00082      2.33e-05     5.74e-06
    -1.13     -0.000669     0.000638      -6.44e-05     8.95e-05
    -0.83     -0.000339     0.000535      -0.000247     0.000254
    -0.54     0.00379     0.000506      -0.000492     0.000465
    -0.29     0.016     0.000658      -0.000673     0.000616
    -0.15     0.0286     0.00102      -0.000741     0.000672
    -0.05     0.0358     0.00106      -0.000762     0.00069
    0.05     0.0325     0.00103      -0.000762     0.00069
    0.15     0.0298     0.00104      -0.000741     0.000672
    0.29     0.0155     0.000647      -0.000673     0.000616
    0.54     0.00387     0.000489      -0.000492     0.000465
    0.83     0.000509     0.000513      -0.000247     0.000254
    1.13     -0.000168     0.000616      -6.44e-05     8.95e-05
    1.42     -0.000706     0.000796      2.33e-05     5.74e-06
