20 - 40 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -0.83     3.96e-05     2.58e-05      -1.13e-05     1.07e-05
    -0.54     0.000181     2.34e-05      -2.87e-05     2.68e-05
    -0.29     0.000483     2.67e-05      -4.16e-05     3.86e-05
    -0.15     0.000811     3.72e-05      -4.65e-05     4.29e-05
    -0.05     0.000956     3.67e-05      -4.8e-05     4.43e-05
    0.05     0.000962     3.68e-05      -4.8e-05     4.43e-05
    0.15     0.000841     3.71e-05      -4.65e-05     4.29e-05
    0.29     0.00052     2.68e-05      -4.16e-05     3.86e-05
    0.54     0.000154     2.31e-05      -2.87e-05     2.68e-05
    0.83     -1.98e-05     2.53e-05      -1.13e-05     1.07e-05
    1.13     5.75e-06     3.03e-05      1.71e-06     -1.65e-06
    1.42     1.9e-05     3.88e-05      7.97e-06     -7.78e-06
    1.77     8.85e-05     3.08e-05      7.38e-06     -7.2e-06
    2.16     0.000114     2.42e-05      -4e-06     3.82e-06
    2.45     0.000111     2.99e-05      -1.98e-05     1.86e-05
    2.65     0.00012     2.8e-05      -3.16e-05     2.94e-05
    2.85     8.33e-05     2.7e-05      -4.16e-05     3.86e-05
    3.04     0.000109     2.69e-05      -4.74e-05     4.38e-05
    3.24     8.97e-05     2.69e-05      -4.74e-05     4.38e-05
    3.44     0.000148     2.75e-05      -4.16e-05     3.86e-05
    3.63     4.73e-05     2.78e-05      -3.16e-05     2.94e-05
    3.83     0.000134     3.02e-05      -1.98e-05     1.86e-05
    4.12     0.000119     2.43e-05      -4e-06     3.82e-06
    4.52     0.000108     3.1e-05      7.38e-06     -7.2e-06
2-3 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -1.99e-05     3.19e-05      9.42e-06     -5.69e-06
    -1.13     -2.25e-06     2.61e-05      5.84e-06     -2.13e-06
    -0.83     -3.14e-06     2.16e-05      -1.44e-06     4.9e-06
    -0.54     4.02e-05     1.91e-05      -1.1e-05     1.39e-05
    -0.29     0.000206     2.15e-05      -1.8e-05     2.04e-05
    -0.15     0.000365     2.96e-05      -2.06e-05     2.28e-05
