system cent eta RpA staterr systerr
pAl 0-5 -1.5 1.27497 0.0419026 0.181941
pAl 0-5 -1.7 1.20851 0.0305626 0.172458
pAl 0-5 -1.9 1.14345 0.0262266 0.163173
pAl 0-5 -2.1 1.10837 0.0250595 0.158167
pAl 0-5 1.5 0.762418 0.0329728 0.105746
pAl 0-5 1.7 0.766 0.0239217 0.106242
pAl 0-5 1.9 0.724653 0.0180585 0.100508
pAl 0-5 2.1 0.679341 0.0158401 0.0942229
pAl 0-5 2.3 0.622938 0.0171568 0.0864
pAl 5-10 -1.5 1.20932 0.0469227 0.172574
pAl 5-10 -1.7 1.11973 0.0332242 0.159788
pAl 5-10 -1.9 1.02357 0.0282573 0.146066
pAl 5-10 -2.1 0.963987 0.0264124 0.137563
pAl 5-10 1.5 0.859382 0.0401632 0.119194
pAl 5-10 1.7 0.794534 0.0278274 0.1102
pAl 5-10 1.9 0.815648 0.0220329 0.113128
pAl 5-10 2.1 0.771826 0.0193581 0.10705
pAl 5-10 2.3 0.64087 0.0198306 0.0888871
pAl 10-20 -1.5 1.25459 0.0386424 0.179032
pAl 10-20 -1.7 1.14592 0.0274086 0.163526
pAl 10-20 -1.9 1.11628 0.0239018 0.159296
pAl 10-20 -2.1 1.11876 0.0232057 0.15965
pAl 10-20 1.5 1.11394 0.0371644 0.154501
pAl 10-20 1.7 0.995648 0.0254478 0.138094
pAl 10-20 1.9 0.897382 0.0188085 0.124465
pAl 10-20 2.1 0.985692 0.0180825 0.136713
pAl 10-20 2.3 0.855156 0.0189548 0.118608
pAl 20-40 -1.5 1.24353 0.0313388 0.177455
pAl 20-40 -1.7 1.10018 0.0217582 0.156999
pAl 20-40 -1.9 1.01294 0.0183656 0.144549
pAl 20-40 -2.1 1.03041 0.018042 0.147042
pAl 20-40 1.5 0.984333 0.0286363 0.136524
pAl 20-40 1.7 0.983023 0.0208002 0.136343
pAl 20-40 1.9 0.962657 0.0159948 0.133518
pAl 20-40 2.1 0.963142 0.0145843 0.133585
pAl 20-40 2.3 0.858479 0.0154735 0.119069
pAl 40-72 -1.5 1.10388 0.0301301 0.157527
pAl 40-72 -1.7 0.983232 0.0207971 0.14031
pAl 40-72 -1.9 0.908899 0.0176522 0.129702
pAl 40-72 -2.1 0.885371 0.0169076 0.126345
pAl 40-72 1.5 1.023 0.0300971 0.141887
pAl 40-72 1.7 1.02385 0.0217607 0.142006
pAl 40-72 1.9 1.02516 0.0169237 0.142187
pAl 40-72 2.1 1.08294 0.0158633 0.150201
pAl 40-72 2.3 0.912981 0.0164329 0.126628
