system pT RpA staterr systerr
pAl 1.625 1.34196 0.00464499 0.191501
pAl 1.875 1.24216 0.00539536 0.17726
pAl 2.125 1.19159 0.00660793 0.170043
pAl 2.375 1.1216 0.00802888 0.160055
pAl 2.75 1.10196 0.00801393 0.157252
pAl 3.25 1.07541 0.0122387 0.153463
pAl 3.75 1.05272 0.0178893 0.150226
pAl 4.5 0.979212 0.0201271 0.139736
pAl 5.5 0.994677 0.0389137 0.141943
pAl 7 0.842093 0.0518117 0.120169
