system pT RpA staterr systerr
pAu 1.625 1.36562 0.0033724 0.215062
pAu 1.875 1.39107 0.0042425 0.21907
pAu 2.125 1.42043 0.00541046 0.223693
pAu 2.375 1.37044 0.00662066 0.215821
pAu 2.75 1.42958 0.00683983 0.225135
pAu 3.25 1.38734 0.0104262 0.218483
pAu 3.75 1.31022 0.0148484 0.206338
pAu 4.5 1.20682 0.0163653 0.190054
pAu 5.5 1.06184 0.0280992 0.167222
pAu 7 1.1531 0.044918 0.181594
pAu 9 1.36834 0.115517 0.215491
