system eta RpA staterr systerr
pAl -1.5 1.21709 0.00842389 0.173682
pAl -1.7 1.10375 0.00554496 0.157508
pAl -1.9 1.03236 0.00453424 0.147321
pAl -2.1 1.01881 0.00439213 0.145386
pAl 1.5 0.974993 0.00878762 0.135229
pAl 1.7 0.946081 0.00608477 0.131219
pAl 1.9 0.91874 0.00455245 0.127427
pAl 2.1 0.938046 0.00425611 0.130105
pAl 2.3 0.815034 0.00431684 0.113043
