system Npart RpA staterr systerr
pAl 5.12 0.718056 0.00902612 0.117091
pAl 4.483 0.785969 0.0108182 0.123418
pAl 3.871 0.982906 0.00997165 0.160998
pAl 3.371 0.955823 0.00794373 0.14783
pAl 2.686 1.01726 0.00836534 0.154972
pAu 10.692 0.70139 0.00641518 0.105669
pAu 9.399 0.766067 0.00714153 0.117698
pAu 8.394 0.908133 0.0062101 0.139331
pAu 7.085 0.95364 0.00522082 0.146744
pAu 5.409 1.02971 0.00635077 0.158725
pAu 3.637 1.0657 0.00744564 0.176181
