system pT RpA staterr systerr
pAl 1.625 0.93767 0.0030574 0.130052
pAl 1.875 0.903273 0.00371273 0.125282
pAl 2.125 0.927793 0.00478628 0.128683
pAl 2.375 0.935414 0.00604299 0.12974
pAl 2.75 0.90782 0.0058344 0.125912
pAl 3.25 0.903907 0.00908019 0.12537
pAl 3.75 0.888058 0.0133313 0.123171
pAl 4.5 0.897423 0.0160125 0.12447
pAl 5.5 0.936854 0.0321973 0.129939
pAl 7 0.931255 0.0461398 0.129163
