Au + Au 20 - 30 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1795 x 0.0662=0.011883
#xi=1.011926#pm0.001775

Dphi  CF  CFerr
-1.473  0.991138  0.000284
-1.276  0.992454  0.000277
-1.080  0.998922  0.000263
-0.884  1.008679  0.000237
-0.687  1.021649  0.000210
-0.491  1.036732  0.000194
-0.295  1.050225  0.000188
-0.098  1.057819  0.000187
0.098  1.057690  0.000185
0.295  1.050241  0.000185
0.491  1.036607  0.000190
0.687  1.021188  0.000206
0.884  1.008249  0.000231
1.080  0.998270  0.000254
1.276  0.992651  0.000268
1.473  0.991172  0.000280
1.669  0.993937  0.000294
1.865  1.000277  0.000287
2.062  1.008731  0.000259
2.258  1.018307  0.000235
2.454  1.028061  0.000221
2.651  1.037163  0.000211
2.847  1.043250  0.000201
3.043  1.046656  0.000194
3.240  1.046360  0.000192
3.436  1.043216  0.000198
3.632  1.036773  0.000207
3.829  1.028189  0.000216
4.025  1.018078  0.000228
4.222  1.008008  0.000250
4.418  0.999875  0.000276
4.614  0.994273  0.000287


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1795 x 0.1259=0.022592
#xi=1.012545#pm0.003158

Dphi  CF  CFerr
-1.473  0.975228  0.000640
-1.276  0.976620  0.000591
-1.080  0.986977  0.000508
-0.884  1.005679  0.000450
-0.687  1.032121  0.000407
-0.491  1.062071  0.000370
-0.295  1.087162  0.000344
-0.098  1.104421  0.000329
0.098  1.104528  0.000329
0.295  1.087193  0.000340
0.491  1.062114  0.000362
0.687  1.031802  0.000389
0.884  1.004977  0.000428
1.080  0.986021  0.000485
1.276  0.976266  0.000572
1.473  0.975760  0.000643
1.669  0.983041  0.000640
1.865  0.992837  0.000577
2.062  1.008030  0.000503
2.258  1.025306  0.000449
2.454  1.042422  0.000406
2.651  1.056336  0.000380
2.847  1.067845  0.000366
3.043  1.073593  0.000360
3.240  1.073582  0.000359
3.436  1.067102  0.000362
3.632  1.056585  0.000376
3.829  1.042065  0.000398
4.025  1.026162  0.000438
4.222  1.009048  0.000488
4.418  0.993439  0.000559
4.614  0.983191  0.000622


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1795 x 0.1795=0.032207
#xi=1.016613#pm0.004647

Dphi  CF  CFerr
-1.473  0.967570  0.002251
-1.276  0.969437  0.001985
-1.080  0.977495  0.001690
-0.884  1.005646  0.001500
-0.687  1.044430  0.001372
-0.491  1.098341  0.001266
-0.295  1.151338  0.001172
-0.098  1.186793  0.001122
0.098  1.187259  0.001122
0.295  1.151159  0.001164
0.491  1.097460  0.001233
0.687  1.044210  0.001307
0.884  1.005071  0.001413
1.080  0.976492  0.001604
1.276  0.969448  0.001939
1.473  0.965530  0.002262
1.669  0.975531  0.002192
1.865  0.991791  0.001918
2.062  1.013033  0.001693
2.258  1.034625  0.001502
2.454  1.056255  0.001356
2.651  1.076197  0.001261
2.847  1.089474  0.001218
3.043  1.096829  0.001210
3.240  1.097236  0.001210
3.436  1.090291  0.001215
3.632  1.076042  0.001252
3.829  1.057046  0.001342
4.025  1.033681  0.001478
4.222  1.013279  0.001659
4.418  0.991329  0.001879
4.614  0.975534  0.002155


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1867 x 0.0662=0.012368
#xi=1.010404#pm0.001734

Dphi  CF  CFerr
-1.473  0.989614  0.000883
-1.276  0.990707  0.000864
-1.080  0.997298  0.000824
-0.884  1.006812  0.000739
-0.687  1.020388  0.000654
-0.491  1.035732  0.000604
-0.295  1.051789  0.000588
-0.098  1.060300  0.000584
0.098  1.060768  0.000579
0.295  1.051868  0.000577
0.491  1.037208  0.000592
0.687  1.019220  0.000642
0.884  1.006371  0.000721
1.080  0.995594  0.000797
1.276  0.990849  0.000840
1.473  0.989974  0.000876
1.669  0.994849  0.000923
1.865  0.998954  0.000905
2.062  1.008955  0.000814
2.258  1.018755  0.000734
2.454  1.030117  0.000691
2.651  1.040654  0.000660
2.847  1.045982  0.000629
3.043  1.049634  0.000606
3.240  1.051103  0.000602
3.436  1.047417  0.000619
3.632  1.040277  0.000646
3.829  1.029535  0.000674
4.025  1.019403  0.000710
4.222  1.008244  0.000783
4.418  1.000924  0.000866
4.614  0.994288  0.000896


3-4 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1867 x 0.1259=0.023509
#xi=1.013505#pm0.003300

Dphi  CF  CFerr
-1.473  0.976288  0.002001
-1.276  0.977117  0.001859
-1.080  0.984676  0.001574
-0.884  1.005351  0.001412
-0.687  1.033185  0.001263
-0.491  1.066208  0.001161
-0.295  1.099283  0.001078
-0.098  1.123639  0.001036
0.098  1.125396  0.001038
0.295  1.099350  0.001061
0.491  1.063602  0.001140
0.687  1.030983  0.001209
0.884  1.003711  0.001345
1.080  0.985454  0.001510
1.276  0.977716  0.001808
1.473  0.975042  0.002023
1.669  0.980375  0.002012
1.865  0.994390  0.001826
2.062  1.012316  0.001573
2.258  1.030215  0.001414
2.454  1.047486  0.001271
2.651  1.062839  0.001193
2.847  1.074645  0.001147
3.043  1.076513  0.001126
3.240  1.080353  0.001126
3.436  1.072708  0.001129
3.632  1.061147  0.001180
3.829  1.047809  0.001238
4.025  1.029945  0.001376
4.222  1.009108  0.001512
4.418  0.997385  0.001760
4.614  0.983951  0.001945


3-4 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1867 x 0.1795=0.033511
#xi=1.020940#pm0.006625

Dphi  CF  CFerr
-1.473  0.966389  0.007081
-1.276  0.960388  0.006144
-1.080  0.981713  0.005294
-0.884  1.012382  0.004697
-0.687  1.053052  0.004305
-0.491  1.108008  0.003973
-0.295  1.189526  0.003717
-0.098  1.258561  0.003595
0.098  1.261102  0.003602
0.295  1.190432  0.003695
0.491  1.109916  0.003883
0.687  1.054665  0.004103
0.884  1.002014  0.004409
1.080  0.984331  0.005043
1.276  0.961164  0.006051
1.473  0.972264  0.007196
1.669  0.973856  0.006957
1.865  0.985283  0.005988
