Au + Au 60 - 92 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1769 x 0.0730=0.012922
#xi=1.189377#pm0.005179

Dphi  CF  CFerr
-1.473  1.161420  0.002207
-1.276  1.163151  0.002157
-1.080  1.175647  0.002060
-0.884  1.195187  0.001861
-0.687  1.220918  0.001655
-0.491  1.265091  0.001548
-0.295  1.310002  0.001521
-0.098  1.327603  0.001513
0.098  1.326016  0.001497
0.295  1.309659  0.001488
0.491  1.268627  0.001513
0.687  1.219280  0.001617
0.884  1.192725  0.001804
1.080  1.174684  0.001981
1.276  1.165817  0.002086
1.473  1.166851  0.002182
1.669  1.170367  0.002290
1.865  1.182606  0.002248
2.062  1.201362  0.002038
2.258  1.220863  0.001851
2.454  1.245329  0.001750
2.651  1.259992  0.001676
2.847  1.275141  0.001604
3.043  1.280584  0.001545
3.240  1.279095  0.001533
3.436  1.275878  0.001581
3.632  1.261525  0.001648
3.829  1.241163  0.001712
4.025  1.221283  0.001800
4.222  1.201239  0.001969
4.418  1.181693  0.002162
4.614  1.170500  0.002241


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1769 x 0.1402=0.024799
#xi=1.247353#pm0.008821

Dphi  CF  CFerr
-1.473  1.202336  0.005491
-1.276  1.192921  0.005062
-1.080  1.205522  0.004367
-0.884  1.245935  0.003897
-0.687  1.304624  0.003554
-0.491  1.401695  0.003302
-0.295  1.528693  0.003174
-0.098  1.619580  0.003103
0.098  1.611252  0.003090
0.295  1.528610  0.003126
0.491  1.405070  0.003225
0.687  1.313563  0.003395
0.884  1.246406  0.003682
1.080  1.216235  0.004168
1.276  1.191591  0.004881
1.473  1.197096  0.005500
1.669  1.216638  0.005513
1.865  1.241003  0.005016
2.062  1.275460  0.004391
2.258  1.314192  0.003942
2.454  1.359122  0.003597
2.651  1.391430  0.003380
2.847  1.422139  0.003275
3.043  1.439811  0.003234
3.240  1.438787  0.003226
3.436  1.420753  0.003242
3.632  1.395357  0.003354
3.829  1.359093  0.003524
4.025  1.318142  0.003852
4.222  1.280268  0.004267
4.418  1.241619  0.004848
4.614  1.222507  0.005377


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1769 x 0.1769=0.031302
#xi=1.308491#pm0.009833

Dphi  CF  CFerr
-1.473  1.261244  0.020176
-1.276  1.240329  0.017682
-1.080  1.242226  0.015035
-0.884  1.291993  0.013434
-0.687  1.372123  0.012425
-0.491  1.571892  0.011963
-0.295  1.934048  0.012001
-0.098  2.294855  0.012347
0.098  2.287928  0.012322
0.295  1.938597  0.011913
0.491  1.572310  0.011609
0.687  1.383039  0.011812
0.884  1.295002  0.012587
1.080  1.240047  0.014168
1.276  1.231705  0.017165
1.473  1.248341  0.020189
1.669  1.267894  0.019678
1.865  1.333808  0.017563
2.062  1.391850  0.015686
2.258  1.424981  0.013902
2.454  1.483485  0.012670
2.651  1.585319  0.012062
2.847  1.656006  0.011838
3.043  1.689976  0.011838
3.240  1.698591  0.011873
3.436  1.650687  0.011789
3.632  1.578668  0.011935
3.829  1.489942  0.012535
4.025  1.426749  0.013666
4.222  1.382319  0.015256
4.418  1.326097  0.017136
4.614  1.266777  0.019314


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1805 x 0.0730=0.013182
#xi=1.190780#pm0.003812

Dphi  CF  CFerr
-1.473  1.173971  0.006349
-1.276  1.166123  0.006190
-1.080  1.173927  0.005920
-0.884  1.198145  0.005341
-0.687  1.223662  0.004740
-0.491  1.275916  0.004439
-0.295  1.338562  0.004399
-0.098  1.357551  0.004385
0.098  1.355004  0.004335
0.295  1.334813  0.004300
0.491  1.270618  0.004326
0.687  1.221454  0.004637
0.884  1.195211  0.005188
