Au + Au 70 - 92 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1717 x 0.0730=0.012539
#xi=1.420026#pm0.005639

Dphi  CF  CFerr
-1.473  1.388993  0.005316
-1.276  1.389563  0.005194
-1.080  1.403650  0.004963
-0.884  1.426019  0.004484
-0.687  1.460735  0.003993
-0.491  1.531930  0.003759
-0.295  1.607019  0.003717
-0.098  1.637193  0.003709
0.098  1.636435  0.003673
0.295  1.602936  0.003632
0.491  1.541331  0.003677
0.687  1.465231  0.003905
0.884  1.421187  0.004339
1.080  1.401740  0.004769
1.276  1.392314  0.005017
1.473  1.395999  0.005251
1.669  1.403171  0.005516
1.865  1.415632  0.005415
2.062  1.437475  0.004912
2.258  1.468182  0.004475
2.454  1.505933  0.004247
2.651  1.527008  0.004071
2.847  1.551075  0.003906
3.043  1.554981  0.003757
3.240  1.555338  0.003730
3.436  1.553545  0.003849
3.632  1.530163  0.004004
3.829  1.497842  0.004149
4.025  1.472813  0.004360
4.222  1.448918  0.004767
4.418  1.414801  0.005211
4.614  1.403888  0.005404


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1717 x 0.1394=0.023939
#xi=1.544961#pm0.008680

Dphi  CF  CFerr
-1.473  1.494844  0.013903
-1.276  1.500672  0.012904
-1.080  1.491625  0.011051
-0.884  1.536348  0.009842
-0.687  1.644395  0.009081
-0.491  1.803449  0.008524
-0.295  2.036613  0.008341
-0.098  2.227501  0.008291
0.098  2.201818  0.008224
0.295  2.049505  0.008236
0.491  1.811579  0.008325
0.687  1.663055  0.008677
0.884  1.540635  0.009288
1.080  1.501191  0.010506
1.276  1.490478  0.012396
1.473  1.496886  0.013948
1.669  1.513287  0.013955
1.865  1.573588  0.012830
2.062  1.623766  0.011259
2.258  1.665257  0.010087
2.454  1.748883  0.009281
2.651  1.792165  0.008720
2.847  1.839398  0.008470
3.043  1.871989  0.008386
3.240  1.870115  0.008367
3.436  1.850944  0.008418
3.632  1.800766  0.008660
3.829  1.742126  0.009068
4.025  1.676412  0.009874
4.222  1.624093  0.010906
4.418  1.561121  0.012346
4.614  1.531732  0.013669


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1717 x 0.1717=0.029489
#xi=1.658995#pm0.011494

Dphi  CF  CFerr
-1.473  1.554801  0.051186
-1.276  1.623822  0.046457
-1.080  1.566164  0.038703
-0.884  1.648152  0.034810
-0.687  1.754083  0.032255
-0.491  2.153192  0.032213
-0.295  2.836302  0.033451
-0.098  3.623735  0.035775
0.098  3.655421  0.035959
0.295  2.838177  0.033215
0.491  2.139448  0.031095
0.687  1.733686  0.030324
0.884  1.641805  0.032500
1.080  1.574258  0.036580
1.276  1.604548  0.044868
1.473  1.531484  0.051134
1.669  1.630766  0.051077
1.865  1.703504  0.045540
2.062  1.803928  0.040947
2.258  1.878015  0.036586
2.454  2.015551  0.033883
2.651  2.156967  0.032226
2.847  2.311592  0.032152
3.043  2.390453  0.032416
3.240  2.394138  0.032369
3.436  2.289347  0.031904
3.632  2.147815  0.031983
3.829  2.023192  0.033492
4.025  1.895598  0.036131
4.222  1.810625  0.040160
4.418  1.713167  0.044716
4.614  1.634441  0.050192


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1731 x 0.0730=0.012639
#xi=1.422400#pm0.004223

Dphi  CF  CFerr
-1.473  1.426015  0.015262
-1.276  1.408395  0.014819
-1.080  1.399510  0.014092
-0.884  1.431037  0.012729
-0.687  1.468859  0.011351
-0.491  1.559329  0.010729
-0.295  1.673426  0.010744
-0.098  1.705269  0.010748
0.098  1.685141  0.010573
0.295  1.661775  0.010487
0.491  1.541484  0.010405
0.687  1.479148  0.011138
0.884  1.416513  0.012313
1.080  1.423108  0.013706
1.276  1.371752  0.014167
1.473  1.401651  0.014917
1.669  1.398749  0.015718
1.865  1.419251  0.015506
2.062  1.453759  0.014062
2.258  1.531859  0.012972
2.454  1.542605  0.012215
2.651  1.591472  0.011816
2.847  1.605181  0.011288
3.043  1.621775  0.010880
3.240  1.635900  0.010845
3.436  1.613981  0.011134
3.632  1.571043  0.011519
3.829  1.565632  0.012038
4.025  1.491002  0.012384
4.222  1.494601  0.013747
4.418  1.453045  0.015018
4.614  1.430302  0.015453


3-4 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1731 x 0.1394=0.024131
#xi=1.566330#pm0.009140

Dphi  CF  CFerr
-1.473  1.558278  0.040238
-1.276  1.553209  0.037493
-1.080  1.483880  0.031016
-0.884  1.541225  0.028107
-0.687  1.700095  0.026120
-0.491  1.892979  0.024884
-0.295  2.307476  0.025110
-0.098  2.573567  0.025303
0.098  2.590201  0.025407
0.295  2.274711  0.024478
0.491  1.882515  0.024203
0.687  1.659399  0.024491
0.884  1.543255  0.026532
1.080  1.490172  0.029601
1.276  1.509667  0.035658
1.473  1.531062  0.040225
1.669  1.552921  0.040325
1.865  1.641902  0.037584
2.062  1.668987  0.032319
2.258  1.721987  0.029265
2.454  1.882263  0.027337
2.651  1.919080  0.025662
2.847  2.044552  0.025422
3.043  2.122518  0.025419
3.240  2.094126  0.025230
3.436  2.056988  0.025115
3.632  1.930485  0.025527
3.829  1.792641  0.025959
4.025  1.726710  0.028597
4.222  1.606866  0.030645
4.418  1.633543  0.036042
4.614  1.552976  0.038942


3-4 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1731 x 0.1717=0.029725
#xi=1.762577#pm0.020860

Dphi  CF  CFerr
-1.473  1.771576  0.156796
-1.276  1.515721  0.126151
-1.080  1.501687  0.106754
-0.884  1.757462  0.101940
-0.687  1.830335  0.093292
-0.491  2.523540  0.098615
-0.295  3.716921  0.109163
-0.098  5.934636  0.130320
0.098  5.645820  0.128066
0.295  3.683784  0.107290
0.491  2.372409  0.092799
0.687  2.014118  0.092853
0.884  1.672757  0.092917
1.080  1.827129  0.112504
1.276  1.376597  0.117548
1.473  1.841284  0.161988
1.669  1.579208  0.143227
1.865  1.900746  0.137085
2.062  2.079314  0.124968
2.258  2.170774  0.112140
2.454  2.244673  0.102432
2.651  2.703595  0.103487
2.847  2.746981  0.099648
3.043  3.110749  0.105319
3.240  3.412699  0.110654
3.436  2.831406  0.100724
3.632  2.661833  0.101200
3.829  2.192122  0.099531
4.025  2.043554  0.107051
4.222  2.153458  0.123362
4.418  2.044870  0.138386
4.614  1.708396  0.146634


3-4 #otimes 3-4 GeV/c
v_{2}^{t}v_{2}^{p}=0.1731 x 0.1731=0.029964
#xi=1.706878#pm0.020929

Dphi  CF  CFerr
-1.473  1.665657  0.474205
-1.276  1.899755  0.411559
-1.080  1.604328  0.323808
-0.884  1.898241  0.311139
-0.687  2.121840  0.295707
-0.491  2.605254  0.301206
-0.295  5.704564  0.415942
-0.098  12.477393  0.592926
0.098  12.234047  0.586300
0.295  5.577590  0.406342
0.491  2.700019  0.310554
0.687  2.126370  0.295345
0.884  1.906805  0.312218
1.080  1.531634  0.314634
1.276  1.946323  0.419401
1.473  1.772784  0.477534
1.669  1.259902  0.382122
1.865  2.156442  0.419957
2.062  1.543380  0.312542
2.258  2.483428  0.359062
2.454  2.774084  0.345456
2.651  3.433134  0.356144
2.847  4.275089  0.380444
3.043  5.206206  0.417232
3.240  5.430484  0.425649
3.436  4.225943  0.380846
3.632  3.139638  0.350784
3.829  2.814178  0.348475
4.025  2.173817  0.322868
4.222  1.610211  0.319794
4.418  2.172807  0.414921
4.614  1.198534  0.364100


4-5 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1661 x 0.0730=0.012127
#xi=1.436343#pm0.008412

Dphi  CF  CFerr
-1.473  1.394444  0.036897
-1.276  1.453643  0.036839
-1.080  1.435477  0.034901
-0.884  1.455752  0.031316
-0.687  1.524122  0.028254
-0.491  1.579128  0.026513
-0.295  1.677710  0.026518
-0.098  1.735101  0.026799
0.098  1.734431  0.026522
0.295  1.706401  0.026424
0.491  1.551452  0.026091
0.687  1.476448  0.028081
0.884  1.445145  0.031294
1.080  1.436393  0.034715
1.276  1.400393  0.036067
1.473  1.461754  0.038477
1.669  1.367142  0.038910
1.865  1.440181  0.038596
2.062  1.480283  0.035180
2.258  1.516611  0.032103
2.454  1.559600  0.030557
2.651  1.624817  0.029581
2.847  1.632835  0.028250
3.043  1.632205  0.027161
3.240  1.682449  0.027509
3.436  1.633211  0.027974
3.632  1.616796  0.029019
3.829  1.633647  0.030546
4.025  1.558339  0.031532
4.222  1.445744  0.033836
4.418  1.415563  0.036944
4.614  1.367335  0.037123


4-5 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1661 x 0.1394=0.023153
#xi=1.578428#pm0.015146

Dphi  CF  CFerr
-1.473  1.589205  0.099159
-1.276  1.459030  0.089150
-1.080  1.625881  0.079102
-0.884  1.521152  0.068136
-0.687  1.655801  0.062363
-0.491  1.904265  0.061200
-0.295  2.368269  0.062432
-0.098  3.031908  0.068009
0.098  3.077915  0.068847
0.295  2.512599  0.064035
0.491  1.935076  0.061730
0.687  1.677896  0.061597
0.884  1.512253  0.066727
1.080  1.578438  0.077250
1.276  1.470610  0.089858
1.473  1.552793  0.103439
1.669  1.478752  0.097126
1.865  1.610526  0.092520
2.062  1.609615  0.077769
2.258  1.875579  0.075782
2.454  1.970459  0.069344
2.651  2.053887  0.066331
2.847  2.112961  0.064345
3.043  2.443271  0.068226
3.240  2.284818  0.065766
3.436  2.292891  0.065936
3.632  2.186989  0.068287
3.829  1.915141  0.066883
4.025  1.761621  0.071659
4.222  1.680545  0.077624
4.418  1.669978  0.089889
4.614  1.464600  0.093235


4-5 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1661 x 0.1717=0.028520
#xi=1.796636#pm0.024753

Dphi  CF  CFerr
-1.473  1.723202  0.388189
-1.276  1.760419  0.325619
