Au + Au 40 - 50 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.2106 x 0.0836=0.017619
#xi=1.030743#pm0.003311

Dphi  CF  CFerr
-1.473  0.998613  0.000671
-1.276  1.001599  0.000656
-1.080  1.010651  0.000625
-0.884  1.025862  0.000564
-0.687  1.045868  0.000501
-0.491  1.070311  0.000465
-0.295  1.091928  0.000453
-0.098  1.103034  0.000450
0.098  1.102222  0.000446
0.295  1.092170  0.000444
0.491  1.070564  0.000455
0.687  1.046027  0.000490
0.884  1.026280  0.000548
1.080  1.009531  0.000602
1.276  1.001059  0.000634
1.473  0.998933  0.000663
1.669  1.001635  0.000695
1.865  1.010820  0.000681
2.062  1.024254  0.000616
2.258  1.040489  0.000559
2.454  1.054405  0.000527
2.651  1.068399  0.000504
2.847  1.079584  0.000483
3.043  1.083185  0.000465
3.240  1.084387  0.000462
3.436  1.080059  0.000475
3.632  1.068061  0.000496
3.829  1.055615  0.000516
4.025  1.039265  0.000543
4.222  1.024059  0.000595
4.418  1.009523  0.000655
4.614  1.002985  0.000680


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.2106 x 0.1561=0.032888
#xi=1.041655#pm0.005910

Dphi  CF  CFerr
-1.473  0.985135  0.001541
-1.276  0.985561  0.001425
-1.080  1.002216  0.001231
-0.884  1.030611  0.001096
-0.687  1.071993  0.000997
-0.491  1.117127  0.000912
-0.295  1.165228  0.000857
-0.098  1.194818  0.000824
0.098  1.193604  0.000822
0.295  1.165427  0.000845
0.491  1.117837  0.000891
0.687  1.070742  0.000950
0.884  1.030317  0.001038
1.080  1.001455  0.001172
1.276  0.987203  0.001378
1.473  0.983073  0.001546
1.669  0.991572  0.001542
1.865  1.009336  0.001399
2.062  1.031661  0.001222
2.258  1.057648  0.001095
2.454  1.087234  0.000996
2.651  1.110136  0.000935
2.847  1.127155  0.000902
3.043  1.138720  0.000890
3.240  1.137426  0.000888
3.436  1.127883  0.000894
3.632  1.109412  0.000926
3.829  1.087489  0.000976
4.025  1.058945  0.001069
4.222  1.032056  0.001186
4.418  1.007823  0.001352
4.614  0.991358  0.001500


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.2106 x 0.2106=0.044367
#xi=1.056317#pm0.006905

Dphi  CF  CFerr
-1.473  0.980738  0.005434
-1.276  0.985431  0.004805
-1.080  0.995288  0.004101
-0.884  1.033573  0.003659
-0.687  1.101392  0.003393
-0.491  1.176505  0.003151
-0.295  1.281389  0.002970
-0.098  1.358773  0.002887
0.098  1.356638  0.002883
0.295  1.283958  0.002953
0.491  1.178113  0.003067
0.687  1.100358  0.003218
0.884  1.035072  0.003435
1.080  0.996939  0.003883
1.276  0.986502  0.004688
1.473  0.984804  0.005474
1.669  0.998531  0.005320
1.865  1.007789  0.004649
2.062  1.053332  0.004152
2.258  1.077497  0.003685
2.454  1.124409  0.003362
2.651  1.157750  0.003141
2.847  1.183404  0.003048
3.043  1.198389  0.003037
3.240  1.199739  0.003041
3.436  1.184989  0.003044
3.632  1.155235  0.003113
3.829  1.124962  0.003324
4.025  1.078219  0.003625
4.222  1.052697  0.004062
4.418  1.008071  0.004554
4.614  0.998592  0.005231


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.2112 x 0.0836=0.017656
#xi=1.027219#pm0.002532

Dphi  CF  CFerr
-1.473  0.996659  0.001999
-1.276  1.000324  0.001959
-1.080  1.011036  0.001874
-0.884  1.022391  0.001683
-0.687  1.043924  0.001494
-0.491  1.067826  0.001384
-0.295  1.096847  0.001356
-0.098  1.107149  0.001348
0.098  1.106716  0.001334
0.295  1.098990  0.001330
0.491  1.072687  0.001356
0.687  1.040907  0.001461
