Au + Au 0 - 92 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1439 x 0.0539=0.007755
#xi=1.009270#pm0.000735

Dphi  CF  CFerr
-1.473  0.997950  0.000108
-1.276  0.998085  0.000105
-1.080  1.000956  0.000100
-0.884  1.006178  0.000089
-0.687  1.013641  0.000079
-0.491  1.022398  0.000073
-0.295  1.030557  0.000071
-0.098  1.036008  0.000070
0.098  1.036082  0.000069
0.295  1.030832  0.000069
0.491  1.022677  0.000071
0.687  1.013515  0.000078
0.884  1.006051  0.000087
1.080  1.000585  0.000096
1.276  0.998248  0.000102
1.473  0.998176  0.000106
1.669  1.000021  0.000111
1.865  1.003627  0.000109
2.062  1.008461  0.000098
2.258  1.013722  0.000089
2.454  1.018697  0.000083
2.651  1.023099  0.000079
2.847  1.026183  0.000075
3.043  1.027903  0.000073
3.240  1.027773  0.000072
3.436  1.026257  0.000074
3.632  1.023145  0.000078
3.829  1.018779  0.000081
4.025  1.013628  0.000086
4.222  1.008263  0.000095
4.418  1.003749  0.000105
4.614  1.000132  0.000109


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1439 x 0.1021=0.014697
#xi=1.010481#pm0.001689

Dphi  CF  CFerr
-1.473  0.990089  0.000247
-1.276  0.989664  0.000228
-1.080  0.994002  0.000195
-0.884  1.003865  0.000172
-0.687  1.020058  0.000154
-0.491  1.038991  0.000140
-0.295  1.053837  0.000129
-0.098  1.065937  0.000124
0.098  1.065964  0.000123
0.295  1.054165  0.000128
0.491  1.039147  0.000137
0.687  1.019841  0.000148
0.884  1.003843  0.000164
1.080  0.993466  0.000187
1.276  0.989713  0.000221
1.473  0.990498  0.000248
1.669  0.995665  0.000246
1.865  1.002456  0.000222
2.062  1.010504  0.000192
2.258  1.018863  0.000171
2.454  1.027269  0.000154
2.651  1.034268  0.000144
