p+p

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
#xi=1.741851

Dphi  CF  CFerr
-0.098  83.474777  3.640850
0.098  84.375603  3.656495
0.295  30.349651  2.378026
0.491  10.980210  1.593569
0.687  6.562294  1.344049
0.884  5.291022  1.250628
1.080  2.936736  1.039825
1.276  2.838122  1.160318
1.473  2.696088  1.349872
1.669  5.350986  1.896947
1.865  5.421942  1.569438
2.062  8.774135  1.837834
2.258  9.317243  1.709060
2.454  14.057990  1.909459
2.651  21.104155  2.199848
2.847  25.562813  2.353858
3.043  37.828629  2.789418
3.240  37.629612  2.796076
3.436  27.002287  2.401101
3.632  21.700104  2.227142
3.829  13.563899  1.858571
4.025  10.059630  1.787362
4.222  7.460366  1.674564
4.418  4.374794  1.461477
4.614  6.590114  2.090903


4-5 #otimes 0.4-1 GeV/c
#xi=1.721049

Dphi  CF  CFerr
-1.473  1.717784  0.083511
-1.276  1.597251  0.079829
-1.080  1.783701  0.083439
-0.884  1.936793  0.079149
-0.687  2.060550  0.071045
-0.491  2.481734  0.070288
-0.295  3.234681  0.078982
-0.098  3.307641  0.082396
0.098  3.505816  0.084662
0.295  3.271593  0.079554
0.491  2.446330  0.070157
0.687  2.150851  0.073129
0.884  1.770819  0.075646
1.080  1.667338  0.080663
1.276  1.858549  0.086456
1.473  1.854449  0.086927
1.669  1.747587  0.088687
1.865  1.987443  0.095719
2.062  2.197190  0.090716
2.258  2.327114  0.084350
2.454  2.658109  0.086137
2.651  2.844767  0.084910
2.847  2.974748  0.082189
3.043  3.070724  0.081229
3.240  3.026764  0.080646
3.436  2.888915  0.080523
3.632  2.706469  0.080913
3.829  2.427578  0.080442
4.025  2.336002  0.082899
4.222  2.218604  0.089063
4.418  1.932653  0.092228
4.614  1.871827  0.090885


4-5 #otimes 1-2 GeV/c
#xi=2.215518

Dphi  CF  CFerr
-1.473  2.377385  0.269522
-1.276  2.146925  0.237349
-1.080  2.152614  0.204543
-0.884  2.392385  0.198919
-0.687  2.957605  0.201563
-0.491  4.766252  0.239000
-0.295  8.086464  0.278031
-0.098  12.225315  0.322509
0.098  12.041286  0.321745
0.295  8.650224  0.285522
0.491  4.860149  0.242105
0.687  3.599997  0.224104
0.884  2.502536  0.205987
1.080  1.935978  0.193792
1.276  2.388404  0.252069
1.473  2.127288  0.260172
1.669  2.550964  0.282244
1.865  2.883646  0.276611
2.062  3.641703  0.271199
2.258  3.619765  0.246247
2.454  4.465705  0.248668
2.651  5.534142  0.259898
2.847  6.613892  0.272067
3.043  7.110607  0.279707
3.240  7.360927  0.282321
3.436  6.757395  0.272326
3.632  5.756638  0.263806
3.829  4.441766  0.245091
4.025  3.873068  0.252619
4.222  3.402514  0.258395
4.418  2.951010  0.276814
4.614  1.840185  0.233932


4-5 #otimes 2-3 GeV/c
#xi=2.845324

Dphi  CF  CFerr
-1.473  4.395387  1.393105
-1.276  2.617647  0.926856
-1.080  2.234102  0.745539
-0.884  4.206323  0.919837
-0.687  2.735874  0.707391
-0.491  9.031747  1.181376
-0.295  24.333298  1.741826
-0.098  48.261292  2.240146
0.098  53.117603  2.384478
0.295  24.739292  1.758023
0.491  7.150248  1.046888
0.687  5.063476  0.959411
0.884  3.074932  0.795179
1.080  2.219400  0.740638
1.276  2.946495  0.983702
1.473  1.307998  0.755682
1.669  4.731052  1.429903
1.865  2.897585  0.967274
2.062  6.701521  1.318698
2.258  6.684704  1.204878
2.454  6.849813  1.086821
2.651  13.125695  1.416890
2.847  21.496452  1.751155
3.043  24.040005  1.828968
3.240  23.997387  1.830806
3.436  21.714226  1.735904
3.632  13.650355  1.425701
