Au + Au 50 - 60 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.2016 x 0.0841=0.016952
#xi=1.056459#pm0.003068

Dphi  CF  CFerr
-1.473  1.025851  0.001190
-1.276  1.025972  0.001162
-1.080  1.036140  0.001108
-0.884  1.052963  0.001001
-0.687  1.074829  0.000890
-0.491  1.103908  0.000828
-0.295  1.128265  0.000808
-0.098  1.142003  0.000803
0.098  1.143065  0.000796
0.295  1.129576  0.000791
0.491  1.103982  0.000808
0.687  1.074053  0.000869
0.884  1.052525  0.000971
1.080  1.036103  0.001067
1.276  1.029367  0.001124
1.473  1.025145  0.001174
1.669  1.026804  0.001231
1.865  1.039081  0.001209
2.062  1.053302  0.001094
2.258  1.068305  0.000992
2.454  1.086045  0.000936
2.651  1.101535  0.000897
2.847  1.110938  0.000857
3.043  1.115626  0.000826
3.240  1.115706  0.000820
3.436  1.110733  0.000844
3.632  1.101435  0.000881
3.829  1.085139  0.000917
4.025  1.069190  0.000965
4.222  1.052847  0.001056
4.418  1.039383  0.001163
4.614  1.030707  0.001206


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.2016 x 0.1563=0.031507
#xi=1.077986#pm0.005998

Dphi  CF  CFerr
-1.473  1.021584  0.002802
-1.276  1.023814  0.002595
-1.080  1.039463  0.002243
-0.884  1.067400  0.001996
-0.687  1.115648  0.001819
-0.491  1.170229  0.001670
-0.295  1.231003  0.001575
-0.098  1.274751  0.001522
0.098  1.274423  0.001519
0.295  1.236668  0.001555
0.491  1.168957  0.001628
0.687  1.113488  0.001731
0.884  1.067154  0.001886
1.080  1.039328  0.002132
1.276  1.026619  0.002509
1.473  1.022911  0.002817
1.669  1.028008  0.002806
1.865  1.047879  0.002550
2.062  1.078522  0.002235
2.258  1.109106  0.002005
2.454  1.134072  0.001818
2.651  1.157209  0.001706
2.847  1.181343  0.001651
3.043  1.195341  0.001630
3.240  1.193362  0.001626
3.436  1.180783  0.001635
3.632  1.162974  0.001694
3.829  1.137338  0.001784
4.025  1.108056  0.001954
4.222  1.077218  0.002165
4.418  1.052732  0.002470
4.614  1.028186  0.002728


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.2016 x 0.2016=0.040653
#xi=1.093227#pm0.008831

Dphi  CF  CFerr
-1.473  1.021767  0.009959
-1.276  1.011545  0.008749
-1.080  1.062037  0.007617
-0.884  1.094513  0.006773
-0.687  1.155478  0.006248
-0.491  1.259138  0.005860
-0.295  1.405350  0.005593
-0.098  1.548320  0.005540
0.098  1.554373  0.005550
0.295  1.408838  0.005557
0.491  1.255035  0.005683
0.687  1.157512  0.005924
0.884  1.093855  0.006339
1.080  1.058379  0.007177
1.276  1.014691  0.008534
1.473  1.027032  0.010041
1.669  1.042610  0.009776
1.865  1.066109  0.008598
2.062  1.127062  0.007723
2.258  1.157038  0.006866
2.454  1.189803  0.006210
2.651  1.237263  0.005831
2.847  1.255050  0.005641
3.043  1.289408  0.005660
3.240  1.296287  0.005681
3.436  1.259221  0.005637
3.632  1.240183  0.005794
3.829  1.189499  0.006133
4.025  1.160968  0.006763
4.222  1.127105  0.007555
4.418  1.067561  0.008419
4.614  1.040354  0.009590


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1981 x 0.0841=0.016655
#xi=1.052653#pm0.002475

Dphi  CF  CFerr
-1.473  1.027456  0.003475
-1.276  1.027822  0.003398
-1.080  1.033207  0.003246
-0.884  1.045122  0.002917
-0.687  1.068682  0.002591
-0.491  1.101086  0.002411
-0.295  1.139463  0.002371
-0.098  1.153236  0.002360
0.098  1.155260  0.002339
0.295  1.138221  0.002321
0.491  1.100894  0.002355
0.687  1.073913  0.002545
0.884  1.053517  0.002849
1.080  1.029652  0.003127
1.276  1.029373  0.003301
1.473  1.021764  0.003431
1.669  1.036374  0.003637
1.865  1.043345  0.003571
2.062  1.058052  0.003223
2.258  1.071479  0.002909
2.454  1.089869  0.002749
2.651  1.113012  0.002641
2.847  1.123333  0.002523
3.043  1.130345  0.002430
3.240  1.130885  0.002411
3.436  1.120139  0.002477
3.632  1.111099  0.002585
3.829  1.091015  0.002684
4.025  1.080212  0.002825
4.222  1.060405  0.003101
4.418  1.045184  0.003416
4.614  1.027413  0.003516


3-4 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1981 x 0.1563=0.030949
#xi=1.075115#pm0.004804

Dphi  CF  CFerr
-1.473  1.027417  0.008233
-1.276  1.023176  0.007641
-1.080  1.041741  0.006522
-0.884  1.072118  0.005872
-0.687  1.120712  0.005304
-0.491  1.180630  0.004917
-0.295  1.277154  0.004674
-0.098  1.351509  0.004577
0.098  1.342114  0.004568
0.295  1.275976  0.004597
0.491  1.188859  0.004838
0.687  1.117464  0.005044
0.884  1.062909  0.005542
1.080  1.026640  0.006172
1.276  1.026097  0.007406
1.473  1.024139  0.008303
1.669  1.038376  0.008319
1.865  1.065105  0.007615
2.062  1.092042  0.006574
2.258  1.125086  0.005948
2.454  1.155259  0.005365
2.651  1.186751  0.005065
2.847  1.202652  0.004875
3.043  1.218371  0.004813
3.240  1.220570  0.004811
3.436  1.204709  0.004809
3.632  1.184264  0.005010
3.829  1.159580  0.005228
4.025  1.120018  0.005766
4.222  1.093724  0.006331
4.418  1.060764  0.007293
4.614  1.048961  0.008070


3-4 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1981 x 0.2016=0.039933
#xi=1.124490#pm0.004696

Dphi  CF  CFerr
-1.473  1.034787  0.029627
-1.276  1.038082  0.025835
-1.080  1.088663  0.022488
-0.884  1.107294  0.019870
-0.687  1.160437  0.018295
-0.491  1.294137  0.017373
-0.295  1.558412  0.017230
-0.098  1.875495  0.017776
0.098  1.872970  0.017776
0.295  1.555562  0.017058
0.491  1.302474  0.016967
0.687  1.146126  0.017240
0.884  1.098150  0.018574
1.080  1.048725  0.020962
1.276  1.042603  0.025317
1.473  1.023007  0.029773
1.669  1.127991  0.030326
1.865  1.090595  0.025544
2.062  1.133533  0.022790
2.258  1.197141  0.020441
2.454  1.214725  0.018408
2.651  1.275643  0.017321
2.847  1.339484  0.017084
3.043  1.346316  0.016914
3.240  1.399386  0.017248
3.436  1.316187  0.016801
3.632  1.287769  0.017223
3.829  1.199479  0.018000
4.025  1.190303  0.020008
4.222  1.134393  0.022101
4.418  1.090802  0.024869
4.614  1.058903  0.028559


3-4 #otimes 3-4 GeV/c
v_{2}^{t}v_{2}^{p}=0.1981 x 0.1981=0.039226
#xi=1.082690#pm0.009700

Dphi  CF  CFerr
-1.473  0.979161  0.090688
-1.276  0.999743  0.076905
-1.080  1.110826  0.068595
-0.884  1.107507  0.059976
-0.687  1.171126  0.056746
-0.491  1.386917  0.056040
-0.295  1.840625  0.058630
-0.098  3.001285  0.069367
0.098  3.010129  0.069733
0.295  1.834976  0.058531
0.491  1.395607  0.056014
0.687  1.172396  0.056700
0.884  1.086659  0.059258
1.080  1.139374  0.069552
1.276  0.981672  0.075593
1.473  0.963282  0.090330
1.669  1.125312  0.091856
1.865  1.115474  0.076502
2.062  1.043160  0.066035
2.258  1.184277  0.062056
2.454  1.350986  0.061280
2.651  1.431870  0.057267
2.847  1.429478  0.055295
3.043  1.532079  0.056344
3.240  1.521018  0.056037
3.436  1.416616  0.054845
3.632  1.436228  0.057480
3.829  1.308162  0.059930
4.025  1.182554  0.061941
4.222  1.048912  0.066239
4.418  1.129273  0.077237
4.614  1.095387  0.089990


4-5 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1755 x 0.0841=0.014761
#xi=1.043400#pm0.002371

Dphi  CF  CFerr
-1.473  1.026068  0.008721
-1.276  1.023885  0.008530
-1.080  1.011988  0.008058
-0.884  1.050031  0.007303
-0.687  1.058751  0.006451
-0.491  1.095178  0.006047
-0.295  1.137597  0.005985
-0.098  1.149480  0.005963
0.098  1.154307  0.005922
0.295  1.144859  0.005934
0.491  1.118966  0.006094
0.687  1.054833  0.006523
0.884  1.036649  0.007313
1.080  1.041403  0.008138
1.276  1.024535  0.008530
1.473  1.017148  0.008881
1.669  1.023589  0.009294
1.865  1.058022  0.009121
2.062  1.067933  0.008208
2.258  1.085955  0.007455
2.454  1.102925  0.007057
2.651  1.108008  0.006695
2.847  1.121887  0.006403
3.043  1.144624  0.006242
3.240  1.133640  0.006194
3.436  1.119638  0.006353
3.632  1.110529  0.006593
3.829  1.104362  0.006876
4.025  1.070699  0.007186
4.222  1.050596  0.007937
4.418  1.035436  0.008714
4.614  1.036791  0.008914


4-5 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1755 x 0.1563=0.027430
#xi=1.070305#pm0.005945

Dphi  CF  CFerr
-1.473  1.026043  0.020794
-1.276  1.008576  0.019143
-1.080  1.029616  0.016108
-0.884  1.063931  0.014650
-0.687  1.132018  0.013271
-0.491  1.173030  0.012280
-0.295  1.327499  0.011969
-0.098  1.418081  0.011870
0.098  1.413906  0.011941
0.295  1.292253  0.011789
0.491  1.188787  0.012455
0.687  1.135459  0.013074
0.884  1.078305  0.014599
1.080  1.036503  0.016246
1.276  1.028702  0.019525
1.473  1.041021  0.021906
1.669  1.056000  0.021345
1.865  1.081054  0.019431
2.062  1.103750  0.016576
2.258  1.093609  0.014824
2.454  1.153539  0.013590
2.651  1.195552  0.012996
2.847  1.226047  0.012575
3.043  1.249845  0.012461
3.240  1.228564  0.012317
3.436  1.230409  0.012403
3.632  1.199828  0.012954
3.829  1.182152  0.013537
4.025  1.136906  0.014942
4.222  1.081488  0.016007
4.418  1.091751  0.018897
4.614  1.036129  0.020401


4-5 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1755 x 0.2016=0.035393
#xi=1.097139#pm0.009679

Dphi  CF  CFerr
-1.473  1.081176  0.077195
-1.276  1.063334  0.065470
-1.080  1.052460  0.055551
-0.884  0.995148  0.046869
-0.687  1.129221  0.044847
-0.491  1.274113  0.042869
-0.295  1.645090  0.044455
-0.098  2.329069  0.050221
0.098  2.392581  0.051367
0.295  1.670101  0.045168
0.491  1.313467  0.043702
0.687  1.207742  0.045469
0.884  1.085600  0.047916
1.080  1.187740  0.058970
1.276  1.009428  0.065857
1.473  1.105131  0.079743
1.669  1.116373  0.076880
1.865  0.991203  0.061262
2.062  1.135254  0.057215
2.258  1.243442  0.052542
2.454  1.268574  0.047813
2.651  1.341239  0.045496
2.847  1.397734  0.044620
3.043  1.459976  0.045158
3.240  1.464672  0.044986
3.436  1.432502  0.044578
3.632  1.327027  0.044951
3.829  1.285908  0.048117
4.025  1.249032  0.052630
4.222  1.158654  0.056442
4.418  1.104555  0.063407
4.614  0.903950  0.067317


4-5 #otimes 3-4 GeV/c
v_{2}^{t}v_{2}^{p}=0.1755 x 0.1980=0.034757
#xi=1.245191#pm0.001168

Dphi  CF  CFerr
-1.473  1.460406  0.283864
-1.276  1.165463  0.207626
-1.080  1.277277  0.179212
-0.884  1.418735  0.168410
-0.687  1.235795  0.144252
-0.491  1.385084  0.139650
-0.295  2.444308  0.171918
-0.098  4.314169  0.217241
0.098  4.656374  0.220607
0.295  2.576830  0.177247
0.491  1.430329  0.144643
0.687  1.091878  0.140563
0.884  1.456921  0.178165
1.080  1.377098  0.202510
1.276  1.188288  0.222857
1.473  1.202503  0.265044
1.669  0.801738  0.195347
1.865  1.094248  0.191562
2.062  1.298144  0.186819
2.258  1.274182  0.160583
2.454  1.332334  0.152471
2.651  1.471022  0.149531
2.847  1.813247  0.161465
3.043  1.924961  0.162464
3.240  1.684168  0.149901
3.436  1.654388  0.152174
3.632  1.523005  0.151567
3.829  1.421921  0.162704
4.025  1.255404  0.165174
4.222  1.146119  0.175814
4.418  1.116623  0.195640
4.614  1.235998  0.248879


4-5 #otimes 4-5 GeV/c
v_{2}^{t}v_{2}^{p}=0.1755 x 0.1755=0.030799
#xi=1.233173#pm0.001652

Dphi  CF  CFerr
-1.473  2.063671  0.839219
-1.276  1.364758  0.561045
-1.080  1.272155  0.453942
-0.884  1.376461  0.386501
-0.687  0.703504  0.266726
-0.491  1.670395  0.367648
-0.295  2.516262  0.413211
-0.098  8.839694  0.868787
0.098  9.871966  0.807657
0.295  2.494097  0.421834
0.491  1.972622  0.416119
0.687  0.928548  0.311118
0.884  1.805596  0.471366
1.080  1.158969  0.441179
1.276  1.218760  0.514981
1.473  2.655540  0.953054
1.669  1.603106  0.662090
1.865  1.010693  0.453922
2.062  1.052591  0.401191
2.258  1.495738  0.417606
2.454  1.960780  0.455995
2.651  1.897375  0.408381
2.847  2.176135  0.424078
3.043  2.398528  0.443621
3.240  2.538930  0.447969
3.436  2.290046  0.433039
3.632  1.760396  0.397072
3.829  1.799709  0.440627
4.025  1.600990  0.447368
4.222  1.232239  0.438706
4.418  1.034145  0.464704
4.614  1.411250  0.636305


5-10 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.0841=0.012237
#xi=1.047209#pm0.004229

Dphi  CF  CFerr
-1.473  1.023701  0.021895
-1.276  1.024651  0.021505
-1.080  1.038978  0.020449
-0.884  1.084504  0.018607
-0.687  1.049865  0.016197
-0.491  1.090450  0.015254
-0.295  1.152724  0.015282
-0.098  1.158064  0.015202
0.098  1.146991  0.015000
0.295  1.140214  0.015120
0.491  1.127280  0.015626
0.687  1.098045  0.017065
0.884  1.022851  0.018595
1.080  1.059186  0.021047
1.276  1.034718  0.022027
1.473  0.984526  0.022304
1.669  1.044311  0.023781
1.865  1.048659  0.022891
2.062  1.067524  0.020798
2.258  1.106100  0.019183
2.454  1.074342  0.017684
2.651  1.146196  0.017267
2.847  1.183526  0.016762
3.043  1.133692  0.015874
3.240  1.135280  0.015867
3.436  1.137936  0.016384
3.632  1.138917  0.017026
3.829  1.089856  0.017418
4.025  1.102825  0.018591
4.222  1.072433  0.020476
4.418  1.049997  0.022248
4.614  1.032780  0.022376


5-10 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.1563=0.022742
#xi=1.086650#pm0.008359

Dphi  CF  CFerr
-1.473  1.073647  0.052899
-1.276  1.062847  0.049104
-1.080  1.020339  0.039864
-0.884  1.094163  0.037321
-0.687  1.061287  0.032227
-0.491  1.237701  0.031928
-0.295  1.386334  0.030904
-0.098  1.545176  0.031474
0.098  1.516787  0.031585
0.295  1.307445  0.030223
0.491  1.143937  0.031338
0.687  1.122467  0.033357
0.884  1.113944  0.038281
1.080  1.108266  0.043114
1.276  1.068600  0.051068
1.473  1.025706  0.055413
1.669  0.949538  0.051272
1.865  1.041068  0.048250
2.062  1.124216  0.042267
2.258  1.095406  0.037657
2.454  1.232780  0.035599
2.651  1.244599  0.033903
2.847  1.264335  0.032602
3.043  1.299530  0.032442
3.240  1.311516  0.032574
3.436  1.250106  0.031913
3.632  1.213727  0.033333
3.829  1.145703  0.033880
4.025  1.161144  0.038721
4.222  1.155821  0.042261
4.418  1.077406  0.047537
4.614  1.009599  0.050739


5-10 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.2016=0.029344
#xi=1.074650#pm0.011832

Dphi  CF  CFerr
-1.473  1.185671  0.201745
-1.276  1.024936  0.159163
-1.080  0.894136  0.125890
-0.884  1.071281  0.122745
-0.687  1.231218  0.117878
-0.491  1.273258  0.109547
-0.295  1.752372  0.116987
-0.098  2.935051  0.145128
0.098  3.312341  0.154793
0.295  1.791626  0.120232
0.491  1.444951  0.117903
0.687  1.251464  0.119716
0.884  1.057179  0.123751
1.080  1.144415  0.149149
1.276  0.980358  0.164503
1.473  0.875930  0.177121
1.669  1.363795  0.218799
1.865  0.976640  0.153693
2.062  1.173008  0.146552
2.258  1.147430  0.127074
2.454  1.208444  0.118836
2.651  1.466231  0.121150
2.847  1.626466  0.123722
3.043  2.033628  0.136603
3.240  1.745309  0.126645
3.436  1.583833  0.120292
3.632  1.270790  0.112546
3.829  1.435597  0.130517
4.025  1.191648  0.130488
4.222  1.050393  0.136690
4.418  1.104733  0.160945
4.614  1.270765  0.205185


5-10 #otimes 3-4 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.1980=0.028818
#xi=0.908475#pm0.009885

Dphi  CF  CFerr
-1.473  1.805594  0.814340
-1.276  1.708610  0.650770
-1.080  1.156656  0.441049
-0.884  0.843175  0.320104
-0.687  1.360284  0.381404
-0.491  1.783446  0.402165
-0.295  3.748532  0.553174
-0.098  8.193627  0.783707
0.098  10.588519  0.876237
0.295  3.888654  0.571183
0.491  0.882847  0.280678
0.687  1.558768  0.435739
0.884  1.061350  0.377677
1.080  1.382937  0.525744
1.276  0.500015  0.354522
1.473  0.678009  0.480968
1.669  0.326851  0.327263
1.865  2.113076  0.686740
2.062  1.445202  0.486834
2.258  1.495530  0.455313
2.454  1.244733  0.378106
2.651  2.198167  0.484234
2.847  2.343583  0.474894
3.043  3.434741  0.540956
3.240  3.435408  0.549019
3.436  2.814159  0.506086
3.632  1.868593  0.432649
3.829  1.448440  0.421516
4.025  0.995983  0.378694
4.222  0.962007  0.395534
4.418  0.800330  0.401953
4.614  0.628033  0.445526


5-10 #otimes 4-5 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.1755=0.025542
#xi=1.155488#pm0.006895

Dphi  CF  CFerr
-1.473  2.497044  2.537347
-1.276  0.000000  0.000000
-1.080  0.869633  0.877940
-0.884  2.244792  1.307848
-0.687  1.158682  0.822986
-0.491  1.975494  0.996946
-0.295  5.290431  1.520327
-0.098  24.199493  3.473068
0.098  22.581285  3.264576
0.295  2.309760  0.964207
0.491  0.480771  0.482028
0.687  1.591235  1.133289
0.884  0.786664  0.795287
1.080  1.138439  1.145119
1.276  0.000000  0.000000
1.473  0.000000  0.000000
1.669  0.000000  0.000000
1.865  1.186096  1.194103
2.062  2.894761  1.689170
2.258  0.769789  0.772611
2.454  3.804346  1.580367
2.651  2.362850  1.193992
2.847  4.008657  1.669322
3.043  5.158360  1.665971
3.240  7.368876  2.023627
3.436  3.216981  1.359135
3.632  1.731967  1.013751
3.829  1.357540  0.965857
4.025  1.785794  1.273685
4.222  2.131525  1.520527
4.418  2.738605  1.958900
4.614  1.929519  1.944666


5-10 #otimes 5-10 GeV/c
v_{2}^{t}v_{2}^{p}=0.1455 x 0.1430=0.020808
#xi=1.448094#pm0.002446

Dphi  CF  CFerr
-1.473  0.000000  0.000000
-1.276  0.000000  0.000000
-1.080  0.000000  0.000000
-0.884  2.860632  2.045162
-0.687  1.235730  1.242746
-0.491  0.834017  0.838533
-0.295  6.861608  2.667221
-0.098  38.965439  6.243598
0.098  30.007370  4.972451
0.295  5.828264  2.258062
0.491  2.139359  1.524867
0.687  1.091341  1.097065
0.884  3.207230  2.303849
1.080  1.942453  1.958836
1.276  0.000000  0.000000
1.473  0.000000  0.000000
1.669  0.000000  0.000000
1.865  0.000000  0.000000
2.062  2.415701  2.436931
2.258  0.000000  0.000000
2.454  2.392824  1.709382
2.651  4.232747  2.021113
2.847  7.772591  2.867381
3.043  6.042752  2.524327
3.240  9.690136  3.037656
3.436  5.699972  2.378177
3.632  5.705647  2.384224
3.829  2.009008  1.446988
4.025  0.000000  0.000000
4.222  3.831282  2.748032
4.418  0.000000  0.000000
4.614  0.000000  0.000000
