Au + Au 10 - 15 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1281 x 0.0455=0.005832
#xi=1.005830#pm0.000827

Dphi  CF  CFerr
-1.473  0.996861  0.000269
-1.276  0.997134  0.000263
-1.080  0.999082  0.000249
-0.884  1.003573  0.000224
-0.687  1.011003  0.000198
-0.491  1.019020  0.000182
-0.295  1.026616  0.000176
-0.098  1.031776  0.000175
0.098  1.031931  0.000173
0.295  1.027086  0.000173
0.491  1.019476  0.000179
0.687  1.010698  0.000194
0.884  1.004296  0.000218
1.080  0.999094  0.000241
1.276  0.997080  0.000255
1.473  0.997591  0.000267
1.669  0.998557  0.000279
1.865  1.002054  0.000273
2.062  1.007101  0.000246
2.258  1.011300  0.000222
2.454  1.016046  0.000208
2.651  1.020008  0.000198
2.847  1.022897  0.000189
3.043  1.023891  0.000182
3.240  1.023731  0.000180
3.436  1.022659  0.000186
3.632  1.019750  0.000194
3.829  1.016411  0.000203
4.025  1.011841  0.000216
4.222  1.006552  0.000237
4.418  1.002307  0.000262
4.614  0.998951  0.000273


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1281 x 0.0868=0.011122
#xi=1.004061#pm0.001495

Dphi  CF  CFerr
-1.473  0.988048  0.000614
-1.276  0.988365  0.000567
-1.080  0.991858  0.000485
-0.884  1.000513  0.000426
-0.687  1.015500  0.000383
-0.491  1.032606  0.000347
-0.295  1.046056  0.000321
-0.098  1.057610  0.000306
0.098  1.057769  0.000306
0.295  1.046234  0.000317
0.491  1.032483  0.000340
0.687  1.015934  0.000368
0.884  1.000340  0.000407
1.080  0.990437  0.000464
1.276  0.987967  0.000550
1.473  0.988486  0.000618
1.669  0.994619  0.000613
1.865  0.999980  0.000551
2.062  1.007767  0.000478
2.258  1.015464  0.000425
2.454  1.022647  0.000383
2.651  1.028460  0.000357
2.847  1.032885  0.000342
3.043  1.035561  0.000336
3.240  1.035731  0.000336
3.436  1.032846  0.000339
3.632  1.029219  0.000353
3.829  1.022355  0.000375
4.025  1.014586  0.000415
4.222  1.008415  0.000465
4.418  1.000369  0.000534
4.614  0.993720  0.000596


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1281 x 0.1281=0.016408
#xi=1.003804#pm0.002241

Dphi  CF  CFerr
-1.473  0.986243  0.002186
-1.276  0.981602  0.001921
-1.080  0.986630  0.001630
-0.884  0.997038  0.001432
-0.687  1.023566  0.001302
-0.491  1.055070  0.001190
-0.295  1.088311  0.001093
-0.098  1.105734  0.001038
0.098  1.105822  0.001038
0.295  1.087763  0.001085
0.491  1.054976  0.001160
0.687  1.022649  0.001243
0.884  0.998275  0.001355
1.080  0.986002  0.001552
1.276  0.980837  0.001878
1.473  0.988783  0.002204
1.669  0.990371  0.002122
1.865  1.001151  0.001850
2.062  1.011802  0.001622
2.258  1.019439  0.001431
2.454  1.028664  0.001285
