Au + Au 60 - 70 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1814 x 0.0753=0.013668
#xi=1.130844#pm0.005049

Dphi  CF  CFerr
-1.473  1.102089  0.002413
-1.276  1.104118  0.002359
-1.080  1.116401  0.002252
-0.884  1.135238  0.002035
-0.687  1.158614  0.001809
-0.491  1.195781  0.001688
-0.295  1.232875  0.001655
-0.098  1.247315  0.001645
0.098  1.245506  0.001628
0.295  1.233441  0.001620
0.491  1.197660  0.001650
0.687  1.155221  0.001766
0.884  1.133276  0.001973
1.080  1.115551  0.002167
1.276  1.106663  0.002281
1.473  1.106925  0.002386
1.669  1.109524  0.002503
1.865  1.121804  0.002457
2.062  1.139888  0.002228
2.258  1.156539  0.002021
2.454  1.177611  0.001910
2.651  1.190676  0.001827
2.847  1.203557  0.001748
3.043  1.209291  0.001685
3.240  1.207284  0.001671
3.436  1.203764  0.001723
3.632  1.191740  0.001797
3.829  1.174504  0.001869
4.025  1.155866  0.001965
4.222  1.136744  0.002150
4.418  1.120927  0.002364
4.614  1.109601  0.002449


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1814 x 0.1437=0.026066
#xi=1.175354#pm0.009758

Dphi  CF  CFerr
-1.473  1.131681  0.005933
-1.276  1.118712  0.005459
-1.080  1.136651  0.004720
-0.884  1.175990  0.004216
-0.687  1.222868  0.003831
-0.491  1.304878  0.003547
-0.295  1.406121  0.003389
-0.098  1.473031  0.003294
0.098  1.468880  0.003284
0.295  1.402830  0.003334
0.491  1.306829  0.003464
0.687  1.229084  0.003657
0.884  1.175181  0.003982
1.080  1.147202  0.004510
1.276  1.119287  0.005270
1.473  1.124429  0.005939
1.669  1.144835  0.005957
1.865  1.160648  0.005403
2.062  1.191393  0.004726
2.258  1.229505  0.004246
2.454  1.265096  0.003864
2.651  1.294650  0.003631
2.847  1.321401  0.003515
3.043  1.335523  0.003468
3.240  1.334714  0.003460
3.436  1.317002  0.003475
3.632  1.297481  0.003601
3.829  1.266558  0.003788
4.025  1.231688  0.004146
4.222  1.196993  0.004596
4.418  1.164437  0.005230
4.614  1.147734  0.005802


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1814 x 0.1814=0.032914
#xi=1.225787#pm0.008702

Dphi  CF  CFerr
-1.473  1.191263  0.021808
-1.276  1.149768  0.018913
-1.080  1.165730  0.016185
-0.884  1.207987  0.014433
-0.687  1.282066  0.013343
-0.491  1.435240  0.012693
-0.295  1.721393  0.012569
-0.098  1.981118  0.012730
0.098  1.966295  0.012672
0.295  1.726209  0.012479
0.491  1.438489  0.012335
0.687  1.300179  0.012727
0.884  1.213296  0.013537
1.080  1.161281  0.015236
1.276  1.143537  0.018383
1.473  1.180791  0.021835
1.669  1.181731  0.021120
1.865  1.246367  0.018865
2.062  1.294263  0.016809
2.258  1.317849  0.014856
2.454  1.357971  0.013468
2.651  1.449929  0.012821
2.847  1.500722  0.012517
3.043  1.524550  0.012484
3.240  1.534100  0.012534
3.436  1.499872  0.012481
3.632  1.444422  0.012680
3.829  1.363677  0.013326
4.025  1.316110  0.014584
4.222  1.282035  0.016314
4.418  1.234914  0.018370
4.614  1.179518  0.020721


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1804 x 0.0753=0.013595
#xi=1.129147#pm0.003898

Dphi  CF  CFerr
-1.473  1.106636  0.006936
-1.276  1.101146  0.006771
-1.080  1.113623  0.006488
-0.884  1.135883  0.005852
-0.687  1.158482  0.005187
-0.491  1.200608  0.004842
-0.295  1.249292  0.004781
-0.098  1.265126  0.004760
0.098  1.267150  0.004713
0.295  1.247768  0.004675
0.491  1.198349  0.004726
0.687  1.152706  0.005068
0.884  1.135963  0.005691
1.080  1.107302  0.006230
1.276  1.106559  0.006573
1.473  1.089818  0.006799
1.669  1.130478  0.007299
1.865  1.120453  0.007107
2.062  1.144037  0.006431
2.258  1.153731  0.005799
2.454  1.188339  0.005513
2.651  1.217674  0.005311
2.847  1.232274  0.005082
3.043  1.228559  0.004867
3.240  1.225271  0.004822
3.436  1.221089  0.004976
3.632  1.204830  0.005181
3.829  1.186365  0.005390
4.025  1.171518  0.005659
4.222  1.144834  0.006203
4.418  1.128972  0.006838
4.614  1.117429  0.007051


3-4 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1804 x 0.1437=0.025924
#xi=1.171995#pm0.007226

Dphi  CF  CFerr
-1.473  1.117609  0.016975
-1.276  1.130946  0.015894
-1.080  1.140325  0.013491
-0.884  1.154154  0.012053
-0.687  1.224680  0.010968
-0.491  1.307446  0.010233
-0.295  1.489170  0.009984
-0.098  1.615643  0.009896
0.098  1.632614  0.009968
0.295  1.493039  0.009827
0.491  1.334752  0.010119
0.687  1.223923  0.010414
0.884  1.169375  0.011473
1.080  1.138111  0.012826
1.276  1.118405  0.015282
1.473  1.134655  0.017227
1.669  1.163707  0.017414
1.865  1.165327  0.015728
2.062  1.228576  0.013776
2.258  1.236999  0.012315
2.454  1.319757  0.011317
2.651  1.357676  0.010701
2.847  1.371651  0.010271
3.043  1.410699  0.010222
3.240  1.392626  0.010140
3.436  1.377665  0.010158
3.632  1.335267  0.010509
3.829  1.322041  0.011033
4.025  1.267318  0.012148
4.222  1.250608  0.013410
4.418  1.174782  0.015220
4.614  1.149498  0.016734


3-4 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1804 x 0.1814=0.032735
#xi=1.274145#pm0.016067

Dphi  CF  CFerr
-1.473  1.223185  0.064009
-1.276  1.260099  0.056834
-1.080  1.219249  0.047693
-0.884  1.230591  0.041625
-0.687  1.321729  0.038860
-0.491  1.502140  0.037405
-0.295  2.053797  0.039441
-0.098  2.711447  0.042801
0.098  2.701626  0.042769
0.295  2.021344  0.038767
0.491  1.517313  0.036571
0.687  1.390570  0.037796
0.884  1.254517  0.039494
1.080  1.222478  0.045126
1.276  1.181536  0.053631
1.473  1.139441  0.062588
1.669  1.218967  0.063069
1.865  1.252710  0.054576
2.062  1.327694  0.049095
2.258  1.389898  0.043886
2.454  1.512709  0.040953
2.651  1.569090  0.038260
2.847  1.641779  0.037627
3.043  1.697570  0.037928
3.240  1.750511  0.038443
3.436  1.607828  0.037066
3.632  1.598822  0.038311
3.829  1.440501  0.039298
4.025  1.365121  0.042620
4.222  1.204182  0.045242
4.418  1.250224  0.053061
4.614  1.278709  0.062647


3-4 #otimes 3-4 GeV/c
v_{2}^{t}v_{2}^{p}=0.1804 x 0.1804=0.032554
#xi=1.196821#pm0.015327

Dphi  CF  CFerr
-1.473  1.190488  0.194272
-1.276  1.076907  0.156223
-1.080  1.226597  0.140890
-0.884  1.033434  0.111996
-0.687  1.406344  0.121451
-0.491  1.647181  0.119474
-0.295  2.832191  0.143176
-0.098  4.839705  0.173192
0.098  4.860878  0.176188
0.295  2.794303  0.142969
0.491  1.637421  0.118812
0.687  1.468781  0.125524
0.884  1.046766  0.112995
1.080  1.188417  0.138203
1.276  1.079549  0.156679
1.473  1.148788  0.190157
1.669  1.040523  0.172019
1.865  1.417881  0.169390
2.062  1.509627  0.156086
2.258  1.479061  0.136022
2.454  1.568088  0.127461
2.651  1.843097  0.126615
2.847  2.214613  0.135562
3.043  2.188743  0.131435
3.240  2.218306  0.132590
3.436  2.213068  0.135791
3.632  1.868819  0.128241
