Au + Au 30 - 40 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.2025 x 0.0771=0.015604
#xi=1.018923#pm0.002683

Dphi  CF  CFerr
-1.473  0.991081  0.000419
-1.276  0.993705  0.000410
-1.080  1.001248  0.000390
-0.884  1.014660  0.000352
-0.687  1.032331  0.000312
-0.491  1.051868  0.000289
-0.295  1.069389  0.000281
-0.098  1.079352  0.000279
0.098  1.079889  0.000277
0.295  1.069507  0.000276
0.491  1.052068  0.000283
0.687  1.031792  0.000306
0.884  1.013907  0.000342
1.080  1.000497  0.000376
1.276  0.993319  0.000397
1.473  0.991152  0.000414
1.669  0.994342  0.000434
1.865  1.002033  0.000425
2.062  1.012401  0.000384
2.258  1.026601  0.000348
2.454  1.039431  0.000328
2.651  1.051645  0.000314
2.847  1.060262  0.000300
3.043  1.064501  0.000289
3.240  1.064770  0.000287
3.436  1.060164  0.000295
3.632  1.050956  0.000308
3.829  1.039383  0.000321
4.025  1.026021  0.000339
4.222  1.013145  0.000371
4.418  1.001704  0.000409
4.614  0.993892  0.000425


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.2025 x 0.1458=0.029531
#xi=1.023420#pm0.004965

Dphi  CF  CFerr
-1.473  0.973172  0.000949
-1.276  0.973721  0.000877
-1.080  0.988874  0.000757
-0.884  1.013864  0.000673
-0.687  1.048766  0.000610
-0.491  1.087610  0.000557
-0.295  1.122675  0.000521
-0.098  1.144916  0.000499
0.098  1.145344  0.000499
0.295  1.122486  0.000513
0.491  1.087818  0.000545
0.687  1.047071  0.000583
0.884  1.013628  0.000638
1.080  0.989229  0.000722
1.276  0.976034  0.000849
1.473  0.972223  0.000953
1.669  0.979287  0.000948
1.865  0.996857  0.000860
2.062  1.016232  0.000751
2.258  1.038573  0.000672
2.454  1.060116  0.000609
2.651  1.081753  0.000572
2.847  1.096882  0.000551
3.043  1.104575  0.000543
3.240  1.104474  0.000542
3.436  1.096230  0.000546
3.632  1.081477  0.000566
3.829  1.061141  0.000597
4.025  1.038763  0.000656
4.222  1.015126  0.000728
4.418  0.995160  0.000832
4.614  0.979659  0.000923


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.2025 x 0.2025=0.041008
#xi=1.034566#pm0.006176

Dphi  CF  CFerr
-1.473  0.966744  0.003335
-1.276  0.969319  0.002944
-1.080  0.987479  0.002523
-0.884  1.015869  0.002240
-0.687  1.068100  0.002063
-0.491  1.132777  0.001911
-0.295  1.205751  0.001781
-0.098  1.260088  0.001717
0.098  1.260272  0.001717
0.295  1.209515  0.001771
0.491  1.132614  0.001859
0.687  1.067362  0.001960
0.884  1.014483  0.002104
1.080  0.985031  0.002388
1.276  0.968804  0.002873
1.473  0.968271  0.003355
1.669  0.972761  0.003246
1.865  0.995563  0.002852
2.062  1.024488  0.002529
2.258  1.055316  0.002253
2.454  1.084134  0.002040
2.651  1.111880  0.001903
2.847  1.134879  0.001846
3.043  1.144740  0.001835
3.240  1.143820  0.001835
3.436  1.136218  0.001843
3.632  1.112702  0.001889
3.829  1.085204  0.002018
4.025  1.054888  0.002217
4.222  1.022172  0.002472
4.418  0.995529  0.002795
4.614  0.973894  0.003191


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.2060 x 0.0771=0.015885
#xi=1.017070#pm0.002246

Dphi  CF  CFerr
-1.473  0.991928  0.001277
-1.276  0.993554  0.001250
-1.080  0.999206  0.001193
-0.884  1.012549  0.001072
-0.687  1.029611  0.000950
-0.491  1.051463  0.000880
-0.295  1.073396  0.000859
-0.098  1.082678  0.000854
0.098  1.083047  0.000845
0.295  1.072351  0.000842
0.491  1.051367  0.000861
0.687  1.029096  0.000932
