Au + Au 5 - 10 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.0980 x 0.0338=0.003311
#xi=1.003595#pm0.000488

Dphi  CF  CFerr
-1.473  0.999354  0.000235
-1.276  0.998671  0.000229
-1.080  0.999937  0.000217
-0.884  1.002777  0.000195
-0.687  1.006991  0.000172
-0.491  1.012303  0.000158
-0.295  1.017329  0.000153
-0.098  1.021644  0.000151
0.098  1.021648  0.000150
0.295  1.017749  0.000150
0.491  1.012449  0.000155
0.687  1.006860  0.000169
0.884  1.002552  0.000190
1.080  0.999397  0.000210
1.276  0.998982  0.000223
1.473  0.999836  0.000233
1.669  1.001385  0.000244
1.865  1.003821  0.000238
2.062  1.006234  0.000214
2.258  1.009158  0.000193
2.454  1.011374  0.000181
2.651  1.013106  0.000172
2.847  1.014375  0.000164
3.043  1.015449  0.000158
3.240  1.015335  0.000157
3.436  1.014867  0.000161
3.632  1.013322  0.000169
3.829  1.011114  0.000177
4.025  1.009024  0.000188
4.222  1.006233  0.000207
4.418  1.004329  0.000229
4.614  1.001349  0.000238


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.0980 x 0.0651=0.006380
#xi=1.001801#pm0.000847

Dphi  CF  CFerr
-1.473  0.995591  0.000542
-1.276  0.994316  0.000499
-1.080  0.994166  0.000426
-0.884  0.999896  0.000374
-0.687  1.009881  0.000335
-0.491  1.022967  0.000303
-0.295  1.030775  0.000280
-0.098  1.039299  0.000266
0.098  1.039170  0.000266
0.295  1.031384  0.000276
0.491  1.022773  0.000297
0.687  1.009301  0.000322
0.884  1.000127  0.000358
1.080  0.994709  0.000409
1.276  0.994125  0.000485
1.473  0.995326  0.000545
1.669  0.999533  0.000540
1.865  1.004859  0.000485
2.062  1.008952  0.000420
2.258  1.011771  0.000372
2.454  1.015728  0.000335
2.651  1.018291  0.000312
