Au + Au 20 - 40 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1888 x 0.0705=0.013315
#xi=1.014427#pm0.001948

Dphi  CF  CFerr
-1.473  0.991120  0.000235
-1.276  0.992845  0.000229
-1.080  0.999648  0.000218
-0.884  1.010545  0.000197
-0.687  1.024982  0.000174
-0.491  1.041453  0.000161
-0.295  1.056202  0.000157
-0.098  1.064536  0.000155
0.098  1.064615  0.000154
0.295  1.056255  0.000153
0.491  1.041436  0.000158
0.687  1.024501  0.000171
0.884  1.010017  0.000191
1.080  0.998966  0.000211
1.276  0.992860  0.000222
1.473  0.991166  0.000232
1.669  0.994064  0.000243
1.865  1.000826  0.000238
2.062  1.009877  0.000215
2.258  1.020897  0.000195
2.454  1.031611  0.000183
2.651  1.041682  0.000175
2.847  1.048558  0.000167
3.043  1.052228  0.000161
3.240  1.052108  0.000160
3.436  1.048504  0.000165
3.632  1.041197  0.000172
3.829  1.031683  0.000179
4.025  1.020558  0.000189
4.222  1.009612  0.000208
4.418  1.000446  0.000229
4.614  0.994154  0.000238


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1888 x 0.1340=0.025304
#xi=1.016572#pm0.003577

Dphi  CF  CFerr
-1.473  0.974590  0.000530
-1.276  0.975721  0.000490
-1.080  0.987564  0.000422
-0.884  1.008212  0.000374
-0.687  1.037273  0.000338
-0.491  1.069979  0.000308
-0.295  1.098161  0.000287
-0.098  1.116961  0.000275
0.098  1.117168  0.000275
0.295  1.098129  0.000283
0.491  1.070086  0.000302
0.687  1.036541  0.000324
0.884  1.007663  0.000355
1.080  0.987017  0.000403
1.276  0.976194  0.000475
1.473  0.974661  0.000533
1.669  0.981875  0.000530
1.865  0.994083  0.000479
2.062  1.010572  0.000418
2.258  1.029416  0.000373
2.454  1.047907  0.000338
2.651  1.064213  0.000316
2.847  1.076844  0.000305
3.043  1.083194  0.000300
3.240  1.083154  0.000299
3.436  1.076126  0.000302
3.632  1.064298  0.000313
3.829  1.047979  0.000331
4.025  1.030068  0.000364
4.222  1.010932  0.000405
4.418  0.993973  0.000464
4.614  0.982095  0.000516


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1888 x 0.1888=0.035658
#xi=1.023086#pm0.005225

Dphi  CF  CFerr
-1.473  0.967313  0.001866
-1.276  0.969400  0.001646
-1.080  0.980595  0.001404
-0.884  1.008818  0.001246
-0.687  1.051773  0.001143
-0.491  1.109026  0.001055
-0.295  1.168240  0.000979
-0.098  1.209553  0.000940
0.098  1.209927  0.000939
0.295  1.169283  0.000973
0.491  1.108385  0.001027
0.687  1.051413  0.001088
0.884  1.008000  0.001173
1.080  0.979151  0.001331
1.276  0.969247  0.001607
1.473  0.966384  0.001876
1.669  0.974669  0.001817
1.865  0.992963  0.001592
2.062  1.016590  0.001407
2.258  1.041048  0.001250
2.454  1.064914  0.001129
2.651  1.087279  0.001051
2.847  1.103580  0.001017
3.043  1.111707  0.001010
3.240  1.111697  0.001010
3.436  1.104552  0.001015
3.632  1.087433  0.001044
3.829  1.065797  0.001118
4.025  1.040272  0.001230
4.222  1.016044  0.001377
4.418  0.992634  0.001560
4.614  0.975023  0.001786


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1946 x 0.0707=0.013747
#xi=1.012844#pm0.001931

Dphi  CF  CFerr
-1.473  0.990360  0.000726
-1.276  0.991624  0.000711
-1.080  0.997912  0.000678
-0.884  1.008660  0.000609
-0.687  1.023359  0.000539
-0.491  1.040799  0.000498
-0.295  1.058746  0.000485
-0.098  1.067507  0.000482
0.098  1.067945  0.000478
0.295  1.058472  0.000476
0.491  1.041776  0.000488
0.687  1.022406  0.000529
0.884  1.008078  0.000593
1.080  0.996148  0.000655
1.276  0.990812  0.000690
