Au + Au 0 - 5 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.0594 x 0.0218=0.001296
#xi=1.002661#pm0.000208

Dphi  CF  CFerr
-1.473  1.001783  0.000208
-1.276  1.000799  0.000203
-1.080  1.001096  0.000192
-0.884  1.002206  0.000172
-0.687  1.004238  0.000152
-0.491  1.006784  0.000139
-0.295  1.009824  0.000135
-0.098  1.013091  0.000133
0.098  1.013124  0.000132
0.295  1.009976  0.000132
0.491  1.007286  0.000137
0.687  1.004282  0.000149
0.884  1.001997  0.000168
1.080  1.000957  0.000186
1.276  1.001095  0.000197
1.473  1.001797  0.000206
1.669  1.003306  0.000216
1.865  1.004148  0.000210
2.062  1.005768  0.000189
2.258  1.006725  0.000171
2.454  1.007754  0.000160
2.651  1.008143  0.000152
2.847  1.008476  0.000144
3.043  1.008594  0.000139
3.240  1.008482  0.000138
3.436  1.008258  0.000142
3.632  1.008452  0.000149
3.829  1.007781  0.000156
4.025  1.006727  0.000166
4.222  1.005737  0.000183
4.418  1.004359  0.000202
4.614  1.003280  0.000211


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.0594 x 0.0408=0.002423
#xi=1.000815#pm0.000324

Dphi  CF  CFerr
-1.473  1.000256  0.000486
-1.276  0.998767  0.000448
-1.080  0.998428  0.000381
-0.884  0.999979  0.000334
-0.687  1.006546  0.000299
-0.491  1.014332  0.000269
-0.295  1.017991  0.000248
-0.098  1.024370  0.000236
0.098  1.024250  0.000236
0.295  1.018415  0.000245
0.491  1.014380  0.000264
0.687  1.005939  0.000288
0.884  1.000182  0.000320
1.080  0.997853  0.000367
1.276  0.998595  0.000436
1.473  1.001922  0.000490
1.669  1.004568  0.000484
1.865  1.006811  0.000434
2.062  1.008136  0.000375
2.258  1.009380  0.000332
2.454  1.009904  0.000299
2.651  1.010451  0.000278
2.847  1.011113  0.000266
3.043  1.010508  0.000261
3.240  1.010317  0.000260
3.436  1.010011  0.000263
3.632  1.009996  0.000275
3.829  1.009612  0.000293
4.025  1.009297  0.000325
4.222  1.008665  0.000365
4.418  1.007165  0.000421
4.614  1.003975  0.000470


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.0594 x 0.0594=0.003527
#xi=1.000538#pm0.000479

Dphi  CF  CFerr
-1.473  1.001989  0.001761
-1.276  0.997625  0.001547
-1.080  0.998259  0.001309
-0.884  0.998673  0.001142
-0.687  1.010210  0.001029
-0.491  1.026906  0.000934
-0.295  1.044270  0.000853
-0.098  1.052635  0.000807
0.098  1.053537  0.000807
0.295  1.045108  0.000848
0.491  1.027692  0.000913
0.687  1.010431  0.000987
0.884  0.999337  0.001085
1.080  0.998495  0.001252
1.276  0.998413  0.001518
1.473  1.002702  0.001775
1.669  1.006637  0.001711
1.865  1.012403  0.001485
2.062  1.011214  0.001293
2.258  1.013128  0.001137
