bin  pt     v2      sta_err    v2+sys_err  v2-sys_err
cent0/1/2/3/4/5 for 0-10/10-20/20-30/30-40/40-50/50-60%

 v2 cent0
2 0.86279 0.034823 0.00114114 0.0374838 0.0321623
3 1.11299 0.0476928 0.00155012 0.05321 0.0421756
4 1.3629 0.0561413 0.00208872 0.0628243 0.0494584
5 1.61281 0.0693111 0.00284102 0.077154 0.0614682
6 1.86304 0.0741277 0.003837 0.0834837 0.0647717
7 2.20269 0.0824576 0.00415456 0.0963553 0.0685598
8 2.70579 0.0921475 0.00737799 0.107678 0.0766166
9 3.3496 0.0885054 0.0105848 0.103423 0.0735883
 v3 cent5
0 0.365247 0.00951564 0.00113896 0.0124754 0.00655586
1 0.612792 0.0196241 0.00150487 0.0223293 0.0169189
2 0.862457 0.0337283 0.00207451 0.0426504 0.0248062
3 1.11272 0.0449387 0.00283886 0.056634 0.0332434
4 1.36257 0.0521614 0.00384366 0.0626367 0.0416861
5 1.6125 0.0681753 0.00526136 0.0845379 0.0518127
6 1.86329 0.0694692 0.00711443 0.083541 0.0553974
7 2.20348 0.064887 0.00767811 0.0833694 0.0464045
8 2.7062 0.0541458 0.0134999 0.0695687 0.0387229
9 3.35187 0.060003 0.0203206 0.0770943 0.0429117
 v4 cent0
0 0.36215 0.00227273 0.000436254 0.00264043 0.00190503
1 0.612634 0.00651997 0.00059302 0.00732405 0.00571589
2 0.862894 0.00929623 0.000809231 0.0106039 0.00798859
3 1.11314 0.0161046 0.00109995 0.0173398 0.0148694
4 1.36295 0.0242414 0.00149416 0.0265331 0.0219496
5 1.61267 0.0261195 0.00202301 0.030854 0.021385
6 1.86247 0.0380971 0.00277526 0.0406238 0.0355703
7 2.19977 0.0457096 0.0030457 0.0550026 0.0364166
8 2.70287 0.0489607 0.00557397 0.0589146 0.0390068
9 3.34613 0.0533432 0.00836071 0.0641881 0.0424983
 v4 cent1
0 0.363685 0.00341712 0.000538267 0.00473224 0.002102
1 0.613046 0.00883622 0.00071987 0.0118665 0.0058059
2 0.862991 0.0160356 0.000990739 0.0197293 0.0123419
3 1.11335 0.0237703 0.00134426 0.0283496 0.019191
4 1.36311 0.0308472 0.00180399 0.0359402 0.0257541
5 1.61288 0.0422317 0.00246129 0.0485057 0.0359577
6 1.86295 0.0502157 0.00331494 0.0570847 0.0433466
7 2.20062 0.0555369 0.00358723 0.0641515 0.0469222
8 2.70339 0.0610919 0.00646843 0.0705682 0.0516156
9 3.34261 0.0748441 0.00964445 0.0864536 0.0632347
 v4 cent2
0 0.364727 0.00492819 0.000726712 0.00731757 0.00253882
1 0.613192 0.0145179 0.000990765 0.018819 0.0102168
2 0.863085 0.0213686 0.00135648 0.0254928 0.0172444
3 1.11338 0.0317344 0.00184876 0.0372477 0.0262211
4 1.36327 0.0388609 0.00244962 0.0456061 0.0321156
5 1.61283 0.0508063 0.00333 0.0572717 0.044341
6 1.86272 0.0540187 0.00439877 0.0626593 0.0453781
7 2.20132 0.0682148 0.00477365 0.0858342 0.0505954
8 2.7044 0.0809935 0.00849245 0.101914 0.0600734
9 3.34423 0.0874627 0.0124146 0.110054 0.0648717
 v4 cent3
0 0.365228 0.00707543 0.00108068 0.0101586 0.00399231
1 0.61321 0.0146112 0.00145094 0.0191182 0.0101041
2 0.863005 0.0258145 0.00202642 0.0329484 0.0186805
3 1.11322 0.0359297 0.00277597 0.0426281 0.0292312
4 1.36294 0.0421269 0.00364558 0.0481255 0.0361283
5 1.61281 0.0558727 0.00492705 0.065202 0.0465433
6 1.86288 0.0705198 0.00659385 0.0783971 0.0626426
7 2.20187 0.0883101 0.00713955 0.100876 0.0757442
8 2.70437 0.0885349 0.0123588 0.101133 0.075937
9 3.34521 0.0910734 0.0177922 0.104032 0.0781143
 v4 cent4
0 0.365365 0.00903684 0.00247173 0.0121896 0.00588407
1 0.613108 0.015661 0.00352208 0.0229971 0.00832488
2 0.86279 0.0297691 0.00533278 0.0426521 0.016886
3 1.11299 0.0386156 0.00728882 0.052176 0.0250552
4 1.3629 0.0441633 0.00918913 0.0613982 0.0269283
5 1.61281 0.051425 0.0118235 0.0692063 0.0336437
6 1.86304 0.0961514 0.0173932 0.120066 0.0722372
7 2.20269 0.0962737 0.0167033 0.125057 0.0674905
8 2.70579 0.0891204 0.027565 0.115765 0.0624758
9 3.3496 0.104557 0.0381098 0.135816 0.0732969
