Notes - Figure 1 and 2 data
Notes - dNch/deta results have negligable statistical uncertainties
Notes - systematic uncertainties are type B correlated by the PHENIX convention (see text for details)
Notes - event selection percentiles are based on the BBC charge (not multiplicity in the range measured for dNch/deta) -- (see text for details)
 
=========================================
3He+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-0.05 , 4.7079 , 0.659106
0.05 , 5.03226 , 0.704517
0.15 , 4.81643 , 0.6743
0.25 , 4.36938 , 0.611714
1.65 , 4.12428 , 0.494914
1.75 , 4.1165 , 0.49398
1.85 , 4.22334 , 0.506801
1.95 , 4.01678 , 0.482013
2.05 , 3.91878 , 0.470253
2.15 , 3.98992 , 0.478791
2.25 , 3.71842 , 0.446211
2.35 , 3.7978 , 0.455736
2.45 , 3.65866 , 0.43904
2.55 , 3.49125 , 0.41895
2.65 , 3.40363 , 0.408436
2.75 , 3.36041 , 0.403249
2.85 , 3.09726 , 0.371671
Centrality = 20 - 40 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 3.49701 , 0.419642
-2.75 , 3.82984 , 0.459581
-2.65 , 3.90613 , 0.468735
-2.55 , 3.93782 , 0.472538
-2.45 , 4.14238 , 0.497086
-2.35 , 4.20543 , 0.504651
-2.25 , 4.29302 , 0.515162
-2.15 , 4.295 , 0.5154
-2.05 , 4.34121 , 0.520946
-1.95 , 4.45598 , 0.534718
-1.85 , 4.51257 , 0.541509
-1.75 , 4.44596 , 0.533516
-1.65 , 4.35703 , 0.522844
-0.35 , 3.71047 , 0.519466
-0.25 , 4.06535 , 0.56915
-0.15 , 4.03984 , 0.565577
-0.05 , 4.09202 , 0.572883
0.05 , 3.91777 , 0.548488
0.15 , 4.06884 , 0.569638
0.25 , 3.97519 , 0.556527
1.65 , 3.64496 , 0.437395
1.75 , 3.60171 , 0.432205
1.85 , 3.71468 , 0.445762
1.95 , 3.70775 , 0.44493
2.05 , 3.63057 , 0.435669
2.15 , 3.63036 , 0.435643
2.25 , 3.5565 , 0.42678
2.35 , 3.51329 , 0.421595
2.45 , 3.40442 , 0.40853
2.55 , 3.27284 , 0.392741
2.65 , 3.24128 , 0.388953
2.75 , 3.08307 , 0.369968
2.85 , 3.02417 , 0.362901
Centrality = 40 - 74 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 2.52492 , 0.302991
-2.75 , 2.62741 , 0.31529
-2.65 , 2.66507 , 0.319808
-2.55 , 2.77626 , 0.333151
-2.45 , 2.80791 , 0.33695
-2.35 , 2.8675 , 0.344099
-2.25 , 2.95358 , 0.35443
-2.15 , 3.04486 , 0.365383
-2.05 , 3.07271 , 0.368725
-1.95 , 3.14887 , 0.377865
-1.85 , 3.25568 , 0.390681
-1.75 , 3.16695 , 0.380034
-1.65 , 3.25454 , 0.390545
-0.35 , 2.98568 , 0.417995
-0.25 , 3.09202 , 0.432882
-0.15 , 3.01176 , 0.421647
-0.05 , 3.14596 , 0.440435
0.05 , 3.26988 , 0.457783
0.15 , 3.10866 , 0.435212
0.25 , 2.86242 , 0.400739
1.65 , 3.01264 , 0.361517
1.75 , 3.15775 , 0.378929
1.85 , 3.07083 , 0.3685
1.95 , 3.06254 , 0.367504
2.05 , 3.08266 , 0.369919
2.15 , 3.09212 , 0.371055
2.25 , 3.04903 , 0.365884
2.35 , 3.01726 , 0.362071
2.45 , 2.97273 , 0.356728
2.55 , 2.90678 , 0.348814
2.65 , 2.88015 , 0.345619
2.75 , 2.80565 , 0.336678
2.85 , 2.70665 , 0.324798

Script done on Mon 26 Nov 2018 07:56:10 PM STD
