Notes - Figure 1 and 2 data
Notes - dNch/deta results have negligable statistical uncertainties
Notes - systematic uncertainties are type B correlated by the PHENIX convention (see text for details)
Notes - event selection percentiles are based on the BBC charge (not multiplicity in the range measured for dNch/deta) -- (see text for details)
 
=========================================
3He+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
2.45 , 7.60745 , 0.931151
2.55 , 7.12185 , 0.871714
2.65 , 6.93559 , 0.848916
2.75 , 6.27819 , 0.768451
2.85 , 5.95705 , 0.729143
Centrality = 60 - 88 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.85 , 4.80918 , 0.577101
-2.75 , 4.65413 , 0.558496
-2.65 , 4.6632 , 0.559584
-2.55 , 4.61946 , 0.554335
-2.45 , 4.73488 , 0.568186
-2.35 , 4.5018 , 0.540216
-2.25 , 4.48776 , 0.538531
-2.15 , 4.65228 , 0.558273
-2.05 , 4.60241 , 0.552289
-1.95 , 4.71906 , 0.566287
-1.85 , 4.85362 , 0.582434
-1.75 , 4.9033 , 0.588396
-1.65 , 5.01606 , 0.601928
-0.25 , 4.06063 , 0.446669
-0.15 , 4.18477 , 0.460325
-0.05 , 4.48699 , 0.493569
0.05 , 4.38465 , 0.482312
0.15 , 3.37529 , 0.371282
0.25 , 3.73493 , 0.410843
1.65 , 4.19628 , 0.51866
1.75 , 4.18472 , 0.517231
1.85 , 4.38664 , 0.542189
1.95 , 4.54481 , 0.561738
2.05 , 4.38062 , 0.541445
2.15 , 4.25618 , 0.526064
2.25 , 4.27652 , 0.528578
2.35 , 4.09381 , 0.505995
2.45 , 3.8876 , 0.480507
2.55 , 3.76125 , 0.46489
2.65 , 3.69052 , 0.456148
2.75 , 3.35763 , 0.415003
2.85 , 3.27471 , 0.404755
=========================================
d+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 25.7675 , 2.23426
-2.45 , 25.3849 , 2.13874
-2.35 , 25.3966 , 2.05289
-2.25 , 25.48 , 2.07155
-2.15 , 25.449 , 1.99165
-2.05 , 25.3757 , 2.03624
-1.95 , 25.3733 , 1.9753
-1.85 , 25.2203 , 1.99969
-1.75 , 24.9978 , 1.8701
-1.65 , 24.9485 , 1.93
-1.55 , 24.9521 , 2.06279
-1.45 , 25.0328 , 2.36481
-1.35 , 25.3146 , 1.97087
-0.35 , 19.6818 , 1.84532
-0.25 , 19.4 , 1.63217
-0.15 , 19.1007 , 1.68964
-0.05 , 18.8106 , 1.7654
0.05 , 18.4478 , 1.52581
0.15 , 18.1886 , 1.6413
0.25 , 17.8882 , 1.50094
0.35 , 17.4465 , 1.81029
1.35 , 14.3922 , 1.11557
1.45 , 14.4455 , 1.10201
1.55 , 14.3298 , 1.04469
1.65 , 14.1921 , 1.22371
1.75 , 13.9354 , 1.03818
1.85 , 13.6332 , 1.06088
1.95 , 13.2114 , 1.00823
2.05 , 12.8126 , 1.00002
2.15 , 12.3463 , 1.0425
2.25 , 11.827 , 1.0811
2.35 , 11.3996 , 0.975203
2.45 , 11.1187 , 1.00455
2.55 , 11.1108 , 1.22483
Centrality = 5 - 10 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 21.4779 , 2.95981
-2.45 , 22.0015 , 3.02066
-2.35 , 21.993 , 2.93907
-2.25 , 22.1685 , 2.99269
-2.15 , 22.1497 , 2.9102
-2.05 , 22.0322 , 2.97173
-1.95 , 22.2005 , 2.97118
-1.85 , 21.9997 , 2.98946
-1.75 , 21.9024 , 2.85719
-1.65 , 21.7211 , 2.93252
-1.55 , 21.3867 , 2.99542
-1.45 , 21.0427 , 3.18969
-1.35 , 20.7976 , 2.86511
-0.35 , 17.2113 , 2.72863
-0.25 , 17.6985 , 2.50919
-0.15 , 17.1204 , 2.60424
-0.05 , 16.8267 , 2.77418
0.05 , 16.8008 , 2.37388
0.15 , 16.2783 , 2.36038
0.25 , 16.3501 , 2.28616
0.35 , 15.9015 , 3.37118
1.35 , 14.2816 , 1.95912
1.45 , 14.4311 , 1.90198
1.55 , 14.3816 , 1.85419
1.65 , 13.8283 , 2.00244
1.75 , 13.3977 , 1.75749
1.85 , 13.1757 , 1.75026
1.95 , 12.6249 , 1.6608
2.05 , 12.3763 , 1.64801
2.15 , 11.7351 , 1.61684
2.25 , 11.3544 , 1.67761
2.35 , 10.8898 , 1.5099
2.45 , 10.3123 , 1.49839
2.55 , 9.85042 , 1.71086
Centrality = 10 - 20 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 18.9933 , 2.62641
-2.45 , 19.4745 , 2.55324
-2.35 , 19.4362 , 2.49745
-2.25 , 19.4855 , 2.52807
-2.15 , 19.3393 , 2.46878
-2.05 , 19.3252 , 2.50542
-1.95 , 19.4997 , 2.501
-1.85 , 19.4351 , 2.53081
-1.75 , 19.3754 , 2.43652
-1.65 , 19.0288 , 2.43369
-1.55 , 18.3478 , 2.51566
-1.45 , 17.9624 , 2.75647
-1.35 , 17.7256 , 2.31885
-0.35 , 15.9784 , 2.48513
-0.25 , 15.4828 , 2.11183
-0.15 , 15.6034 , 2.14025
-0.05 , 15.2718 , 2.25948
0.05 , 15.0775 , 1.9738
0.15 , 14.9705 , 2.24217
0.25 , 14.8513 , 1.99362
0.35 , 14.6388 , 2.11784
1.35 , 14.1084 , 1.87671
1.45 , 13.9203 , 1.84256
1.55 , 13.7558 , 1.7146
1.65 , 13.1905 , 1.87373
1.75 , 12.7474 , 1.59914
1.85 , 12.4015 , 1.62095
1.95 , 12.0527 , 1.52171
2.05 , 11.7335 , 1.50292
2.15 , 11.313 , 1.53299
2.25 , 10.7129 , 1.52085
2.35 , 10.2128 , 1.34999
2.45 , 9.66071 , 1.32647
2.55 , 8.98195 , 1.61788
Centrality = 20 - 40 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 14.9082 , 2.02226
-2.45 , 15.1764 , 1.93456
-2.35 , 15.1152 , 1.90506
-2.25 , 15.1088 , 1.91813
-2.15 , 15.0499 , 1.87224
-2.05 , 15.0461 , 1.8821
-1.95 , 15.1027 , 1.88363
-1.85 , 15.0947 , 1.92466
-1.75 , 15.0848 , 1.85548
-1.65 , 14.7594 , 1.8959
-1.55 , 14.2063 , 1.88314
-1.45 , 13.6326 , 2.0335
-1.35 , 12.9344 , 1.62644
-0.35 , 12.6623 , 1.71206
-0.25 , 12.5719 , 1.59888
-0.15 , 12.4121 , 1.72779
-0.05 , 12.4635 , 1.70935
0.05 , 12.1718 , 1.56045
0.15 , 11.9402 , 1.60705
0.25 , 12.1107 , 1.5814
0.35 , 12.0305 , 1.91007
1.35 , 12.4572 , 1.62249
1.45 , 12.1102 , 1.51873
1.55 , 11.8315 , 1.4511
1.65 , 11.4212 , 1.68098
1.75 , 11.0164 , 1.36119
1.85 , 10.8007 , 1.46504
1.95 , 10.5024 , 1.30734
2.05 , 10.2797 , 1.29359
2.15 , 9.91463 , 1.28913
2.25 , 9.45981 , 1.2734
2.35 , 8.97121 , 1.1442
2.45 , 8.44231 , 1.10932
2.55 , 7.62818 , 1.46815
Centrality = 40 - 60 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 9.81364 , 1.26491
-2.45 , 10.0393 , 1.2413
-2.35 , 9.96647 , 1.21675
-2.25 , 9.96546 , 1.21738
-2.15 , 9.97232 , 1.21893
-2.05 , 10.0031 , 1.22539
-1.95 , 10.0921 , 1.23856
-1.85 , 10.1331 , 1.24276
-1.75 , 10.0833 , 1.21566
-1.65 , 9.87887 , 1.20286
-1.55 , 9.41443 , 1.25474
-1.45 , 9.02544 , 1.24391
-1.35 , 8.46231 , 1.09847
-0.35 , 8.65695 , 1.15314
-0.25 , 8.71967 , 1.09833
-0.15 , 8.631 , 1.24918
-0.05 , 8.7345 , 1.23361
0.05 , 8.45277 , 1.04777
0.15 , 8.48387 , 1.10031
0.25 , 8.36685 , 1.12908
0.35 , 8.59685 , 1.33738
1.35 , 9.14508 , 1.11051
1.45 , 9.01271 , 1.09415
1.55 , 8.96484 , 1.05673
1.65 , 8.69014 , 1.15451
1.75 , 8.36006 , 0.998107
1.85 , 8.23214 , 1.01762
1.95 , 8.09365 , 0.965839
2.05 , 7.96462 , 0.964464
2.15 , 7.70529 , 0.980681
2.25 , 7.3925 , 0.988417
2.35 , 7.04668 , 0.880388
2.45 , 6.6464 , 0.859476
2.55 , 5.91319 , 0.941535
Centrality = 60 - 88 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.55 , 4.46939 , 0.590186
-2.45 , 4.52181 , 0.561508
-2.35 , 4.55217 , 0.565512
-2.25 , 4.62479 , 0.576232
-2.15 , 4.65015 , 0.55685
-2.05 , 4.73351 , 0.578316
-1.95 , 4.80958 , 0.584806
-1.85 , 4.80597 , 0.613929
-1.75 , 4.78245 , 0.567603
-1.65 , 4.65279 , 0.56255
-1.55 , 4.50618 , 0.57818
-1.45 , 4.32725 , 0.584485
-1.35 , 4.13747 , 0.546598
-0.35 , 4.41769 , 0.621824
-0.25 , 4.4427 , 0.566576
-0.15 , 4.46521 , 0.575922
-0.05 , 4.38876 , 0.640375
0.05 , 4.34302 , 0.556683
0.15 , 4.4456 , 0.575384
0.25 , 4.42874 , 0.56132
0.35 , 4.48916 , 0.686651
1.35 , 4.66929 , 0.590254
1.45 , 4.69386 , 0.581975
1.55 , 4.79329 , 0.565004
1.65 , 4.75228 , 0.6594
1.75 , 4.70612 , 0.558816
1.85 , 4.73028 , 0.588867
1.95 , 4.68045 , 0.580403
2.05 , 4.68376 , 0.566684
2.15 , 4.55118 , 0.579842
2.25 , 4.39847 , 0.580098
2.35 , 4.23452 , 0.525699
2.45 , 4.02743 , 0.516348
2.55 , 3.71125 , 0.674901
=========================================
p+Au at 200 GeV Results
=========================================
Centrality = 0 - 5 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 15.9484 , 1.91381
-2.85 , 16.0828 , 1.92994
-2.75 , 17.2605 , 2.07126
-2.65 , 17.7925 , 2.1351
-2.55 , 17.4747 , 2.09697
-2.45 , 17.4181 , 2.09018
-2.35 , 16.8991 , 2.0279
-2.25 , 16.798 , 2.01576
-2.15 , 16.7107 , 2.00528
-2.05 , 16.1905 , 1.94286
-1.95 , 15.9333 , 1.912
-1.85 , 16.7584 , 2.01101
-1.75 , 15.5275 , 1.8633
-1.65 , 16.8312 , 2.01975
-0.25 , 12.4003 , 1.73604
-0.15 , 12.0035 , 1.68049
-0.05 , 11.7482 , 1.64475
0.05 , 11.6523 , 1.63132
0.15 , 11.2964 , 1.5815
0.25 , 11.1838 , 1.56573
1.65 , 10.1208 , 1.21449
1.75 , 8.81555 , 1.05787
1.85 , 8.48838 , 1.01861
1.95 , 8.42988 , 1.01159
2.05 , 7.52855 , 0.903426
2.15 , 7.66585 , 0.919902
2.25 , 7.31096 , 0.877315
2.35 , 6.85746 , 0.822895
2.45 , 6.61132 , 0.793358
2.55 , 5.9891 , 0.718692
2.65 , 5.90691 , 0.708829
2.75 , 5.28712 , 0.634454
2.85 , 5.05035 , 0.606042
2.95 , 4.04063 , 0.484876
Centrality = 5 - 10 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 13.2032 , 1.58439
-2.85 , 12.9963 , 1.55956
-2.75 , 12.9804 , 1.55765
-2.65 , 13.4049 , 1.60859
-2.55 , 13.3466 , 1.60159
-2.45 , 13.4737 , 1.61685
-2.35 , 13.3255 , 1.59906
-2.25 , 13.4756 , 1.61707
-2.15 , 13.4136 , 1.60964
-2.05 , 13.1634 , 1.5796
-1.95 , 12.9902 , 1.55882
-1.85 , 12.954 , 1.55447
-1.75 , 13.7931 , 1.65517
-1.65 , 13.5566 , 1.6268
-0.25 , 10.9368 , 1.53115
-0.15 , 10.3319 , 1.44647
-0.05 , 9.86308 , 1.38083
0.05 , 10.0161 , 1.40226
0.15 , 10.0444 , 1.40621
0.25 , 10.2173 , 1.43042
1.65 , 8.61097 , 1.03332
1.75 , 8.63118 , 1.03574
1.85 , 7.66752 , 0.920102
1.95 , 8.13367 , 0.976041
2.05 , 7.3691 , 0.884291
2.15 , 7.00796 , 0.840955
2.25 , 6.54895 , 0.785874
2.35 , 6.10174 , 0.732209
2.45 , 6.2482 , 0.749784
2.55 , 5.52268 , 0.662721
2.65 , 5.02325 , 0.60279
2.75 , 4.82574 , 0.579089
2.85 , 4.75239 , 0.570287
2.95 , 4.40207 , 0.528248
Centrality = 10 - 20 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 10.2796 , 1.23355
-2.85 , 10.7333 , 1.288
-2.75 , 11.1551 , 1.33861
-2.65 , 11.3857 , 1.36629
-2.55 , 11.3518 , 1.36221
-2.45 , 11.2863 , 1.35435
-2.35 , 11.3672 , 1.36406
-2.25 , 11.4238 , 1.37085
-2.15 , 11.7076 , 1.40491
-2.05 , 11.5494 , 1.38593
-1.95 , 11.6474 , 1.39769
-1.85 , 11.9134 , 1.42961
-1.75 , 11.5982 , 1.39179
-1.65 , 12.1447 , 1.45736
-0.25 , 9.90097 , 1.38614
-0.15 , 9.50853 , 1.33119
-0.05 , 9.17779 , 1.28489
0.05 , 9.11653 , 1.27631
0.15 , 9.20432 , 1.2886
0.25 , 9.44983 , 1.32298
1.65 , 8.0458 , 0.965496
1.75 , 7.78362 , 0.934034
1.85 , 8.02108 , 0.96253
1.95 , 7.57708 , 0.909249
2.05 , 7.00504 , 0.840605
2.15 , 6.47807 , 0.777368
2.25 , 6.15946 , 0.739135
2.35 , 6.1406 , 0.736872
2.45 , 5.58052 , 0.669663
2.55 , 5.27791 , 0.63335
2.65 , 5.21296 , 0.625556
2.75 , 4.98163 , 0.597795
2.85 , 4.55142 , 0.54617
2.95 , 3.90306 , 0.468367
Centrality = 20 - 40 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 8.30473 , 0.996568
-2.85 , 8.29537 , 0.995444
-2.75 , 8.40045 , 1.00805
-2.65 , 8.56152 , 1.02738
-2.55 , 8.67635 , 1.04116
-2.45 , 8.57282 , 1.02874
-2.35 , 8.59253 , 1.0311
-2.25 , 8.54114 , 1.02494
-2.15 , 8.74448 , 1.04934
-2.05 , 8.73744 , 1.04849
-1.95 , 8.90621 , 1.06875
-1.85 , 8.98245 , 1.07789
-1.75 , 9.09453 , 1.09134
-1.65 , 9.18982 , 1.10278
-0.25 , 8.21503 , 1.1501
-0.15 , 7.93015 , 1.11022
-0.05 , 7.77149 , 1.08801
0.05 , 7.61397 , 1.06596
0.15 , 7.68967 , 1.07655
0.25 , 7.85375 , 1.09953
1.65 , 7.3427 , 0.881124
1.75 , 7.14345 , 0.857214
1.85 , 6.8166 , 0.817992
1.95 , 6.40511 , 0.768613
2.05 , 6.21605 , 0.745926
2.15 , 6.18698 , 0.742437
2.25 , 5.6591 , 0.679092
2.35 , 5.50681 , 0.660817
2.45 , 5.40706 , 0.648847
2.55 , 5.09265 , 0.611118
2.65 , 4.68212 , 0.561855
2.75 , 4.78835 , 0.574602
2.85 , 4.48464 , 0.538156
2.95 , 4.27659 , 0.513191
Centrality = 40 - 60 percentile
Eta , dNch/deta, Sys. Uncertainty
-2.95 , 5.17604 , 0.621125
-2.85 , 5.61395 , 0.673674
-2.75 , 5.79597 , 0.695516
-2.65 , 5.72498 , 0.686998
-2.55 , 5.8556 , 0.702672
-2.45 , 5.92294 , 0.710753
-2.35 , 6.077 , 0.72924
-2.25 , 6.05584 , 0.726701
-2.15 , 6.06687 , 0.728024
-2.05 , 6.1797 , 0.741563
-1.95 , 6.495 , 0.7794
-1.85 , 6.52092 , 0.782511
-1.75 , 6.5237 , 0.782844
-1.65 , 6.91649 , 0.829979
-0.25 , 6.1754 , 0.864556
-0.15 , 5.71595 , 0.800234
-0.05 , 5.81489 , 0.814085
0.05 , 5.66009 , 0.792413
0.15 , 5.69606 , 0.797449
0.25 , 5.92565 , 0.829591
1.65 , 6.17725 , 0.74127
1.75 , 5.8202 , 0.698424
1.85 , 5.61709 , 0.674051
1.95 , 5.26202 , 0.631442
2.05 , 5.01126 , 0.601351
2.15 , 4.8744 , 0.584928
2.25 , 4.63817 , 0.55658
2.35 , 4.5636 , 0.547632
2.45 , 4.41786 , 0.530143
2.55 , 4.28431 , 0.514117
2.65 , 4.23349 , 0.508019
2.75 , 4.11252 , 0.493502
2.85 , 3.95875 , 0.47505
2.95 , 3.66028 , 0.439233
Centrality = 60 - 84 percentile
Eta , dNch/deta, Sys. Uncertainty
