centrality v3mean stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.00944189 0.000194441 0.000169008 0.000226783 0.00114442
7.5 0.0104664 0.000176637 0.000163126 0.00030993 0.0011353
15 0.0115759 0.000126166 9.17681e-05 0.000275219 0.00137923
25 0.0127201 8.89985e-05 0.000119241 0.000440941 0.00167476
35 0.0124592 0.000146421 0.000116524 0.000525006 0.0019307
45 0.0116524 0.000203651 0.000157514 0.000570536 0.00172294

centrality v3sigma stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.00493271 0.000265033 8.99345e-05 0.000114721 0.000600732
7.5 0.00547098 0.000380037 7.24673e-05 0.00016218 0.000591613
15 0.00604892 0.000127762 4.99499e-05 0.000142969 0.000722434
25 0.00664798 0.000103151 6.34226e-05 0.000231726 0.00087594
35 0.0065119 0.000113917 5.87683e-05 0.000273759 0.00100923
45 0.00609097 0.000153902 8.04046e-05 0.000297941 0.000900383

centrality v3ratio stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.522428 0.0308655 0.000287182 0.000404465 0.000465263
7.5 0.522719 0.04074 0 2.90172e-05 0.000315021
15 0.522544 0.0119733 0.000177724 0.000170751 0.000245467
25 0.522637 0.00692596 8.59102e-05 0.000111606 9.64624e-05
35 0.522659 0.00979664 6.34183e-05 6.18466e-05 5.44151e-05
45 0.522722 0.0102022 0 2.81603e-05 2.53377e-05
