
Table 1: JdA vs x, stat, syst errors for d+Au 0-20%, 3.0<eta_fwd<3.8

pT_trg	pT_assoc xAu^frag	JdA	sigma	syslow	syshigh	sglobal	eta_trig
					Jda	Jda	JdA	(%)
2.43	0.875 	1.23e-02	0.746 	0.210	0.110	0.110	0.110	0.
2.71	0.875 	1.37e-02	0.725 	0.094	0.180	0.180	0.110	0.
3.35	0.875 	1.69e-02	1.073 	0.184	0.235	0.235	0.110	0.
4.67	0.875 	2.35e-02	0.860 	0.160	0.120	0.120	0.110	0.
0.68	1.25 	3.63e-03	0.655 	0.100	0.111	0.111	0.110	0.
1.29	1.25 	6.68e-03	0.948 	0.288	0.123	0.123	0.110	0.
2.43	1.25 	1.24e-02	0.809 	0.253	0.110	0.110	0.110	0.
2.71	1.25 	1.38e-02	0.960 	0.192	0.180	0.180	0.110	0.
3.35	1.25 	1.70e-02	0.828 	0.146	0.235	0.235	0.110	0.
4.67	1.25 	2.36e-02	0.729 	0.290	0.120	0.120	0.110	0.

Table 4: JdA vs x, sys, stat errors for d+Au 60-88%, 3.0<eta_fwd<3.8

pT_trg	pT_assoc xAu^frag	JdA	sigma	syslow	syshigh	sglobal	eta_trig
					Jda	Jda	JdA	(%)
1.25	0.625 	3.46e-04	0.571 	0.061	0.168	0.256	0.123	3.3
1.75	0.625 	4.38e-04	0.607 	0.091	0.192	0.297	0.123	3.3
2.53	0.625 	5.82e-04	0.820 	0.125	0.311	0.362	0.123	3.3
1.25	0.875 	3.92e-04	1.131 	0.108	0.267	0.416	0.123	3.3
1.75	0.875 	4.84e-04	0.816 	0.143	0.228	0.308	0.123	3.3
2.53	0.875 	6.28e-04	0.728 	0.135	0.239	0.335	0.123	3.3
1.25	1.25 	4.61e-04	0.570 	0.075	0.114	0.218	0.123	3.3
1.75	1.25 	5.53e-04	0.720 	0.173	0.190	0.256	0.123	3.3
2.53	1.25 	6.97e-04	1.549 	0.408	0.538	0.532	0.123	3.3
0.68	0.625 	3.52e-03	0.688 	0.074	0.160	0.160	0.123	0.
1.29	0.625 	6.57e-03	0.821 	0.079	0.162	0.162	0.123	0.
2.43	0.625 	1.23e-02	0.759 	0.236	0.168	0.168	0.123	0.
2.71	0.625 	1.37e-02	0.887 	0.103	0.245	0.245	0.123	0.
3.35	0.625 	1.69e-02	0.916 	0.097	0.259	0.259	0.123	0.
4.67	0.625 	2.35e-02	0.918 	0.151	0.142	0.142	0.123	0.
0.68	0.875 	3.56e-03	0.659 	0.092	0.160	0.160	0.123	0.
1.29	0.875 	6.61e-03	1.019 	0.117	0.162	0.162	0.123	0.
2.43	0.875 	1.23e-02	1.047 	0.379	0.168	0.168	0.123	0.
2.71	0.875 	1.37e-02	1.103 	0.195	0.245	0.245	0.123	0.
3.35	0.875 	1.69e-02	1.312 	0.283	0.259	0.259	0.123	0.
4.67	0.875 	2.35e-02	1.047 	0.220	0.142	0.142	0.123	0.
0.68	1.25 	3.63e-03	0.984 	0.268	0.160	0.160	0.123	0.
1.29	1.25 	6.68e-03	1.054 	0.293	0.162	0.162	0.123	0.
2.43	1.25 	1.24e-02	1.349 	0.508	0.168	0.168	0.123	0.
2.71	1.25 	1.38e-02	1.090 	0.215	0.245	0.245	0.123	0.
3.35	1.25 	1.70e-02	1.134 	0.194	0.259	0.259	0.123	0.
4.67	1.25 	2.36e-02	0.930 	0.367	0.142	0.142	0.123	0.
