0.275 0.0351408 0.000161284 0.00191308
0.425 0.056547 0.000172561 0.0036629
0.575 0.0751743 0.000199999 0.00468611
0.725 0.0925863 0.000238542 0.00589277
0.9 0.109919 0.000256772 0.00661218
1.1 0.128327 0.000331602 0.00736913
1.3 0.144948 0.000428503 0.00816555
1.525 0.158983 0.000509534 0.00830621
1.775 0.170581 0.000697026 0.00889964
2.05 0.176731 0.000888191 0.00879325
2.4 0.181717 0.00115143 0.00980902
2.8 0.181587 0.00178645 0.00917711
3.25 0.173192 0.00249354 0.00887945
3.85 0.158241 0.00350227 0.00786514
4.6 0.134223 0.0054945 0.0100829
