0.275 -0.00293724 0.00673433 0.00124704
0.425 -0.0014554 0.00248289 0.00210316
0.575 0.00246244 0.000973224 0.0024167
0.725 0.00378711 0.000831711 0.00239673
0.9 0.00525491 0.000665245 0.00232599
1.1 0.00295016 0.00069586 0.00235358
1.3 0.00275276 0.000818219 0.00242445
1.525 -0.00155324 0.000923866 0.00238925
1.775 -0.00886563 0.00123303 0.0025103
2.05 -0.0111471 0.00156703 0.00223468
2.4 -0.0187343 0.00205814 0.00278072
2.8 -0.0338261 0.00323568 0.00281808
3.25 -0.0363147 0.00462618 0.0024799
